2026-02-26T19:48:10.351Z [EVENT]  score: 8-16
2026-02-26T19:48:49.583Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T19:48:49.583Z [EVENT]  score: 10-16
2026-02-26T19:48:58.154Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T19:49:03.113Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T19:49:08.976Z [EVENT]  score: 12-16
2026-02-26T19:50:59.024Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T19:50:59.024Z [EVENT]  score: 12-18
2026-02-26T19:51:16.159Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T19:51:17.965Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T19:52:04.417Z [EVENT]  score: 15-18
2026-02-26T19:52:44.561Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T19:52:44.561Z [EVENT]  score: 17-18
2026-02-26T19:52:48.169Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
2026-02-26T19:54:44.079Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T19:54:49.042Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T19:54:49.042Z [EVENT]  score: 17-21
2026-02-26T19:55:02.567Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T19:55:02.568Z [EVENT]  score: 19-21
2026-02-26T19:55:19.264Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T19:55:20.610Z [EVENT]  score: 19-24
2026-02-26T19:55:56.717Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T19:55:56.717Z [EVENT]  score: 21-24
2026-02-26T19:56:17.019Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T19:56:17.469Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T19:56:22.429Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T19:56:22.429Z [EVENT]  score: 23-24
2026-02-26T19:56:39.118Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T19:56:43.184Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T19:57:20.626Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T19:57:20.626Z [EVENT]  score: 25-24
2026-02-26T19:57:29.637Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T19:57:38.204Z [EVENT]  score: 25-27
2026-02-26T19:57:58.495Z [EVENT]  score: 27-27
2026-02-26T19:58:24.211Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T19:58:38.638Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T19:58:53.976Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T19:58:57.584Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:00:17.864Z [EVENT]  score: 27-30
2026-02-26T20:00:26.878Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:00:40.410Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:00:40.410Z [EVENT]  score: 29-30
2026-02-26T20:00:48.978Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:00:53.487Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:01:16.945Z [EVENT]  score: 29-32
2026-02-26T20:01:38.587Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:01:40.394Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:01:55.731Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:02:09.711Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:02:29.101Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:02:30.907Z [EVENT]  score: 31-32
2026-02-26T20:02:53.908Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:03:06.987Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:03:16.016Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:03:28.183Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:03:36.312Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:03:42.616Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:03:55.695Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:04:12.838Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:05:11.479Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
2026-02-26T20:05:16.878Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:05:16.878Z [EVENT]  score: 32-32
2026-02-26T20:05:36.723Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:05:48.448Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:05:50.254Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:06:06.936Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:06:20.471Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:06:41.665Z [EVENT]  score: 35-32
2026-02-26T20:06:55.205Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:07:00.612Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:07:00.612Z [EVENT]  score: 37-32
2026-02-26T20:08:57.577Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:09:07.496Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:09:08.854Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:09:25.550Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:09:26.441Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:09:36.814Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:09:48.988Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:10:06.135Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:10:11.088Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:10:11.088Z [EVENT]  score: 39-32
2026-02-26T20:10:34.541Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:10:50.328Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T20:10:50.328Z [EVENT]  score: 39-34
2026-02-26T20:12:40.372Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:13:09.240Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:13:09.240Z [EVENT]  score: 41-34
2026-02-26T20:13:31.784Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
2026-02-26T20:13:39.000Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:14:00.659Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:24:47.852Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T20:25:24.921Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:25:24.921Z [EVENT]  score: 41-35
2026-02-26T20:25:32.488Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:26:01.348Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:26:32.468Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:26:32.468Z [EVENT]  score: 41-37
2026-02-26T20:26:42.389Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T20:27:06.295Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:27:15.314Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:27:43.278Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
2026-02-26T20:27:43.278Z [EVENT]  score: 43-37
2026-02-26T20:27:51.850Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T20:28:00.415Z [EVENT]  score: 43-39
2026-02-26T20:28:23.873Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:28:23.873Z [EVENT]  score: 45-39
2026-02-26T20:28:39.656Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:28:39.656Z [EVENT]  score: 45-41
2026-02-26T20:28:58.595Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:28:58.595Z [EVENT]  score: 47-41
2026-02-26T20:29:08.066Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:29:09.418Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:29:33.321Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:29:33.321Z [EVENT]  score: 48-41
2026-02-26T20:29:44.595Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:30:16.618Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:30:40.521Z [ODDS]  GAO Koukouvaounon: 4/5 → 20/23, AO Ekalis: 20/23 → 4/5
2026-02-26T20:31:10.739Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:31:14.799Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:31:14.799Z [EVENT]  score: 48-43
2026-02-26T20:31:42.759Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
2026-02-26T20:31:46.367Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:33:18.378Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:33:22.444Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:34:00.319Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:34:17.912Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
2026-02-26T20:34:17.912Z [EVENT]  score: 49-43
2026-02-26T20:34:28.731Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:34:28.731Z [EVENT]  score: 50-43
2026-02-26T20:34:49.506Z [ODDS]  GAO Koukouvaounon: 5/6 → 4/5, AO Ekalis: 5/6 → 20/23
2026-02-26T20:34:52.184Z [ODDS]  GAO Koukouvaounon: 4/5 → 5/6, AO Ekalis: 20/23 → 5/6
2026-02-26T20:34:52.184Z [EVENT]  score: 50-45
2026-02-26T20:35:01.654Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:35:02.566Z [ODDS]  GAO Koukouvaounon: 20/23 → 5/6, AO Ekalis: 4/5 → 5/6
2026-02-26T20:35:17.901Z [ODDS]  GAO Koukouvaounon: 5/6 → 20/23, AO Ekalis: 5/6 → 4/5
2026-02-26T20:35:41.799Z [ODDS]  GAO Koukouvaounon: 20/23 → 4/5, AO Ekalis: 4/5 → 20/23
