2026-02-26T19:47:36.976Z [EVENT]  score: 0-3
2026-02-26T19:47:53.664Z [ODDS]  AO Thrakomakedonon: 5/6 → 20/23, AO Kronos Geraka: 5/6 → 4/5
2026-02-26T19:47:53.664Z [EVENT]  score: 2-3
2026-02-26T19:48:19.818Z [ODDS]  AO Thrakomakedonon: 20/23 → 5/6, AO Kronos Geraka: 4/5 → 5/6
2026-02-26T19:48:21.623Z [EVENT]  score: 3-3
2026-02-26T19:48:37.861Z [EVENT]  score: 3-5
2026-02-26T19:48:54.995Z [ODDS]  AO Thrakomakedonon: 5/6 → 20/21, AO Kronos Geraka: 5/6 → 20/27
2026-02-26T19:48:54.996Z [EVENT]  score: 6-5
2026-02-26T19:49:29.282Z [ODDS]  AO Thrakomakedonon: 20/21 → 5/6, AO Kronos Geraka: 20/27 → 5/6
2026-02-26T19:49:29.282Z [EVENT]  score: 6-8
2026-02-26T19:49:42.803Z [ODDS]  AO Thrakomakedonon: 5/6 → 20/21, AO Kronos Geraka: 5/6 → 20/27
2026-02-26T19:49:42.803Z [EVENT]  score: 9-8
2026-02-26T19:50:36.927Z [ODDS]  AO Thrakomakedonon: 20/21 → 5/6, AO Kronos Geraka: 20/27 → 5/6
2026-02-26T19:50:36.927Z [EVENT]  score: 12-8
2026-02-26T19:51:45.925Z [ODDS]  AO Thrakomakedonon: 5/6 → 20/27, AO Kronos Geraka: 5/6 → 20/21
2026-02-26T19:51:45.925Z [EVENT]  score: 12-11
2026-02-26T19:52:02.613Z [ODDS]  AO Thrakomakedonon: 20/27 → 20/21, AO Kronos Geraka: 20/21 → 20/27
2026-02-26T19:52:50.882Z [ODDS]  AO Thrakomakedonon: 20/21 → 5/6, AO Kronos Geraka: 20/27 → 5/6
2026-02-26T19:52:50.882Z [EVENT]  score: 12-14
2026-02-26T19:53:24.701Z [ODDS]  AO Thrakomakedonon: 5/6 → 4/5, AO Kronos Geraka: 5/6 → 20/23
