2026-02-26T19:47:54.110Z [EVENT]  score: 14-29
2026-02-26T19:48:06.742Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T19:48:31.546Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T19:48:31.998Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T19:48:31.998Z [EVENT]  score: 14-31
2026-02-26T19:48:36.504Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T19:49:02.211Z [EVENT]  score: 14-32
2026-02-26T19:50:13.925Z [EVENT]  score: 14-35
2026-02-26T19:50:21.594Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T19:50:50.453Z [ODDS]  Valencia: 10/11 → 5/6, Baskonia: 5/6 → 10/11
2026-02-26T19:50:50.453Z [EVENT]  score: 15-35
2026-02-26T19:51:08.050Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T19:51:08.050Z [EVENT]  score: 16-35
2026-02-26T19:53:59.430Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T19:53:59.430Z [EVENT]  score: 19-35
2026-02-26T19:54:08.010Z [ODDS]  Valencia: 5/6 → 10/11, Baskonia: 10/11 → 5/6
2026-02-26T19:54:27.390Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T19:54:27.390Z [EVENT]  score: 19-38
2026-02-26T19:54:56.256Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T19:55:27.373Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T19:55:27.373Z [EVENT]  score: 19-40
2026-02-26T19:56:27.844Z [EVENT]  score: 21-40
2026-02-26T19:56:46.337Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T19:57:13.395Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T19:57:44.523Z [EVENT]  score: 22-40
2026-02-26T19:57:57.594Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T19:57:57.594Z [EVENT]  score: 23-40
2026-02-26T19:58:09.319Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T19:58:09.319Z [EVENT]  score: 24-40
2026-02-26T19:58:44.050Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T19:59:23.287Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T19:59:23.287Z [EVENT]  score: 24-42
2026-02-26T19:59:27.799Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T19:59:57.113Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T19:59:57.113Z [EVENT]  score: 24-43
2026-02-26T20:00:15.156Z [EVENT]  score: 26-43
2026-02-26T20:01:01.156Z [EVENT]  score: 26-45
2026-02-26T20:03:03.835Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:03:06.987Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:03:16.462Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:03:25.030Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:03:35.399Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:03:48.045Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:04:01.559Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:04:11.947Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:04:11.947Z [EVENT]  score: 26-48
2026-02-26T20:06:42.568Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:06:42.568Z [EVENT]  score: 28-48
2026-02-26T20:06:46.632Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:07:47.519Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:07:54.282Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:07:54.282Z [EVENT]  score: 28-51
2026-02-26T20:08:09.321Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:08:09.321Z [EVENT]  score: 31-51
2026-02-26T20:08:22.396Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:08:22.397Z [EVENT]  score: 31-54
2026-02-26T20:09:02.986Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:09:02.986Z [EVENT]  score: 31-56
2026-02-26T20:09:24.645Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:09:37.279Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:09:37.279Z [EVENT]  score: 31-59
2026-02-26T20:09:52.596Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:10:00.723Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:10:00.723Z [EVENT]  score: 31-62
2026-02-26T20:10:16.050Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:10:16.050Z [EVENT]  score: 33-62
2026-02-26T20:11:23.703Z [EVENT]  score: 33-64
2026-02-26T20:11:31.366Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:11:32.268Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:11:35.890Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11, Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:11:35.890Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11, Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:12:38.566Z [EVENT]  score: 33-65
2026-02-26T20:12:58.420Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:12:58.420Z [EVENT]  score: 33-66
2026-02-26T20:13:21.413Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:13:51.655Z [EVENT]  score: 34-66
2026-02-26T20:14:11.032Z [EVENT]  score: 35-66
2026-02-26T20:14:33.576Z [EVENT]  score: 35-68
2026-02-26T20:14:44.404Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:30:48.654Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:31:27.877Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:31:27.877Z [EVENT]  score: 35-70
2026-02-26T20:32:03.506Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:32:03.506Z [EVENT]  score: 38-70
2026-02-26T20:32:22.448Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:32:22.448Z [EVENT]  score: 38-72
2026-02-26T20:32:51.763Z [ODDS]  Valencia: 10/11 → 5/6, Baskonia: 5/6 → 10/11
2026-02-26T20:33:03.042Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:33:30.110Z [EVENT]  score: 38-75
2026-02-26T20:33:44.988Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:34:15.204Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:34:15.204Z [EVENT]  score: 39-75
2026-02-26T20:34:34.145Z [EVENT]  score: 40-75
2026-02-26T20:35:24.208Z [EVENT]  score: 42-75
2026-02-26T20:37:07.934Z [EVENT]  score: 42-77
2026-02-26T20:37:18.309Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:37:18.759Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:37:53.943Z [EVENT]  score: 43-77
2026-02-26T20:38:18.436Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:38:18.436Z [EVENT]  score: 44-77
2026-02-26T20:39:21.127Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:41:20.212Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:41:47.709Z [ODDS]  Valencia: 10/11 → 5/6, Baskonia: 5/6 → 10/11
2026-02-26T20:41:47.709Z [EVENT]  score: 45-77
2026-02-26T20:42:09.809Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:42:09.809Z [EVENT]  score: 46-77
2026-02-26T20:42:24.236Z [EVENT]  score: 46-79
2026-02-26T20:42:35.061Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:42:56.259Z [EVENT]  score: 46-81
2026-02-26T20:43:04.828Z [ODDS]  Valencia: 5/6 → 4/5, Baskonia: 10/11 → 20/21
2026-02-26T20:43:05.729Z [ODDS]  Valencia: 4/5 → 20/21, Baskonia: 20/21 → 4/5
2026-02-26T20:43:06.704Z [ODDS]  Valencia: 20/21 → 10/11, Baskonia: 4/5 → 5/6
2026-02-26T20:43:10.692Z [EVENT]  score: 49-81
2026-02-26T20:43:22.867Z [EVENT]  score: 49-84
2026-02-26T20:43:40.460Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:44:35.483Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:45:04.343Z [EVENT]  score: 49-86
2026-02-26T20:45:28.248Z [EVENT]  score: 51-86
2026-02-26T20:45:37.717Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:45:46.298Z [EVENT]  score: 51-89
2026-02-26T20:46:01.176Z [EVENT]  score: 53-89
2026-02-26T20:46:16.958Z [EVENT]  score: 53-91
2026-02-26T20:46:28.685Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:47:11.079Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:47:11.079Z [EVENT]  score: 54-91
2026-02-26T20:48:16.576Z [EVENT]  score: 56-91
2026-02-26T20:48:40.922Z [EVENT]  score: 56-93
2026-02-26T20:49:03.023Z [EVENT]  score: 58-93
2026-02-26T20:49:22.416Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:49:29.633Z [ODDS]  Valencia: 10/11 → 20/21, Baskonia: 5/6 → 4/5
2026-02-26T20:51:47.207Z [ODDS]  Valencia: 20/21 → 10/11, Baskonia: 4/5 → 5/6
2026-02-26T20:52:07.959Z [ODDS]  Valencia: 10/11 → 20/21, Baskonia: 5/6 → 4/5
2026-02-26T20:52:18.782Z [ODDS]  Valencia: 20/21 → 20/23, Baskonia: 4/5 → 20/23
2026-02-26T20:52:39.545Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:52:39.545Z [EVENT]  score: 58-95
2026-02-26T20:53:17.873Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:53:24.636Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:53:24.636Z [EVENT]  score: 58-98
2026-02-26T20:53:44.932Z [EVENT]  score: 61-98
2026-02-26T20:53:56.207Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:54:23.272Z [ODDS]  Valencia: 20/23 → 4/5, Baskonia: 20/23 → 20/21
2026-02-26T20:54:28.228Z [ODDS]  Valencia: 4/5 → 10/11, Baskonia: 20/21 → 5/6
2026-02-26T20:54:53.037Z [ODDS]  Valencia: 10/11 → 4/5, Baskonia: 5/6 → 20/21
2026-02-26T20:54:59.356Z [ODDS]  Valencia: 4/5 → 20/21, Baskonia: 20/21 → 4/5
2026-02-26T20:55:13.785Z [ODDS]  Valencia: 20/21 → 10/11, Baskonia: 4/5 → 5/6
2026-02-26T20:55:35.011Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:55:49.418Z [EVENT]  score: 63-98
2026-02-26T20:56:05.203Z [EVENT]  score: 63-100
2026-02-26T20:56:28.656Z [EVENT]  score: 65-100
2026-02-26T20:56:31.363Z [ODDS]  Valencia: 20/23 → 5/6, Baskonia: 20/23 → 10/11
2026-02-26T20:56:33.617Z [ODDS]  Valencia: 5/6 → 20/23, Baskonia: 10/11 → 20/23
2026-02-26T20:56:34.067Z [ODDS]  Valencia: 20/23 → 10/11, Baskonia: 20/23 → 5/6
2026-02-26T20:56:45.792Z [ODDS]  Valencia: 10/11 → 20/23, Baskonia: 5/6 → 20/23
2026-02-26T20:57:06.539Z [EVENT]  score: 66-100
