2026-02-26T20:39:03.102Z [EVENT]  score: 26-23
2026-02-26T20:39:24.287Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-26T20:39:31.050Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-26T20:39:31.050Z [EVENT]  score: 26-25
2026-02-26T20:39:31.508Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 4/6, BOS Celtics (LEGACY): 5/6 → 11/10
2026-02-26T20:39:33.305Z [ODDS]  NY Knicks (BLIZZARD): 4/6 → 5/6, BOS Celtics (LEGACY): 11/10 → 5/6
2026-02-26T20:39:42.326Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 4/6, BOS Celtics (LEGACY): 5/6 → 11/10
2026-02-26T20:40:00.818Z [ODDS]  NY Knicks (BLIZZARD): 4/6 → 5/6, BOS Celtics (LEGACY): 11/10 → 5/6
2026-02-26T20:40:23.368Z [EVENT]  score: 28-25
2026-02-26T20:40:33.290Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-26T20:40:49.976Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-26T20:40:50.937Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-26T20:40:50.937Z [EVENT]  score: 30-25
2026-02-26T20:41:10.722Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-26T20:41:10.722Z [EVENT]  score: 30-27
2026-02-26T20:41:30.115Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-26T20:41:30.115Z [EVENT]  score: 32-27
2026-02-26T20:41:39.586Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 20/23, BOS Celtics (LEGACY): 20/23 → 4/5
2026-02-26T20:42:21.532Z [EVENT]  score: 33-27
2026-02-26T20:42:28.296Z [EVENT]  score: 34-27
2026-02-26T20:42:34.610Z [EVENT]  score: 34-29
2026-02-26T20:42:35.061Z [ODDS]  NY Knicks (BLIZZARD): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-26T20:42:38.217Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-26T20:43:03.479Z [ODDS]  NY Knicks (BLIZZARD): 20/23 → 4/5, BOS Celtics (LEGACY): 4/5 → 20/23
2026-02-26T20:43:19.710Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 20/27, BOS Celtics (LEGACY): 20/23 → 20/21
2026-02-26T20:43:24.672Z [ODDS]  NY Knicks (BLIZZARD): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-26T20:43:49.476Z [ODDS]  NY Knicks (BLIZZARD): 20/21 → 20/23, BOS Celtics (LEGACY): 20/27 → 4/5
2026-02-26T20:43:49.477Z [EVENT]  score: 37-29
2026-02-26T20:43:58.496Z [EVENT]  score: 37-31
2026-02-26T20:44:07.968Z [ODDS]  NY Knicks (BLIZZARD): 20/23 → 20/21, BOS Celtics (LEGACY): 4/5 → 20/27
2026-02-26T20:44:14.285Z [ODDS]  NY Knicks (BLIZZARD): 20/21 → 20/23, BOS Celtics (LEGACY): 20/27 → 4/5
2026-02-26T20:44:28.275Z [ODDS]  NY Knicks (BLIZZARD): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-26T20:44:28.275Z [EVENT]  score: 39-31
2026-02-26T20:44:34.594Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-26T20:44:34.594Z [EVENT]  score: 39-33
2026-02-26T20:44:44.502Z [ODDS]  NY Knicks (BLIZZARD): 20/23 → 20/21, BOS Celtics (LEGACY): 4/5 → 20/27
2026-02-26T20:45:09.304Z [ODDS]  NY Knicks (BLIZZARD): 20/21 → 1/1, BOS Celtics (LEGACY): 20/27 → 5/7, NY Knicks (BLIZZARD): 1/1 → 20/27, BOS Celtics (LEGACY): 5/7 → 20/21
2026-02-26T20:45:09.304Z [EVENT]  score: 39-35
2026-02-26T20:45:09.304Z [ODDS]  NY Knicks (BLIZZARD): 20/27 → 1/1, BOS Celtics (LEGACY): 20/21 → 5/7, NY Knicks (BLIZZARD): 1/1 → 20/27, BOS Celtics (LEGACY): 5/7 → 20/21
2026-02-26T20:45:37.266Z [ODDS]  NY Knicks (BLIZZARD): 20/27 → 5/7, BOS Celtics (LEGACY): 20/21 → 1/1
2026-02-26T20:45:37.266Z [EVENT]  score: 41-35
2026-02-26T20:45:48.543Z [ODDS]  NY Knicks (BLIZZARD): 5/7 → 20/27, BOS Celtics (LEGACY): 1/1 → 20/21
2026-02-26T20:45:48.543Z [EVENT]  score: 41-37
2026-02-26T20:45:59.368Z [ODDS]  NY Knicks (BLIZZARD): 20/27 → 4/5, BOS Celtics (LEGACY): 20/21 → 20/23
2026-02-26T20:46:02.524Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 5/7, BOS Celtics (LEGACY): 20/23 → 1/1
2026-02-26T20:46:02.525Z [EVENT]  score: 44-37
2026-02-26T20:46:13.806Z [ODDS]  NY Knicks (BLIZZARD): 5/7 → 4/5, BOS Celtics (LEGACY): 1/1 → 20/23
2026-02-26T20:46:13.806Z [EVENT]  score: 44-40
2026-02-26T20:46:33.642Z [ODDS]  NY Knicks (BLIZZARD): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-26T20:46:42.211Z [EVENT]  score: 44-42
2026-02-26T20:46:53.039Z [ODDS]  NY Knicks (BLIZZARD): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-26T20:47:04.313Z [ODDS]  NY Knicks (BLIZZARD): 20/23 → 20/21, BOS Celtics (LEGACY): 4/5 → 20/27
2026-02-26T20:47:11.079Z [ODDS]  NY Knicks (BLIZZARD): 20/21 → 20/31, BOS Celtics (LEGACY): 20/27 → 28/25
2026-02-26T20:47:11.079Z [EVENT]  score: 44-44
2026-02-26T20:47:24.159Z [ODDS]  NY Knicks (BLIZZARD): 20/31 → 5/8, BOS Celtics (LEGACY): 28/25 → 23/20
2026-02-26T20:47:38.144Z [ODDS]  NY Knicks (BLIZZARD): 5/8 → 28/25, BOS Celtics (LEGACY): 23/20 → 20/31
2026-02-26T20:47:52.122Z [ODDS]  NY Knicks (BLIZZARD): 28/25 → 20/27, BOS Celtics (LEGACY): 20/31 → 20/21
2026-02-26T20:47:52.122Z [EVENT]  score: 44-47
2026-02-26T20:48:09.352Z [ODDS]  NY Knicks (BLIZZARD): 20/27 → 0/0, BOS Celtics (LEGACY): 20/21 → 0/0
