2026-02-26T23:08:50.102Z [EVENT]  score: 16-16
2026-02-26T23:09:09.496Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/27, CHA Hornets (BLIZZARD): 5/6 → 20/21
2026-02-26T23:09:33.851Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 5/6, CHA Hornets (BLIZZARD): 20/21 → 5/6
2026-02-26T23:09:56.400Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/27, CHA Hornets (BLIZZARD): 5/6 → 20/21
2026-02-26T23:10:02.267Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 5/6, CHA Hornets (BLIZZARD): 20/21 → 5/6
2026-02-26T23:10:02.267Z [EVENT]  score: 16-18
2026-02-26T23:10:15.341Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-26T23:10:33.383Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 20/23, CHA Hornets (BLIZZARD): 20/23 → 4/5
2026-02-26T23:10:33.383Z [EVENT]  score: 16-20
2026-02-26T23:10:46.466Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 5/6, CHA Hornets (BLIZZARD): 4/5 → 5/6
2026-02-26T23:11:02.734Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-26T23:11:05.409Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 20/23, CHA Hornets (BLIZZARD): 20/23 → 4/5
2026-02-26T23:11:05.409Z [EVENT]  score: 16-22
2026-02-26T23:11:17.134Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 5/6, CHA Hornets (BLIZZARD): 4/5 → 5/6
2026-02-26T23:11:25.252Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, CHA Hornets (BLIZZARD): 5/6 → 4/5
2026-02-26T23:11:33.822Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 4/5, CHA Hornets (BLIZZARD): 4/5 → 20/23
2026-02-26T23:11:33.822Z [EVENT]  score: 18-22
2026-02-26T23:11:58.628Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 20/27, CHA Hornets (BLIZZARD): 20/23 → 20/21
2026-02-26T23:11:58.628Z [EVENT]  score: 20-22
2026-02-26T23:12:07.649Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 4/5, CHA Hornets (BLIZZARD): 20/21 → 20/23
2026-02-26T23:13:24.323Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 5/6, CHA Hornets (BLIZZARD): 20/23 → 5/6
2026-02-26T23:13:27.026Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/27, CHA Hornets (BLIZZARD): 5/6 → 20/21
2026-02-26T23:13:27.026Z [EVENT]  score: 22-22
2026-02-26T23:13:36.044Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 5/6, CHA Hornets (BLIZZARD): 20/21 → 5/6
2026-02-26T23:13:36.045Z [EVENT]  score: 22-24
2026-02-26T23:13:47.772Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 5/7, CHA Hornets (BLIZZARD): 5/6 → 1/1
2026-02-26T23:13:47.772Z [EVENT]  score: 24-24
2026-02-26T23:13:52.743Z [ODDS]  DAL Mavericks (LEGACY): 5/7 → 20/29, CHA Hornets (BLIZZARD): 1/1 → 21/20
2026-02-26T23:13:57.244Z [ODDS]  DAL Mavericks (LEGACY): 20/29 → 4/5, CHA Hornets (BLIZZARD): 21/20 → 20/23
2026-02-26T23:14:13.929Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 5/6, CHA Hornets (BLIZZARD): 20/23 → 5/6
2026-02-26T23:14:16.649Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 4/6, CHA Hornets (BLIZZARD): 5/6 → 11/10
