2026-02-26T21:08:15.237Z [EVENT]  score: 2-0
2026-02-26T21:09:05.749Z [EVENT]  score: 5-0
2026-02-26T21:09:27.854Z [ODDS]  CSCD Kassantina: 5/6 → 20/21, CRB Dar Beida: 5/6 → 20/27
2026-02-26T21:09:27.854Z [EVENT]  score: 5-2
2026-02-26T21:09:45.437Z [ODDS]  CSCD Kassantina: 20/21 → 5/6, CRB Dar Beida: 20/27 → 5/6
2026-02-26T21:09:45.437Z [EVENT]  score: 8-2
2026-02-26T21:11:18.365Z [EVENT]  score: 8-4
2026-02-26T21:11:34.588Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:11:50.821Z [ODDS]  CSCD Kassantina: 4/5 → 20/21, CRB Dar Beida: 20/23 → 20/27
2026-02-26T21:12:03.458Z [ODDS]  CSCD Kassantina: 20/21 → 20/23, CRB Dar Beida: 20/27 → 4/5
2026-02-26T21:12:03.458Z [EVENT]  score: 8-5
2026-02-26T21:12:13.375Z [EVENT]  score: 8-6
2026-02-26T21:12:35.578Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:12:45.841Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:12:57.625Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:13:16.988Z [EVENT]  score: 8-8
2026-02-26T21:13:20.116Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:13:21.021Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:13:31.402Z [EVENT]  score: 8-9
2026-02-26T21:13:59.360Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T21:13:59.360Z [EVENT]  score: 10-9
2026-02-26T21:14:17.427Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T21:14:17.427Z [EVENT]  score: 10-11
2026-02-26T21:14:34.993Z [EVENT]  score: 13-11
2026-02-26T21:14:54.385Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
