2026-02-26T19:47:15.772Z [EVENT]  score: 35-32
2026-02-26T19:47:30.662Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:48:06.288Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:48:10.351Z [EVENT]  score: 35-34
2026-02-26T19:48:25.231Z [EVENT]  score: 37-34
2026-02-26T19:48:38.309Z [EVENT]  score: 37-36
2026-02-26T19:50:45.079Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:50:50.904Z [ODDS]  Selfoss: 4/5 → 20/23, Hamar: 20/23 → 4/5
2026-02-26T19:51:03.084Z [ODDS]  Selfoss: 20/23 → 4/5, Hamar: 4/5 → 20/23
2026-02-26T19:51:03.084Z [EVENT]  score: 38-36
2026-02-26T19:51:12.101Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:51:12.101Z [EVENT]  score: 39-36
2026-02-26T19:51:31.944Z [EVENT]  score: 39-39
2026-02-26T19:51:50.886Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T19:51:59.008Z [ODDS]  Selfoss: 20/23 → 4/5, Hamar: 4/5 → 20/23
2026-02-26T19:52:09.842Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:52:20.660Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:52:26.977Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:52:49.981Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:52:50.882Z [EVENT]  score: 41-39
2026-02-26T19:52:55.841Z [EVENT]  score: 39-39
2026-02-26T19:52:59.461Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:53:00.348Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:53:34.623Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:53:34.624Z [EVENT]  score: 39-41
2026-02-26T19:54:40.482Z [EVENT]  score: 42-41
2026-02-26T19:54:54.452Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T19:55:09.784Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T19:55:24.667Z [EVENT]  score: 43-41
2026-02-26T19:55:38.197Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T19:55:38.197Z [EVENT]  score: 44-41
2026-02-26T19:56:17.469Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T19:56:17.469Z [EVENT]  score: 44-43
2026-02-26T19:56:28.294Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T19:56:28.294Z [EVENT]  score: 46-43
2026-02-26T19:56:45.434Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T19:56:52.198Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T19:57:18.359Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T19:57:31.438Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T19:57:32.789Z [ODDS]  Selfoss: 20/23 → 4/5, Hamar: 4/5 → 20/23
2026-02-26T19:57:34.593Z [ODDS]  Selfoss: 4/5 → 20/23, Hamar: 20/23 → 4/5
2026-02-26T19:57:51.282Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T19:57:51.282Z [EVENT]  score: 46-45
2026-02-26T19:58:08.878Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:58:21.054Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:58:27.818Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:59:06.610Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T19:59:14.283Z [EVENT]  score: 46-46
2026-02-26T19:59:35.013Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T19:59:35.013Z [EVENT]  score: 46-47
2026-02-26T19:59:48.098Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
