2026-02-26T20:08:09.321Z [EVENT]  score: 16-14
2026-02-26T20:08:12.482Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/27, MIA Heat (ARCHITECT): 5/6 → 20/21
2026-02-26T20:08:12.482Z [EVENT]  score: 16-15
2026-02-26T20:08:28.259Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 5/6, MIA Heat (ARCHITECT): 20/21 → 5/6
2026-02-26T20:08:28.259Z [EVENT]  score: 18-15
2026-02-26T20:08:47.655Z [EVENT]  score: 18-16
2026-02-26T20:09:37.713Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:09:37.713Z [EVENT]  score: 18-18
2026-02-26T20:10:22.364Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6, CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:10:22.364Z [EVENT]  score: 20-18
2026-02-26T20:10:22.364Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6, CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:10:25.069Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T20:10:33.637Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:10:54.384Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T20:11:14.680Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:11:31.366Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T20:11:36.329Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:11:49.429Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/21, MIA Heat (ARCHITECT): 5/6 → 20/27
2026-02-26T20:11:49.429Z [EVENT]  score: 20-20
2026-02-26T20:12:10.156Z [ODDS]  CHI Bulls (OCEAN): 20/21 → 5/6, MIA Heat (ARCHITECT): 20/27 → 5/6
2026-02-26T20:12:10.156Z [EVENT]  score: 22-20
2026-02-26T20:12:18.722Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/21, MIA Heat (ARCHITECT): 5/6 → 20/27
2026-02-26T20:12:18.722Z [EVENT]  score: 22-22
2026-02-26T20:12:35.858Z [ODDS]  CHI Bulls (OCEAN): 20/21 → 5/6, MIA Heat (ARCHITECT): 20/27 → 5/6
2026-02-26T20:12:35.858Z [EVENT]  score: 24-22
2026-02-26T20:12:51.646Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 1/1, MIA Heat (ARCHITECT): 5/6 → 5/7
2026-02-26T20:12:51.646Z [EVENT]  score: 24-24
2026-02-26T20:12:54.351Z [ODDS]  CHI Bulls (OCEAN): 1/1 → 20/23, MIA Heat (ARCHITECT): 5/7 → 4/5
2026-02-26T20:12:55.253Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T20:12:59.315Z [EVENT]  score: 24-25
2026-02-26T20:13:16.001Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:13:22.764Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T20:13:22.764Z [EVENT]  score: 24-27
2026-02-26T20:13:43.965Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:13:43.965Z [EVENT]  score: 26-27
2026-02-26T20:13:45.772Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:13:51.655Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:13:51.655Z [EVENT]  score: 27-27
2026-02-26T20:14:00.659Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 1/1, MIA Heat (ARCHITECT): 4/5 → 5/7
2026-02-26T20:14:09.668Z [ODDS]  CHI Bulls (OCEAN): 1/1 → 5/6, MIA Heat (ARCHITECT): 5/7 → 5/6
2026-02-26T20:14:09.668Z [EVENT]  score: 30-27
2026-02-26T20:14:25.002Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:14:25.003Z [EVENT]  score: 30-29
2026-02-26T20:14:36.284Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:14:36.284Z [EVENT]  score: 32-29
2026-02-26T20:14:53.422Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:14:53.422Z [EVENT]  score: 32-31
2026-02-26T20:16:08.740Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 20/27, MIA Heat (ARCHITECT): 20/23 → 20/21
2026-02-26T20:16:12.347Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 4/5, MIA Heat (ARCHITECT): 20/21 → 20/23
2026-02-26T20:16:23.621Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 20/27, MIA Heat (ARCHITECT): 20/23 → 20/21
2026-02-26T20:16:33.545Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 4/5, MIA Heat (ARCHITECT): 20/21 → 20/23
2026-02-26T20:16:48.432Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 20/27, MIA Heat (ARCHITECT): 20/23 → 20/21
2026-02-26T20:16:56.549Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 5/7, MIA Heat (ARCHITECT): 20/21 → 1/1
2026-02-26T20:16:58.804Z [ODDS]  CHI Bulls (OCEAN): 5/7 → 5/6, MIA Heat (ARCHITECT): 1/1 → 5/6
2026-02-26T20:17:16.393Z [EVENT]  score: 34-31
2026-02-26T20:17:25.867Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T20:17:37.596Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T20:17:44.356Z [EVENT]  score: 34-33
2026-02-26T20:17:58.337Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 5/7, MIA Heat (ARCHITECT): 5/6 → 1/1
2026-02-26T20:18:06.911Z [ODDS]  CHI Bulls (OCEAN): 5/7 → 20/29, MIA Heat (ARCHITECT): 1/1 → 21/20
2026-02-26T20:18:09.166Z [ODDS]  CHI Bulls (OCEAN): 20/29 → 5/6, MIA Heat (ARCHITECT): 21/20 → 5/6
2026-02-26T20:18:15.934Z [EVENT]  score: 36-33
2026-02-26T20:18:26.752Z [EVENT]  score: 37-33
2026-02-26T20:18:40.280Z [EVENT]  score: 37-35
2026-02-26T20:18:41.183Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:18:42.535Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T20:18:57.433Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T20:19:04.185Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 20/27, MIA Heat (ARCHITECT): 4/5 → 20/21
2026-02-26T20:19:04.185Z [EVENT]  score: 37-37
2026-02-26T20:19:20.422Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 20/21, MIA Heat (ARCHITECT): 20/21 → 20/27
2026-02-26T20:19:36.208Z [ODDS]  CHI Bulls (OCEAN): 20/21 → 20/27, MIA Heat (ARCHITECT): 20/27 → 20/21
2026-02-26T20:19:41.168Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 20/23, MIA Heat (ARCHITECT): 20/21 → 4/5
2026-02-26T20:19:41.168Z [EVENT]  score: 39-37
2026-02-26T20:19:54.703Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 20/21, MIA Heat (ARCHITECT): 4/5 → 20/27
2026-02-26T20:19:54.703Z [EVENT]  score: 39-40
2026-02-26T20:20:05.971Z [ODDS]  CHI Bulls (OCEAN): 20/21 → 20/27, MIA Heat (ARCHITECT): 20/27 → 20/21
2026-02-26T20:20:12.737Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 4/5, MIA Heat (ARCHITECT): 20/21 → 20/23
2026-02-26T20:20:12.737Z [EVENT]  score: 39-42
2026-02-26T20:20:24.017Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 20/27, MIA Heat (ARCHITECT): 20/23 → 20/21
2026-02-26T20:20:24.017Z [EVENT]  score: 41-42
2026-02-26T20:21:00.995Z [ODDS]  CHI Bulls (OCEAN): 20/27 → 20/21, MIA Heat (ARCHITECT): 20/21 → 20/27
