2026-02-26T20:38:15.037Z [EVENT]  score: 19-13
2026-02-26T20:38:32.629Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:38:32.629Z [EVENT]  score: 22-13
2026-02-26T20:38:32.871Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:38:50.916Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:39:00.843Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6
2026-02-26T20:39:01.284Z [ODDS]  MIA Heat (Pakapaka): 20/23 → 5/6
2026-02-26T20:39:01.284Z [EVENT]  score: 24-13
2026-02-26T20:39:27.893Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:40:03.524Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6, MIA Heat (Pakapaka): 20/23 → 5/6
2026-02-26T20:40:07.132Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:40:07.132Z [EVENT]  score: 26-13
2026-02-26T20:40:17.505Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:40:17.505Z [EVENT]  score: 26-16
2026-02-26T20:40:59.899Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:40:59.899Z [EVENT]  score: 28-16
2026-02-26T20:41:15.689Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 20/23, MIA Heat (Pakapaka): 20/23 → 4/5
2026-02-26T20:41:15.689Z [EVENT]  score: 30-16
2026-02-26T20:41:15.689Z [EVENT]  score: 28-18
2026-02-26T20:41:15.689Z [EVENT]  score: 30-16
2026-02-26T20:41:15.689Z [EVENT]  score: 28-18
2026-02-26T20:41:24.254Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:41:24.254Z [EVENT]  score: 28-19
2026-02-26T20:41:24.703Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:41:48.608Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:42:11.620Z [EVENT]  score: 28-21
2026-02-26T20:42:41.382Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:42:41.382Z [EVENT]  score: 30-21
2026-02-26T20:42:53.554Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 4/5, MIA Heat (Pakapaka): 4/5 → 20/23
2026-02-26T20:44:45.852Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 20/27, MIA Heat (Pakapaka): 20/23 → 20/21
2026-02-26T20:44:49.009Z [ODDS]  MIL Bucks (Dzmn): 20/27 → 5/6, MIA Heat (Pakapaka): 20/21 → 5/6
2026-02-26T20:45:10.658Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/27, MIA Heat (Pakapaka): 5/6 → 20/21
2026-02-26T20:45:35.017Z [ODDS]  MIL Bucks (Dzmn): 20/27 → 20/23, MIA Heat (Pakapaka): 20/21 → 4/5
2026-02-26T20:46:03.425Z [EVENT]  score: 32-21
2026-02-26T20:46:20.115Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 20/21, MIA Heat (Pakapaka): 4/5 → 20/27
2026-02-26T20:46:27.779Z [ODDS]  MIL Bucks (Dzmn): 20/21 → 20/27, MIA Heat (Pakapaka): 20/27 → 20/21
2026-02-26T20:46:48.528Z [ODDS]  MIL Bucks (Dzmn): 20/27 → 4/5, MIA Heat (Pakapaka): 20/21 → 20/23
2026-02-26T20:47:06.568Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6, MIA Heat (Pakapaka): 20/23 → 5/6
2026-02-26T20:47:06.568Z [EVENT]  score: 32-24
2026-02-26T20:47:20.551Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
