2026-02-26T21:08:56.731Z [EVENT]  score: 7-10
2026-02-26T21:09:40.032Z [EVENT]  score: 7-13
2026-02-26T21:09:51.751Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 20/23, OKC Thunder (SPARKZ): 20/23 → 4/5
2026-02-26T21:09:51.751Z [EVENT]  score: 10-13
2026-02-26T21:10:01.224Z [ODDS]  LA Lakers (TAAPZ): 20/23 → 4/5, OKC Thunder (SPARKZ): 4/5 → 20/23
2026-02-26T21:10:19.719Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 5/6, OKC Thunder (SPARKZ): 20/23 → 5/6
2026-02-26T21:10:22.876Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 20/23, OKC Thunder (SPARKZ): 5/6 → 4/5
2026-02-26T21:10:22.876Z [EVENT]  score: 12-13
2026-02-26T21:10:35.506Z [ODDS]  LA Lakers (TAAPZ): 20/23 → 5/6, OKC Thunder (SPARKZ): 4/5 → 5/6
2026-02-26T21:10:57.658Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 4/5, OKC Thunder (SPARKZ): 5/6 → 20/23
2026-02-26T21:11:11.177Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 20/23, OKC Thunder (SPARKZ): 20/23 → 4/5
2026-02-26T21:11:11.177Z [EVENT]  score: 12-16
2026-02-26T21:11:37.759Z [ODDS]  LA Lakers (TAAPZ): 20/23 → 5/6, OKC Thunder (SPARKZ): 4/5 → 5/6
2026-02-26T21:12:00.357Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 4/5, OKC Thunder (SPARKZ): 5/6 → 20/23
2026-02-26T21:12:17.557Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 5/6, OKC Thunder (SPARKZ): 20/23 → 5/6
2026-02-26T21:12:26.452Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 4/5, OKC Thunder (SPARKZ): 5/6 → 20/23
2026-02-26T21:12:26.452Z [EVENT]  score: 12-18
2026-02-26T21:12:39.976Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 5/6, OKC Thunder (SPARKZ): 20/23 → 5/6
2026-02-26T21:12:50.815Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 20/23, OKC Thunder (SPARKZ): 5/6 → 4/5
