2026-02-26T22:08:47.253Z [EVENT]  score: 35-31
2026-02-26T22:08:47.703Z [ODDS]  DAL Mavericks (BLADE): 20/27 → 4/5, ORL Magic (FURY): 20/21 → 20/23
2026-02-26T22:08:49.054Z [ODDS]  DAL Mavericks (BLADE): 4/5 → 5/6, ORL Magic (FURY): 20/23 → 5/6
2026-02-26T22:09:01.684Z [ODDS]  DAL Mavericks (BLADE): 5/6 → 20/21, ORL Magic (FURY): 5/6 → 20/27
2026-02-26T22:09:01.685Z [EVENT]  score: 37-31
2026-02-26T22:09:12.053Z [ODDS]  DAL Mavericks (BLADE): 20/21 → 5/6, ORL Magic (FURY): 20/27 → 5/6
2026-02-26T22:09:12.053Z [EVENT]  score: 37-33
2026-02-26T22:09:23.794Z [ODDS]  DAL Mavericks (BLADE): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-26T22:09:35.507Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 20/21, ORL Magic (FURY): 4/5 → 20/27
2026-02-26T22:09:43.623Z [ODDS]  DAL Mavericks (BLADE): 20/21 → 20/23, ORL Magic (FURY): 20/27 → 4/5
2026-02-26T22:09:49.486Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 20/27, ORL Magic (FURY): 4/5 → 20/21
2026-02-26T22:09:49.486Z [EVENT]  score: 37-35
2026-02-26T22:10:44.514Z [ODDS]  DAL Mavericks (BLADE): 20/27 → 20/23, ORL Magic (FURY): 20/21 → 4/5
2026-02-26T22:10:44.514Z [EVENT]  score: 39-35
2026-02-26T22:11:03.005Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 1/1, ORL Magic (FURY): 4/5 → 5/7
2026-02-26T22:11:03.005Z [EVENT]  score: 39-37
2026-02-26T22:11:12.481Z [ODDS]  DAL Mavericks (BLADE): 1/1 → 20/21, ORL Magic (FURY): 5/7 → 20/27
2026-02-26T22:11:23.326Z [ODDS]  DAL Mavericks (BLADE): 20/21 → 20/23, ORL Magic (FURY): 20/27 → 4/5
2026-02-26T22:11:23.326Z [EVENT]  score: 41-37
2026-02-26T22:11:35.478Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 20/21, ORL Magic (FURY): 4/5 → 20/27
2026-02-26T22:11:35.478Z [EVENT]  score: 41-39
2026-02-26T22:11:47.204Z [ODDS]  DAL Mavericks (BLADE): 20/21 → 20/23, ORL Magic (FURY): 20/27 → 4/5
2026-02-26T22:11:47.204Z [EVENT]  score: 43-39
2026-02-26T22:12:04.802Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-26T22:12:08.852Z [ODDS]  DAL Mavericks (BLADE): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-26T22:12:23.291Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-26T22:12:27.342Z [EVENT]  score: 45-39
2026-02-26T22:12:53.052Z [EVENT]  score: 45-40
2026-02-26T22:12:58.463Z [ODDS]  DAL Mavericks (BLADE): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-26T22:12:58.463Z [EVENT]  score: 45-41
2026-02-26T22:13:31.385Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 21/20, ORL Magic (FURY): 4/5 → 20/29
2026-02-26T22:13:31.385Z [EVENT]  score: 45-44
2026-02-26T22:13:46.268Z [ODDS]  DAL Mavericks (BLADE): 21/20 → 20/21, ORL Magic (FURY): 20/29 → 20/27
2026-02-26T22:13:46.268Z [EVENT]  score: 47-44
2026-02-26T22:14:07.467Z [ODDS]  DAL Mavericks (BLADE): 20/21 → 21/20, ORL Magic (FURY): 20/27 → 20/29
2026-02-26T22:14:07.467Z [EVENT]  score: 47-46
2026-02-26T22:14:25.518Z [ODDS]  DAL Mavericks (BLADE): 21/20 → 20/21, ORL Magic (FURY): 20/29 → 20/27
2026-02-26T22:14:25.518Z [EVENT]  score: 49-46
2026-02-26T22:14:28.217Z [ODDS]  DAL Mavericks (BLADE): 20/21 → 20/23, ORL Magic (FURY): 20/27 → 4/5
2026-02-26T22:14:35.429Z [ODDS]  DAL Mavericks (BLADE): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-26T22:14:35.429Z [EVENT]  score: 50-46
2026-02-26T22:15:01.586Z [ODDS]  DAL Mavericks (BLADE): 5/6 → 0/0, ORL Magic (FURY): 5/6 → 0/0
