2026-02-26T19:47:41.934Z [EVENT]  score: 0-1
2026-02-26T19:47:46.895Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/27, ORL Magic (PHARAOH): 5/6 → 20/21
2026-02-26T19:47:46.895Z [EVENT]  score: 0-2
2026-02-26T19:48:06.742Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 5/6, ORL Magic (PHARAOH): 20/21 → 5/6
2026-02-26T19:48:06.742Z [EVENT]  score: 2-2
2026-02-26T19:49:01.763Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 4/5, ORL Magic (PHARAOH): 5/6 → 20/23
2026-02-26T19:49:31.980Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 20/27, ORL Magic (PHARAOH): 20/23 → 20/21
2026-02-26T19:49:31.980Z [EVENT]  score: 2-4
2026-02-26T19:49:46.861Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 4/5, ORL Magic (PHARAOH): 20/21 → 20/23
2026-02-26T19:49:46.861Z [EVENT]  score: 5-4
2026-02-26T19:49:59.488Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 5/6, ORL Magic (PHARAOH): 20/23 → 5/6
2026-02-26T19:49:59.488Z [EVENT]  score: 5-6
2026-02-26T19:50:07.605Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 4/5, ORL Magic (PHARAOH): 5/6 → 20/23
2026-02-26T19:50:32.863Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 5/6, ORL Magic (PHARAOH): 20/23 → 5/6
2026-02-26T19:50:32.863Z [EVENT]  score: 5-8
2026-02-26T19:50:53.612Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, ORL Magic (PHARAOH): 5/6 → 4/5
2026-02-26T19:50:53.612Z [EVENT]  score: 5-10
2026-02-26T19:51:08.495Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 5/6, ORL Magic (PHARAOH): 4/5 → 5/6
2026-02-26T19:51:12.550Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, ORL Magic (PHARAOH): 5/6 → 4/5
2026-02-26T19:51:24.728Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 5/6, ORL Magic (PHARAOH): 4/5 → 5/6
2026-02-26T19:52:00.361Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, ORL Magic (PHARAOH): 5/6 → 4/5
2026-02-26T19:52:10.741Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 20/21, ORL Magic (PHARAOH): 4/5 → 20/27
2026-02-26T19:52:10.741Z [EVENT]  score: 8-10
2026-02-26T19:52:17.510Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 1/1, ORL Magic (PHARAOH): 20/27 → 5/7
2026-02-26T19:52:31.031Z [ODDS]  DAL Mavericks (LEGACY): 1/1 → 20/23, ORL Magic (PHARAOH): 5/7 → 4/5
2026-02-26T19:52:31.031Z [EVENT]  score: 10-10
2026-02-26T19:52:55.841Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 4/5, ORL Magic (PHARAOH): 4/5 → 20/23
2026-02-26T19:53:10.723Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 5/6, ORL Magic (PHARAOH): 20/23 → 5/6
2026-02-26T19:53:10.724Z [EVENT]  score: 12-10
2026-02-26T19:53:23.353Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, ORL Magic (PHARAOH): 5/6 → 4/5
2026-02-26T19:53:29.664Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 20/21, ORL Magic (PHARAOH): 4/5 → 20/27
2026-02-26T19:53:29.664Z [EVENT]  score: 12-12
2026-02-26T19:54:33.253Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 20/23, ORL Magic (PHARAOH): 20/27 → 4/5
2026-02-26T19:54:33.253Z [EVENT]  score: 15-12
2026-02-26T19:54:56.707Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 20/21, ORL Magic (PHARAOH): 4/5 → 20/27
2026-02-26T19:54:56.707Z [EVENT]  score: 15-15
2026-02-26T19:55:07.530Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 1/1, ORL Magic (PHARAOH): 20/27 → 5/7
2026-02-26T19:55:20.610Z [ODDS]  DAL Mavericks (LEGACY): 1/1 → 20/23, ORL Magic (PHARAOH): 5/7 → 4/5
2026-02-26T19:55:20.610Z [EVENT]  score: 17-15
2026-02-26T19:55:30.085Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 4/5, ORL Magic (PHARAOH): 4/5 → 20/23
2026-02-26T19:56:03.491Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 20/23, ORL Magic (PHARAOH): 20/23 → 4/5
