2026-02-26T19:47:38.327Z [EVENT]  score: 2-3
2026-02-26T19:48:15.776Z [EVENT]  score: 4-3
2026-02-26T19:48:25.679Z [EVENT]  score: 4-6
2026-02-26T19:48:45.977Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T19:48:45.977Z [EVENT]  score: 7-6
2026-02-26T19:48:55.450Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T19:48:55.450Z [EVENT]  score: 7-8
2026-02-26T19:49:05.819Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T19:49:45.970Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:49:45.970Z [EVENT]  score: 7-9
2026-02-26T19:50:15.281Z [EVENT]  score: 9-9
2026-02-26T19:50:30.163Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T19:50:30.609Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:51:03.531Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T19:51:03.531Z [EVENT]  score: 9-11
2026-02-26T19:52:53.134Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T19:53:21.619Z [EVENT]  score: 9-13
2026-02-26T19:53:43.658Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T19:53:51.767Z [EVENT]  score: 9-16
2026-02-26T19:54:07.100Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:54:07.100Z [EVENT]  score: 11-16
2026-02-26T19:54:50.846Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T19:54:53.192Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T19:55:16.557Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T19:55:58.521Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:55:58.521Z [EVENT]  score: 14-16
2026-02-26T19:56:16.565Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T19:56:17.920Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:58:20.147Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T19:58:20.602Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T19:58:31.872Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:58:48.111Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T19:58:48.111Z [EVENT]  score: 14-19
2026-02-26T19:59:12.016Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T19:59:35.013Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T19:59:35.926Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:00:07.946Z [EVENT]  score: 15-19
2026-02-26T20:00:25.085Z [EVENT]  score: 16-19
2026-02-26T20:00:44.016Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:00:44.016Z [EVENT]  score: 16-21
2026-02-26T20:00:58.451Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:01:08.822Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:01:08.822Z [EVENT]  score: 18-21
2026-02-26T20:01:20.549Z [EVENT]  score: 18-24
2026-02-26T20:01:31.904Z [EVENT]  score: 20-24
2026-02-26T20:02:19.181Z [EVENT]  score: 21-24
2026-02-26T20:02:43.991Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:02:43.992Z [EVENT]  score: 21-26
2026-02-26T20:02:52.103Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:03:08.790Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:03:08.790Z [EVENT]  score: 23-26
2026-02-26T20:04:03.362Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:04:06.072Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:04:16.440Z [EVENT]  score: 25-26
2026-02-26T20:04:58.845Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:04:58.845Z [EVENT]  score: 26-26
2026-02-26T20:04:59.290Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:05:17.329Z [EVENT]  score: 26-29
2026-02-26T20:05:36.274Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:05:41.238Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:06:45.273Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:07:00.162Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:07:00.162Z [EVENT]  score: 28-29
2026-02-26T20:07:36.241Z [EVENT]  score: 29-29
2026-02-26T20:10:28.225Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:10:56.639Z [EVENT]  score: 29-30
2026-02-26T20:11:31.816Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:11:31.816Z [EVENT]  score: 31-30
2026-02-26T20:11:40.038Z [EVENT]  score: 31-32
2026-02-26T20:12:07.458Z [EVENT]  score: 31-34
2026-02-26T20:12:24.583Z [EVENT]  score: 33-34
2026-02-26T20:12:48.938Z [EVENT]  score: 35-34
2026-02-26T20:12:57.056Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:14:52.968Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:14:52.968Z [EVENT]  score: 36-34
2026-02-26T20:15:12.359Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:15:29.045Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:16:02.878Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:16:38.519Z [ODDS]  Paris: 5/6 → 20/23, Panathinaikos: 10/11 → 20/23
2026-02-26T20:17:06.020Z [ODDS]  Paris: 20/23 → 10/11, Panathinaikos: 20/23 → 5/6
2026-02-26T20:17:06.020Z [EVENT]  score: 36-36
2026-02-26T20:17:18.199Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:17:25.867Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
2026-02-26T20:17:25.867Z [EVENT]  score: 36-39
2026-02-26T20:17:53.828Z [ODDS]  Paris: 5/6 → 10/11, Panathinaikos: 10/11 → 5/6
2026-02-26T20:17:54.286Z [ODDS]  Paris: 10/11 → 20/23, Panathinaikos: 5/6 → 20/23
2026-02-26T20:21:02.803Z [EVENT]  score: 36-42
2026-02-26T20:21:12.279Z [ODDS]  Paris: 20/23 → 5/6, Panathinaikos: 20/23 → 10/11
