2026-02-27T02:10:05.012Z [EVENT]  score: 11-14
2026-02-27T02:12:09.041Z [EVENT]  score: 11-16
2026-02-27T02:12:26.179Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:12:26.179Z [EVENT]  score: 14-16
2026-02-27T02:12:37.453Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:12:37.453Z [EVENT]  score: 14-18
2026-02-27T02:13:18.494Z [EVENT]  score: 15-18
2026-02-27T02:13:34.280Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:13:34.280Z [EVENT]  score: 16-18
2026-02-27T02:14:25.693Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:14:25.693Z [EVENT]  score: 16-20
2026-02-27T02:15:08.543Z [EVENT]  score: 19-20
2026-02-27T02:15:25.686Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:15:48.685Z [ODDS]  Utah Tech: 5/6 → 20/23, Abilene Christian: 10/11 → 20/23
2026-02-27T02:15:48.685Z [EVENT]  score: 21-20
2026-02-27T02:18:08.491Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6, Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:18:08.491Z [EVENT]  score: 22-20
2026-02-27T02:18:08.491Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6, Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:18:36.454Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:18:43.671Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:19:44.557Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:20:04.854Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:20:35.972Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:21:14.144Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:21:59.865Z [EVENT]  score: 22-22
2026-02-27T02:24:02.537Z [ODDS]  Utah Tech: 20/23 → 20/21, Abilene Christian: 20/23 → 4/5
2026-02-27T02:24:02.537Z [EVENT]  score: 25-22
2026-02-27T02:24:07.497Z [ODDS]  Utah Tech: 20/21 → 1/1, Abilene Christian: 4/5 → 10/13
2026-02-27T02:24:23.733Z [ODDS]  Utah Tech: 1/1 → 10/11, Abilene Christian: 10/13 → 5/6
2026-02-27T02:24:23.733Z [EVENT]  score: 25-25
2026-02-27T02:24:39.969Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:27:46.240Z [EVENT]  score: 25-27
2026-02-27T02:27:55.259Z [EVENT]  score: 27-27
2026-02-27T02:28:10.591Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:28:56.596Z [ODDS]  Utah Tech: 10/11 → 1/1, Abilene Christian: 5/6 → 10/13
2026-02-27T02:28:56.596Z [EVENT]  score: 30-27
2026-02-27T02:29:09.675Z [ODDS]  Utah Tech: 1/1 → 20/23, Abilene Christian: 10/13 → 20/23
2026-02-27T02:29:09.675Z [EVENT]  score: 30-29
2026-02-27T02:29:20.049Z [ODDS]  Utah Tech: 20/23 → 20/21, Abilene Christian: 20/23 → 4/5
2026-02-27T02:30:45.294Z [ODDS]  Utah Tech: 20/21 → 20/23, Abilene Christian: 4/5 → 20/23
2026-02-27T02:30:56.570Z [EVENT]  score: 31-29
2026-02-27T02:31:35.356Z [ODDS]  Utah Tech: 20/23 → 10/11, Abilene Christian: 20/23 → 5/6
2026-02-27T02:31:41.670Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:32:09.182Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:32:09.183Z [EVENT]  score: 31-30
2026-02-27T02:32:39.399Z [ODDS]  Utah Tech: 5/6 → 20/23, Abilene Christian: 10/11 → 20/23
2026-02-27T02:33:00.145Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:33:26.304Z [ODDS]  Utah Tech: 5/6 → 20/23, Abilene Christian: 10/11 → 20/23
2026-02-27T02:33:41.187Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:34:17.718Z [ODDS]  Utah Tech: 5/6 → 20/23, Abilene Christian: 10/11 → 20/23
2026-02-27T02:34:44.778Z [EVENT]  score: 31-31
2026-02-27T02:35:02.819Z [EVENT]  score: 31-32
2026-02-27T02:35:44.761Z [EVENT]  score: 31-35
2026-02-27T02:36:08.664Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:36:08.664Z [EVENT]  score: 33-35
2026-02-27T02:36:25.359Z [ODDS]  Utah Tech: 5/6 → 20/23, Abilene Christian: 10/11 → 20/23
2026-02-27T02:40:22.531Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:40:22.982Z [ODDS]  Utah Tech: 5/6 → 10/11, Abilene Christian: 10/11 → 5/6
2026-02-27T02:40:22.982Z [EVENT]  score: 33-37
2026-02-27T02:40:23.434Z [ODDS]  Utah Tech: 10/11 → 20/23, Abilene Christian: 5/6 → 20/23
2026-02-27T02:40:23.434Z [EVENT]  score: 33-39
2026-02-27T02:40:27.942Z [EVENT]  score: 33-41
2026-02-27T02:40:33.355Z [ODDS]  Utah Tech: 20/23 → 5/6, Abilene Christian: 20/23 → 10/11
2026-02-27T02:42:08.517Z [ODDS]  Utah Tech: 5/6 → 20/23, Abilene Christian: 10/11 → 20/23
2026-02-27T02:42:08.517Z [EVENT]  score: 33-42
2026-02-27T02:42:36.028Z [EVENT]  score: 36-42
2026-02-27T02:43:00.834Z [EVENT]  score: 36-44
2026-02-27T02:43:15.716Z [EVENT]  score: 38-44
2026-02-27T02:43:29.698Z [EVENT]  score: 38-47
2026-02-27T03:03:03.689Z [EVENT]  score: 41-47
