2026-02-27T01:08:31.410Z [EVENT]  score: 2-2
2026-02-27T01:08:56.664Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:09:03.428Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:09:03.428Z [EVENT]  score: 2-4
2026-02-27T01:09:21.924Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:09:24.177Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:09:30.491Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:09:30.491Z [EVENT]  score: 5-4
2026-02-27T01:10:07.925Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:10:12.434Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:10:19.201Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:10:29.573Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:10:29.573Z [EVENT]  score: 5-6
2026-02-27T01:10:44.455Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:10:44.455Z [EVENT]  score: 7-6
2026-02-27T01:11:06.103Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:11:06.104Z [EVENT]  score: 7-8
2026-02-27T01:11:20.097Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:11:34.974Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:11:34.974Z [EVENT]  score: 7-10
2026-02-27T01:11:37.229Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/27, BOS Celtics (LEGACY): 20/23 → 20/21
2026-02-27T01:11:37.678Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-27T01:11:43.992Z [EVENT]  score: 7-11
2026-02-27T01:12:00.226Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 5/6, BOS Celtics (LEGACY): 20/27 → 5/6
2026-02-27T01:12:00.226Z [EVENT]  score: 9-11
2026-02-27T01:12:25.483Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:12:37.659Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:12:37.659Z [EVENT]  score: 11-11
2026-02-27T01:12:47.589Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:12:53.446Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:12:53.446Z [EVENT]  score: 11-12
2026-02-27T01:12:59.309Z [EVENT]  score: 11-13
2026-02-27T01:13:11.937Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:13:11.937Z [EVENT]  score: 13-13
2026-02-27T01:13:19.604Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:13:19.604Z [EVENT]  score: 13-15
2026-02-27T01:14:17.783Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:14:17.783Z [EVENT]  score: 15-15
2026-02-27T01:14:18.235Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:14:21.844Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:14:33.569Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:14:33.569Z [EVENT]  score: 15-17
2026-02-27T01:14:48.001Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:14:48.001Z [EVENT]  score: 17-17
2026-02-27T01:14:48.452Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:14:49.807Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:15:06.492Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 4/5, BOS Celtics (LEGACY): 4/5 → 20/23
2026-02-27T01:15:36.710Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/23, BOS Celtics (LEGACY): 20/23 → 4/5
2026-02-27T01:15:55.201Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:16:10.083Z [EVENT]  score: 17-19
2026-02-27T01:16:19.105Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/27, BOS Celtics (LEGACY): 5/6 → 20/21
2026-02-27T01:16:33.536Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 5/6, BOS Celtics (LEGACY): 20/21 → 5/6
2026-02-27T01:16:33.536Z [EVENT]  score: 17-21
2026-02-27T01:16:43.006Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:16:51.125Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/23, BOS Celtics (LEGACY): 20/23 → 4/5
2026-02-27T01:17:09.615Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:17:33.520Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:17:40.286Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:17:40.286Z [EVENT]  score: 17-23
2026-02-27T01:17:58.323Z [EVENT]  score: 18-23
2026-02-27T01:18:06.442Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:18:06.442Z [EVENT]  score: 19-23
2026-02-27T01:18:11.403Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/23, BOS Celtics (LEGACY): 20/23 → 4/5
2026-02-27T01:18:13.207Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:18:13.207Z [EVENT]  score: 19-25
2026-02-27T01:18:22.228Z [EVENT]  score: 22-25
2026-02-27T01:18:27.639Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/21, BOS Celtics (LEGACY): 5/6 → 20/27
2026-02-27T01:18:41.169Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 4/5, BOS Celtics (LEGACY): 20/27 → 20/23
2026-02-27T01:18:41.169Z [EVENT]  score: 25-25
2026-02-27T01:18:53.346Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:19:14.994Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:19:14.994Z [EVENT]  score: 27-25
2026-02-27T01:19:31.230Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 4/5, BOS Celtics (LEGACY): 4/5 → 20/23
2026-02-27T01:19:38.897Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:19:38.897Z [EVENT]  score: 29-25
2026-02-27T01:19:59.643Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:20:00.545Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 20/27, BOS Celtics (LEGACY): 4/5 → 20/21
2026-02-27T01:20:00.546Z [EVENT]  score: 29-28
2026-02-27T01:21:00.980Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-27T01:21:09.549Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/23, BOS Celtics (LEGACY): 20/27 → 4/5
2026-02-27T01:21:21.274Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:21:21.274Z [EVENT]  score: 31-28
2026-02-27T01:21:21.732Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:21:24.882Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:21:39.765Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:21:44.728Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 20/21, BOS Celtics (LEGACY): 4/5 → 20/27
2026-02-27T01:22:00.964Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/27, BOS Celtics (LEGACY): 20/27 → 20/21
2026-02-27T01:22:01.414Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-27T01:22:06.825Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/27, BOS Celtics (LEGACY): 20/27 → 20/21
