2026-02-27T00:09:39.215Z [EVENT]  score: 13-15
2026-02-27T00:09:45.980Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 20/23, CHA Hornets (BLIZZARD): 5/6 → 4/5
2026-02-27T00:09:59.059Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 4/5, CHA Hornets (BLIZZARD): 4/5 → 20/23
2026-02-27T00:09:59.059Z [EVENT]  score: 15-15
2026-02-27T00:10:16.199Z [ODDS]  ORL Magic (PHARAOH): 4/5 → 5/6, CHA Hornets (BLIZZARD): 20/23 → 5/6
2026-02-27T00:10:37.847Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-27T00:10:54.985Z [ODDS]  ORL Magic (PHARAOH): 4/5 → 5/6, CHA Hornets (BLIZZARD): 20/23 → 5/6
2026-02-27T00:11:04.007Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-27T00:11:12.574Z [EVENT]  score: 17-15
2026-02-27T00:11:13.092Z [ODDS]  ORL Magic (PHARAOH): 4/5 → 5/6, CHA Hornets (BLIZZARD): 20/23 → 5/6
2026-02-27T00:11:13.927Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-27T00:11:26.555Z [ODDS]  ORL Magic (PHARAOH): 4/5 → 20/23, CHA Hornets (BLIZZARD): 20/23 → 4/5
2026-02-27T00:11:26.555Z [EVENT]  score: 17-18
2026-02-27T00:11:45.497Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 20/21, CHA Hornets (BLIZZARD): 4/5 → 20/27
2026-02-27T00:11:45.497Z [EVENT]  score: 19-18
2026-02-27T00:12:03.988Z [ODDS]  ORL Magic (PHARAOH): 20/21 → 5/7, CHA Hornets (BLIZZARD): 20/27 → 1/1
2026-02-27T00:12:31.049Z [ODDS]  ORL Magic (PHARAOH): 5/7 → 5/6, CHA Hornets (BLIZZARD): 1/1 → 5/6
2026-02-27T00:12:31.050Z [EVENT]  score: 20-18
2026-02-27T00:12:36.011Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-27T00:12:46.837Z [ODDS]  ORL Magic (PHARAOH): 4/5 → 20/23, CHA Hornets (BLIZZARD): 20/23 → 4/5
2026-02-27T00:12:46.837Z [EVENT]  score: 20-20
2026-02-27T00:13:13.443Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 5/6, CHA Hornets (BLIZZARD): 4/5 → 5/6
2026-02-27T00:13:21.561Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 20/23, CHA Hornets (BLIZZARD): 5/6 → 4/5
2026-02-27T00:13:28.777Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 5/6, CHA Hornets (BLIZZARD): 4/5 → 5/6
2026-02-27T00:13:35.993Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-27T00:13:35.993Z [EVENT]  score: 20-22
2026-02-27T00:13:50.876Z [ODDS]  ORL Magic (PHARAOH): 4/5 → 20/23, CHA Hornets (BLIZZARD): 20/23 → 4/5
2026-02-27T00:14:03.505Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 5/6, CHA Hornets (BLIZZARD): 4/5 → 5/6
2026-02-27T00:14:03.505Z [EVENT]  score: 20-24
2026-02-27T00:14:19.749Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 20/23, CHA Hornets (BLIZZARD): 5/6 → 4/5
2026-02-27T00:14:19.749Z [EVENT]  score: 22-24
2026-02-27T00:14:40.038Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 20/21, CHA Hornets (BLIZZARD): 4/5 → 20/27
2026-02-27T00:14:49.058Z [ODDS]  ORL Magic (PHARAOH): 20/21 → 20/23, CHA Hornets (BLIZZARD): 20/27 → 4/5
2026-02-27T00:14:49.058Z [EVENT]  score: 23-24
2026-02-27T00:14:53.573Z [EVENT]  score: 24-24
2026-02-27T00:16:29.180Z [ODDS]  ORL Magic (PHARAOH): 20/23 → 5/7, CHA Hornets (BLIZZARD): 4/5 → 1/1
2026-02-27T00:16:29.180Z [EVENT]  score: 25-24
2026-02-27T00:16:34.591Z [ODDS]  ORL Magic (PHARAOH): 5/7 → 5/6, CHA Hornets (BLIZZARD): 1/1 → 5/6
2026-02-27T00:16:34.591Z [EVENT]  score: 26-24
2026-02-27T00:16:50.377Z [ODDS]  ORL Magic (PHARAOH): 5/6 → 20/21, CHA Hornets (BLIZZARD): 5/6 → 20/27
2026-02-27T00:16:50.377Z [EVENT]  score: 26-26
