2026-02-27T00:11:06.711Z [EVENT]  score: 0-2
2026-02-27T00:11:33.771Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:11:40.536Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:11:52.310Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:11:53.615Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:11:53.615Z [EVENT]  score: 2-2
2026-02-27T00:12:33.757Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:12:38.266Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:12:43.677Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:13:13.443Z [ODDS]  IND Pacers: 5/6 → 10/11, CHA Hornets: 10/11 → 5/6
2026-02-27T00:13:16.149Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:13:16.149Z [EVENT]  score: 2-4
2026-02-27T00:14:21.095Z [EVENT]  score: 2-6
2026-02-27T00:14:33.725Z [EVENT]  score: 2-8
2026-02-27T00:17:50.817Z [EVENT]  score: 5-8
2026-02-27T00:18:07.952Z [EVENT]  score: 5-10
2026-02-27T00:18:30.956Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:18:30.956Z [EVENT]  score: 5-11
2026-02-27T00:18:32.756Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:19:01.621Z [EVENT]  score: 7-11
2026-02-27T00:19:21.465Z [EVENT]  score: 7-14
2026-02-27T00:19:31.838Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:19:44.465Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:20:06.564Z [EVENT]  score: 8-14
2026-02-27T00:20:26.859Z [EVENT]  score: 9-14
2026-02-27T00:20:54.371Z [EVENT]  score: 10-14
2026-02-27T00:22:09.237Z [EVENT]  score: 13-14
2026-02-27T00:22:29.984Z [EVENT]  score: 16-14
2026-02-27T00:23:05.195Z [EVENT]  score: 19-14
2026-02-27T00:26:23.150Z [EVENT]  score: 19-16
2026-02-27T00:26:29.484Z [EVENT]  score: 21-16
2026-02-27T00:26:41.670Z [EVENT]  score: 21-18
2026-02-27T00:27:08.707Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:27:14.132Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:28:15.906Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:28:56.123Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:28:56.123Z [EVENT]  score: 21-21
2026-02-27T00:29:28.071Z [EVENT]  score: 21-23
2026-02-27T00:29:48.860Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:30:22.638Z [ODDS]  IND Pacers: 5/6 → 10/11, CHA Hornets: 10/11 → 5/6
2026-02-27T00:30:23.990Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:30:23.990Z [EVENT]  score: 21-26
2026-02-27T00:30:33.915Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:30:37.970Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:30:43.835Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:30:46.614Z [ODDS]  IND Pacers: 5/6 → 10/11, CHA Hornets: 10/11 → 5/6
2026-02-27T00:31:00.971Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:31:51.487Z [EVENT]  score: 24-26
2026-02-27T00:32:22.257Z [EVENT]  score: 27-26
2026-02-27T00:32:37.105Z [EVENT]  score: 27-28
2026-02-27T00:32:38.438Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:32:49.703Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:33:06.904Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:33:14.022Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:33:28.511Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:33:28.511Z [EVENT]  score: 27-29
2026-02-27T00:33:46.499Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:33:46.499Z [EVENT]  score: 27-30
2026-02-27T00:34:00.024Z [EVENT]  score: 30-30
2026-02-27T00:34:12.652Z [EVENT]  score: 30-32
2026-02-27T00:35:23.464Z [EVENT]  score: 30-34
2026-02-27T00:35:56.393Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:36:12.175Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:36:27.507Z [EVENT]  score: 31-34
2026-02-27T00:39:49.602Z [EVENT]  score: 31-37
2026-02-27T00:40:07.192Z [EVENT]  score: 34-37
2026-02-27T00:40:32.452Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:40:32.452Z [EVENT]  score: 36-37
2026-02-27T00:40:41.019Z [ODDS]  IND Pacers: 5/6 → 10/11, CHA Hornets: 10/11 → 5/6
2026-02-27T00:40:47.332Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:41:02.218Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:41:02.218Z [EVENT]  score: 39-37
2026-02-27T00:44:12.547Z [ODDS]  IND Pacers: 5/6 → 10/11, CHA Hornets: 10/11 → 5/6
2026-02-27T00:44:15.251Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:44:22.467Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:44:29.682Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:44:35.546Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:44:58.097Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:45:07.140Z [EVENT]  score: 41-37
2026-02-27T00:45:22.449Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:45:42.744Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:45:42.744Z [EVENT]  score: 44-37
2026-02-27T00:46:07.098Z [EVENT]  score: 47-37
2026-02-27T00:47:01.272Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:48:53.094Z [ODDS]  IND Pacers: 10/11 → 5/6, CHA Hornets: 5/6 → 10/11
2026-02-27T00:49:31.406Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:49:57.563Z [EVENT]  score: 47-38
2026-02-27T00:50:17.857Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:50:34.546Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:51:04.311Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:51:12.882Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:51:28.666Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:51:48.061Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:51:52.571Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:51:53.923Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:51:56.634Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:51:56.634Z [EVENT]  score: 47-40
2026-02-27T00:52:47.143Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:52:53.005Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:53:02.927Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:53:43.972Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:53:57.050Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:54:15.994Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:54:15.994Z [EVENT]  score: 48-40
2026-02-27T00:54:34.033Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:54:34.033Z [EVENT]  score: 49-40
2026-02-27T00:54:56.585Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:55:18.683Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:55:18.683Z [EVENT]  score: 51-40
2026-02-27T00:56:34.452Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T00:56:34.452Z [EVENT]  score: 53-40
2026-02-27T00:57:30.827Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T00:57:59.690Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T00:58:24.946Z [ODDS]  IND Pacers: 5/6 → 20/23, CHA Hornets: 10/11 → 20/23
2026-02-27T00:58:24.946Z [EVENT]  score: 54-40
2026-02-27T00:58:58.321Z [EVENT]  score: 55-40
2026-02-27T00:59:26.733Z [EVENT]  score: 55-42
2026-02-27T00:59:45.676Z [EVENT]  score: 57-42
2026-02-27T01:00:46.562Z [EVENT]  score: 59-42
2026-02-27T01:03:19.907Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T01:03:21.709Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T01:06:01.818Z [EVENT]  score: 59-43
2026-02-27T01:06:15.810Z [EVENT]  score: 59-44
2026-02-27T01:06:38.804Z [EVENT]  score: 61-44
2026-02-27T01:06:53.685Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T01:07:00.000Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T01:07:18.042Z [EVENT]  score: 61-45
2026-02-27T01:07:36.079Z [ODDS]  IND Pacers: 20/23 → 10/11, CHA Hornets: 20/23 → 5/6
2026-02-27T01:07:36.079Z [EVENT]  score: 61-46
2026-02-27T01:07:53.217Z [ODDS]  IND Pacers: 10/11 → 20/23, CHA Hornets: 5/6 → 20/23
2026-02-27T01:07:53.218Z [EVENT]  score: 64-46
2026-02-27T01:08:05.846Z [ODDS]  IND Pacers: 20/23 → 5/6, CHA Hornets: 20/23 → 10/11
2026-02-27T01:08:10.355Z [ODDS]  IND Pacers: 5/6 → 10/11, CHA Hornets: 10/11 → 5/6
2026-02-27T01:08:10.355Z [EVENT]  score: 67-46
