2026-02-27T01:39:03.180Z [EVENT]  score: 27-30
2026-02-27T01:39:11.299Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:39:55.948Z [ODDS]  TOR Raptors (MYTH): 4/5 → 5/6, CHI Bulls (MALICE): 20/23 → 5/6
2026-02-27T01:40:07.224Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:40:51.873Z [EVENT]  score: 27-31
2026-02-27T01:40:56.835Z [EVENT]  score: 27-32
2026-02-27T01:41:03.148Z [ODDS]  TOR Raptors (MYTH): 4/5 → 5/6, CHI Bulls (MALICE): 20/23 → 5/6
2026-02-27T01:41:03.148Z [EVENT]  score: 27-33
2026-02-27T01:41:12.622Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:41:12.622Z [EVENT]  score: 29-33
2026-02-27T01:41:13.073Z [ODDS]  TOR Raptors (MYTH): 4/5 → 5/6, CHI Bulls (MALICE): 20/23 → 5/6
2026-02-27T01:41:15.779Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:41:23.902Z [ODDS]  TOR Raptors (MYTH): 4/5 → 20/27, CHI Bulls (MALICE): 20/23 → 20/21
2026-02-27T01:41:30.668Z [ODDS]  TOR Raptors (MYTH): 20/27 → 5/6, CHI Bulls (MALICE): 20/21 → 5/6
2026-02-27T01:41:35.627Z [ODDS]  TOR Raptors (MYTH): 5/6 → 20/21, CHI Bulls (MALICE): 5/6 → 20/27
2026-02-27T01:41:43.748Z [ODDS]  TOR Raptors (MYTH): 20/21 → 20/23, CHI Bulls (MALICE): 20/27 → 4/5
2026-02-27T01:42:26.145Z [ODDS]  TOR Raptors (MYTH): 20/23 → 5/6, CHI Bulls (MALICE): 4/5 → 5/6
2026-02-27T01:42:26.145Z [EVENT]  score: 31-33
2026-02-27T01:42:59.063Z [ODDS]  TOR Raptors (MYTH): 5/6 → 21/20, CHI Bulls (MALICE): 5/6 → 20/29
2026-02-27T01:42:59.063Z [EVENT]  score: 33-33
2026-02-27T01:43:09.887Z [ODDS]  TOR Raptors (MYTH): 21/20 → 4/5, CHI Bulls (MALICE): 20/29 → 20/23
2026-02-27T01:43:23.867Z [ODDS]  TOR Raptors (MYTH): 4/5 → 5/6, CHI Bulls (MALICE): 20/23 → 5/6
2026-02-27T01:43:38.752Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:43:38.752Z [EVENT]  score: 36-33
2026-02-27T01:44:05.364Z [EVENT]  score: 36-35
2026-02-27T01:44:17.992Z [ODDS]  TOR Raptors (MYTH): 4/5 → 5/6, CHI Bulls (MALICE): 20/23 → 5/6
2026-02-27T01:45:13.916Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:45:13.916Z [EVENT]  score: 38-35
2026-02-27T01:45:28.350Z [ODDS]  TOR Raptors (MYTH): 4/5 → 20/27, CHI Bulls (MALICE): 20/23 → 20/21
2026-02-27T01:45:37.820Z [ODDS]  TOR Raptors (MYTH): 20/27 → 4/5, CHI Bulls (MALICE): 20/21 → 20/23
2026-02-27T01:45:55.408Z [ODDS]  TOR Raptors (MYTH): 4/5 → 20/27, CHI Bulls (MALICE): 20/23 → 20/21
2026-02-27T01:46:20.234Z [ODDS]  TOR Raptors (MYTH): 20/27 → 20/21, CHI Bulls (MALICE): 20/21 → 20/27
2026-02-27T01:46:26.537Z [ODDS]  TOR Raptors (MYTH): 20/21 → 5/6, CHI Bulls (MALICE): 20/27 → 5/6
2026-02-27T01:46:49.989Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:46:59.911Z [ODDS]  TOR Raptors (MYTH): 4/5 → 20/23, CHI Bulls (MALICE): 20/23 → 4/5
2026-02-27T01:46:59.911Z [EVENT]  score: 38-37
2026-02-27T01:47:17.951Z [ODDS]  TOR Raptors (MYTH): 20/23 → 5/6, CHI Bulls (MALICE): 4/5 → 5/6
2026-02-27T01:47:26.069Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:47:36.935Z [ODDS]  TOR Raptors (MYTH): 4/5 → 20/21, CHI Bulls (MALICE): 20/23 → 20/27
2026-02-27T01:47:45.913Z [ODDS]  TOR Raptors (MYTH): 20/21 → 4/5, CHI Bulls (MALICE): 20/27 → 20/23
2026-02-27T01:48:00.345Z [ODDS]  TOR Raptors (MYTH): 4/5 → 20/27, CHI Bulls (MALICE): 20/23 → 20/21
2026-02-27T01:48:15.679Z [ODDS]  TOR Raptors (MYTH): 20/27 → 20/21, CHI Bulls (MALICE): 20/21 → 20/27
2026-02-27T01:48:30.563Z [ODDS]  TOR Raptors (MYTH): 20/21 → 20/23, CHI Bulls (MALICE): 20/27 → 4/5
2026-02-27T01:48:30.563Z [EVENT]  score: 39-37
2026-02-27T01:48:35.073Z [ODDS]  TOR Raptors (MYTH): 20/23 → 5/6, CHI Bulls (MALICE): 4/5 → 5/6
2026-02-27T01:48:35.073Z [EVENT]  score: 40-37
2026-02-27T01:48:48.152Z [ODDS]  TOR Raptors (MYTH): 5/6 → 20/23, CHI Bulls (MALICE): 5/6 → 4/5
2026-02-27T01:48:53.564Z [ODDS]  TOR Raptors (MYTH): 20/23 → 5/6, CHI Bulls (MALICE): 4/5 → 5/6
2026-02-27T01:48:53.564Z [EVENT]  score: 42-37
2026-02-27T01:48:54.016Z [ODDS]  TOR Raptors (MYTH): 5/6 → 4/5, CHI Bulls (MALICE): 5/6 → 20/23
2026-02-27T01:49:16.114Z [ODDS]  TOR Raptors (MYTH): 4/5 → 5/7, CHI Bulls (MALICE): 20/23 → 1/1
2026-02-27T01:49:16.114Z [EVENT]  score: 45-37
