2026-02-27T02:38:43.761Z [EVENT]  score: 15-33
2026-02-27T02:38:50.993Z [ODDS]  MEM Grizzlies (OCEAN): 5/6 → 4/5, CLE Cavaliers (ARCHITECT): 5/6 → 20/23
2026-02-27T02:39:46.450Z [ODDS]  MEM Grizzlies (OCEAN): 4/5 → 5/6, CLE Cavaliers (ARCHITECT): 20/23 → 5/6
2026-02-27T02:39:48.254Z [ODDS]  MEM Grizzlies (OCEAN): 5/6 → 4/5, CLE Cavaliers (ARCHITECT): 5/6 → 20/23
2026-02-27T02:39:54.117Z [ODDS]  MEM Grizzlies (OCEAN): 4/5 → 5/6, CLE Cavaliers (ARCHITECT): 20/23 → 5/6
2026-02-27T02:40:12.608Z [ODDS]  MEM Grizzlies (OCEAN): 5/6 → 20/23, CLE Cavaliers (ARCHITECT): 5/6 → 4/5
2026-02-27T02:40:23.885Z [ODDS]  MEM Grizzlies (OCEAN): 20/23 → 5/6, CLE Cavaliers (ARCHITECT): 4/5 → 5/6
2026-02-27T02:40:23.885Z [EVENT]  score: 15-35
2026-02-27T02:40:34.257Z [ODDS]  MEM Grizzlies (OCEAN): 5/6 → 20/23, CLE Cavaliers (ARCHITECT): 5/6 → 4/5
2026-02-27T02:40:57.709Z [EVENT]  score: 15-37
2026-02-27T02:41:10.789Z [EVENT]  score: 17-37
2026-02-27T02:41:30.633Z [EVENT]  score: 17-39
2026-02-27T02:41:33.339Z [ODDS]  MEM Grizzlies (OCEAN): 20/23 → 4/5, CLE Cavaliers (ARCHITECT): 4/5 → 20/23
2026-02-27T02:41:38.753Z [ODDS]  MEM Grizzlies (OCEAN): 4/5 → 20/23, CLE Cavaliers (ARCHITECT): 20/23 → 4/5
2026-02-27T02:41:38.753Z [EVENT]  score: 17-40
2026-02-27T02:41:54.536Z [EVENT]  score: 19-40
2026-02-27T02:42:20.243Z [EVENT]  score: 19-42
2026-02-27T02:42:58.127Z [EVENT]  score: 21-42
2026-02-27T02:43:06.697Z [ODDS]  MEM Grizzlies (OCEAN): 20/23 → 20/21, CLE Cavaliers (ARCHITECT): 4/5 → 20/27
2026-02-27T02:43:21.581Z [EVENT]  score: 23-42
2026-02-27T02:43:35.110Z [EVENT]  score: 23-44
2026-02-27T02:43:51.799Z [ODDS]  MEM Grizzlies (OCEAN): 20/21 → 20/27, CLE Cavaliers (ARCHITECT): 20/27 → 20/21
2026-02-27T02:43:56.307Z [EVENT]  score: 23-47
2026-02-27T02:44:45.925Z [ODDS]  MEM Grizzlies (OCEAN): 20/27 → 5/6, CLE Cavaliers (ARCHITECT): 20/21 → 5/6
2026-02-27T02:45:03.963Z [EVENT]  score: 26-47
2026-02-27T02:45:17.944Z [ODDS]  MEM Grizzlies (OCEAN): 5/6 → 20/23, CLE Cavaliers (ARCHITECT): 5/6 → 4/5
2026-02-27T02:45:26.064Z [ODDS]  MEM Grizzlies (OCEAN): 20/23 → 20/27, CLE Cavaliers (ARCHITECT): 4/5 → 20/21
2026-02-27T02:45:28.319Z [ODDS]  MEM Grizzlies (OCEAN): 20/27 → 20/21, CLE Cavaliers (ARCHITECT): 20/21 → 20/27
2026-02-27T02:45:29.223Z [ODDS]  MEM Grizzlies (OCEAN): 20/21 → 20/23, CLE Cavaliers (ARCHITECT): 20/27 → 4/5
2026-02-27T02:46:10.735Z [ODDS]  MEM Grizzlies (OCEAN): 20/23 → 5/6, CLE Cavaliers (ARCHITECT): 4/5 → 5/6
2026-02-27T02:46:10.736Z [EVENT]  score: 26-49
2026-02-27T02:46:15.231Z [ODDS]  MEM Grizzlies (OCEAN): 5/6 → 20/21, CLE Cavaliers (ARCHITECT): 5/6 → 20/27
2026-02-27T02:46:21.090Z [ODDS]  MEM Grizzlies (OCEAN): 20/21 → 20/23, CLE Cavaliers (ARCHITECT): 20/27 → 4/5
2026-02-27T02:46:26.954Z [ODDS]  MEM Grizzlies (OCEAN): 20/23 → 20/21, CLE Cavaliers (ARCHITECT): 4/5 → 20/27
2026-02-27T02:46:41.839Z [ODDS]  MEM Grizzlies (OCEAN): 20/21 → 20/27, CLE Cavaliers (ARCHITECT): 20/27 → 20/21
2026-02-27T02:46:41.839Z [EVENT]  score: 26-52
2026-02-27T02:47:00.338Z [ODDS]  MEM Grizzlies (OCEAN): 20/27 → 4/5, CLE Cavaliers (ARCHITECT): 20/21 → 20/23
2026-02-27T02:47:25.136Z [EVENT]  score: 26-55
2026-02-27T02:48:00.767Z [EVENT]  score: 26-57
2026-02-27T02:48:03.020Z [ODDS]  MEM Grizzlies (OCEAN): 4/5 → 20/27, CLE Cavaliers (ARCHITECT): 20/23 → 20/21
2026-02-27T02:48:21.962Z [EVENT]  score: 26-59
