2026-02-27T01:08:25.996Z [EVENT]  score: 33-55
2026-02-27T01:08:39.527Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 4/5, CLE Cavaliers (ARCHITECT): 5/6 → 20/23
2026-02-27T01:08:48.997Z [EVENT]  score: 35-55
2026-02-27T01:09:08.393Z [EVENT]  score: 35-57
2026-02-27T01:09:53.493Z [ODDS]  MIL Bucks (FIVESTAR): 4/5 → 5/6, CLE Cavaliers (ARCHITECT): 20/23 → 5/6
2026-02-27T01:10:21.015Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 20/23, CLE Cavaliers (ARCHITECT): 5/6 → 4/5
2026-02-27T01:10:30.925Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 20/21, CLE Cavaliers (ARCHITECT): 4/5 → 20/27
2026-02-27T01:10:35.888Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/23, CLE Cavaliers (ARCHITECT): 20/27 → 4/5
2026-02-27T01:10:42.653Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 4/5, CLE Cavaliers (ARCHITECT): 4/5 → 20/23
2026-02-27T01:10:42.653Z [EVENT]  score: 35-59
2026-02-27T01:10:57.083Z [ODDS]  MIL Bucks (FIVESTAR): 4/5 → 5/6, CLE Cavaliers (ARCHITECT): 20/23 → 5/6
2026-02-27T01:10:57.985Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 20/23, CLE Cavaliers (ARCHITECT): 5/6 → 4/5
2026-02-27T01:11:05.653Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 5/6, CLE Cavaliers (ARCHITECT): 4/5 → 5/6
2026-02-27T01:11:05.653Z [EVENT]  score: 35-62
2026-02-27T01:11:15.125Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 20/23, CLE Cavaliers (ARCHITECT): 5/6 → 4/5
2026-02-27T01:11:15.125Z [EVENT]  score: 37-62
2026-02-27T01:11:34.069Z [EVENT]  score: 37-64
2026-02-27T01:11:37.678Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 20/21, CLE Cavaliers (ARCHITECT): 4/5 → 20/27
2026-02-27T01:12:10.603Z [EVENT]  score: 37-66
2026-02-27T01:12:51.191Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/23, CLE Cavaliers (ARCHITECT): 20/27 → 4/5
2026-02-27T01:13:01.563Z [EVENT]  score: 37-68
2026-02-27T01:13:12.387Z [EVENT]  score: 39-68
2026-02-27T01:13:24.113Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 5/6, CLE Cavaliers (ARCHITECT): 4/5 → 5/6
2026-02-27T01:13:35.841Z [EVENT]  score: 39-70
2026-02-27T01:14:01.547Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 4/5, CLE Cavaliers (ARCHITECT): 5/6 → 20/23
2026-02-27T01:14:11.924Z [EVENT]  score: 42-70
2026-02-27T01:14:19.588Z [EVENT]  score: 42-72
2026-02-27T01:14:31.315Z [ODDS]  MIL Bucks (FIVESTAR): 4/5 → 20/27, CLE Cavaliers (ARCHITECT): 20/23 → 20/21
2026-02-27T01:14:37.178Z [EVENT]  score: 44-72
2026-02-27T01:14:48.904Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 5/7, CLE Cavaliers (ARCHITECT): 20/21 → 1/1
2026-02-27T01:14:53.864Z [ODDS]  MIL Bucks (FIVESTAR): 5/7 → 20/29, CLE Cavaliers (ARCHITECT): 1/1 → 21/20
2026-02-27T01:15:01.982Z [ODDS]  MIL Bucks (FIVESTAR): 20/29 → 21/20, CLE Cavaliers (ARCHITECT): 21/20 → 20/29
2026-02-27T01:15:10.100Z [ODDS]  MIL Bucks (FIVESTAR): 21/20 → 1/1, CLE Cavaliers (ARCHITECT): 20/29 → 5/7
2026-02-27T01:15:30.395Z [ODDS]  MIL Bucks (FIVESTAR): 1/1 → 20/21, CLE Cavaliers (ARCHITECT): 5/7 → 20/27
2026-02-27T01:15:38.965Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 1/1, CLE Cavaliers (ARCHITECT): 20/27 → 5/7
2026-02-27T01:15:46.632Z [EVENT]  score: 44-74
2026-02-27T01:15:57.906Z [ODDS]  MIL Bucks (FIVESTAR): 1/1 → 20/23, CLE Cavaliers (ARCHITECT): 5/7 → 4/5
2026-02-27T01:16:03.771Z [EVENT]  score: 47-74
2026-02-27T01:16:06.475Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 5/6, CLE Cavaliers (ARCHITECT): 4/5 → 5/6
2026-02-27T01:16:08.731Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 0/0, CLE Cavaliers (ARCHITECT): 5/6 → 0/0
2026-02-27T01:16:10.985Z [EVENT]  score: 47-76
