2026-02-27T01:39:08.591Z [EVENT]  score: 12-12
2026-02-27T01:39:15.364Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5
2026-02-27T01:39:15.806Z [ODDS]  DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:39:56.850Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6
2026-02-27T01:39:56.850Z [EVENT]  score: 12-14
2026-02-27T01:40:16.694Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:40:16.694Z [EVENT]  score: 15-14
2026-02-27T01:40:28.872Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/23, DAL Mavericks (BLADE): 20/23 → 4/5
2026-02-27T01:40:38.794Z [ODDS]  DEN Nuggets (STING): 20/23 → 4/5, DAL Mavericks (BLADE): 4/5 → 20/23
2026-02-27T01:40:41.499Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/23, DAL Mavericks (BLADE): 20/23 → 4/5
2026-02-27T01:40:44.215Z [ODDS]  DEN Nuggets (STING): 20/23 → 4/5, DAL Mavericks (BLADE): 4/5 → 20/23
2026-02-27T01:40:50.972Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6
2026-02-27T01:40:50.972Z [EVENT]  score: 17-14
2026-02-27T01:40:59.993Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:40:59.993Z [EVENT]  score: 17-16
2026-02-27T01:41:54.571Z [ODDS]  DEN Nuggets (STING): 4/5 → 1/1, DAL Mavericks (BLADE): 20/23 → 5/7
2026-02-27T01:41:54.571Z [EVENT]  score: 17-18
2026-02-27T01:42:07.199Z [ODDS]  DEN Nuggets (STING): 1/1 → 20/23, DAL Mavericks (BLADE): 5/7 → 4/5
2026-02-27T01:42:07.199Z [EVENT]  score: 19-18
2026-02-27T01:42:26.145Z [ODDS]  DEN Nuggets (STING): 20/23 → 1/1, DAL Mavericks (BLADE): 4/5 → 5/7
2026-02-27T01:42:26.145Z [EVENT]  score: 19-20
2026-02-27T01:42:39.669Z [ODDS]  DEN Nuggets (STING): 1/1 → 20/23, DAL Mavericks (BLADE): 5/7 → 4/5
2026-02-27T01:42:39.670Z [EVENT]  score: 21-20
2026-02-27T01:42:51.846Z [ODDS]  DEN Nuggets (STING): 20/23 → 4/5, DAL Mavericks (BLADE): 4/5 → 20/23
2026-02-27T01:43:04.023Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6
2026-02-27T01:43:04.023Z [EVENT]  score: 24-20
2026-02-27T01:43:15.750Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:43:15.750Z [EVENT]  score: 24-22
2026-02-27T01:43:18.455Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/27, DAL Mavericks (BLADE): 20/23 → 20/21
2026-02-27T01:43:31.535Z [ODDS]  DEN Nuggets (STING): 20/27 → 5/6, DAL Mavericks (BLADE): 20/21 → 5/6
2026-02-27T01:43:41.457Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:43:41.457Z [EVENT]  score: 24-24
2026-02-27T01:43:52.284Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/27, DAL Mavericks (BLADE): 20/23 → 20/21
2026-02-27T01:43:59.124Z [ODDS]  DEN Nuggets (STING): 20/27 → 5/7, DAL Mavericks (BLADE): 20/21 → 1/1
2026-02-27T01:43:59.501Z [ODDS]  DEN Nuggets (STING): 5/7 → 5/6, DAL Mavericks (BLADE): 1/1 → 5/6
2026-02-27T01:43:59.501Z [EVENT]  score: 24-26
2026-02-27T01:44:12.130Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/27, DAL Mavericks (BLADE): 5/6 → 20/21
2026-02-27T01:44:20.697Z [ODDS]  DEN Nuggets (STING): 20/27 → 20/21, DAL Mavericks (BLADE): 20/21 → 20/27
2026-02-27T01:44:21.600Z [ODDS]  DEN Nuggets (STING): 20/21 → 5/6, DAL Mavericks (BLADE): 20/27 → 5/6
2026-02-27T01:44:21.600Z [EVENT]  score: 24-28
2026-02-27T01:45:48.193Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:45:55.408Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6
2026-02-27T01:46:03.075Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:46:09.850Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/23, DAL Mavericks (BLADE): 20/23 → 4/5
2026-02-27T01:46:09.850Z [EVENT]  score: 24-30
2026-02-27T01:46:22.478Z [ODDS]  DEN Nuggets (STING): 20/23 → 4/5, DAL Mavericks (BLADE): 4/5 → 20/23
2026-02-27T01:46:43.225Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/27, DAL Mavericks (BLADE): 20/23 → 20/21
2026-02-27T01:46:43.225Z [EVENT]  score: 24-32
2026-02-27T01:46:54.048Z [ODDS]  DEN Nuggets (STING): 20/27 → 4/5, DAL Mavericks (BLADE): 20/21 → 20/23
2026-02-27T01:47:05.774Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/27, DAL Mavericks (BLADE): 20/23 → 20/21
2026-02-27T01:47:25.618Z [EVENT]  score: 24-34
2026-02-27T01:47:40.051Z [EVENT]  score: 27-34
2026-02-27T01:47:55.384Z [EVENT]  score: 27-36
2026-02-27T01:48:21.993Z [ODDS]  DEN Nuggets (STING): 20/27 → 20/21, DAL Mavericks (BLADE): 20/21 → 20/27
2026-02-27T01:48:28.307Z [ODDS]  DEN Nuggets (STING): 20/21 → 5/6, DAL Mavericks (BLADE): 20/27 → 5/6
2026-02-27T01:48:32.367Z [EVENT]  score: 27-38
2026-02-27T01:48:40.936Z [EVENT]  score: 29-38
2026-02-27T01:49:23.330Z [EVENT]  score: 31-38
2026-02-27T01:50:05.277Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:50:05.277Z [EVENT]  score: 33-38
2026-02-27T01:50:40.452Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/27, DAL Mavericks (BLADE): 20/23 → 20/21
