2026-02-27T01:38:52.806Z [EVENT]  score: 7-5
2026-02-27T01:39:22.120Z [ODDS]  Lindenwood: 20/23 → 10/11, Eastern Illinois: 20/23 → 5/6
2026-02-27T01:39:31.592Z [ODDS]  Lindenwood: 10/11 → 20/23, Eastern Illinois: 5/6 → 20/23
2026-02-27T01:42:25.690Z [EVENT]  score: 8-5
2026-02-27T01:42:41.925Z [EVENT]  score: 9-5
2026-02-27T01:43:04.475Z [ODDS]  Lindenwood: 20/23 → 5/6, Eastern Illinois: 20/23 → 10/11
2026-02-27T01:43:14.396Z [ODDS]  Lindenwood: 5/6 → 20/23, Eastern Illinois: 10/11 → 20/23
2026-02-27T01:43:30.632Z [ODDS]  Lindenwood: 20/23 → 10/11, Eastern Illinois: 20/23 → 5/6, Lindenwood: 10/11 → 20/23, Eastern Illinois: 5/6 → 20/23
2026-02-27T01:43:30.632Z [EVENT]  score: 11-5
2026-02-27T01:43:30.632Z [ODDS]  Lindenwood: 20/23 → 10/11, Eastern Illinois: 20/23 → 5/6, Lindenwood: 10/11 → 20/23, Eastern Illinois: 5/6 → 20/23
2026-02-27T01:43:39.205Z [ODDS]  Lindenwood: 20/23 → 10/11, Eastern Illinois: 20/23 → 5/6
2026-02-27T01:43:53.638Z [ODDS]  Lindenwood: 10/11 → 20/23, Eastern Illinois: 5/6 → 20/23
2026-02-27T01:43:53.638Z [EVENT]  score: 12-5
2026-02-27T01:44:12.581Z [ODDS]  Lindenwood: 20/23 → 10/11, Eastern Illinois: 20/23 → 5/6
2026-02-27T01:44:19.347Z [ODDS]  Lindenwood: 10/11 → 20/23, Eastern Illinois: 5/6 → 20/23
2026-02-27T01:44:45.052Z [ODDS]  Lindenwood: 20/23 → 5/6, Eastern Illinois: 20/23 → 10/11
2026-02-27T01:45:00.837Z [EVENT]  score: 13-5
2026-02-27T01:45:31.505Z [ODDS]  Lindenwood: 5/6 → 20/23, Eastern Illinois: 10/11 → 20/23
2026-02-27T01:45:39.624Z [ODDS]  Lindenwood: 20/23 → 5/6, Eastern Illinois: 20/23 → 10/11
2026-02-27T01:45:57.212Z [ODDS]  Lindenwood: 5/6 → 20/23, Eastern Illinois: 10/11 → 20/23
2026-02-27T01:46:48.185Z [ODDS]  Lindenwood: 20/23 → 10/11, Eastern Illinois: 20/23 → 5/6
2026-02-27T01:47:08.930Z [ODDS]  Lindenwood: 10/11 → 20/23, Eastern Illinois: 5/6 → 20/23
2026-02-27T01:48:06.208Z [ODDS]  Lindenwood: 20/23 → 20/21, Eastern Illinois: 20/23 → 4/5
