2026-02-27T03:10:26.326Z [EVENT]  score: 0-10
2026-02-27T03:10:33.104Z [ODDS]  Texas (W): 5/6 → 20/23, Georgia (W): 5/6 → 4/5
2026-02-27T03:10:55.639Z [ODDS]  Texas (W): 20/23 → 4/5, Georgia (W): 4/5 → 20/23
2026-02-27T03:10:55.639Z [EVENT]  score: 0-11
2026-02-27T03:11:18.205Z [ODDS]  Texas (W): 4/5 → 5/6, Georgia (W): 20/23 → 5/6
2026-02-27T03:11:38.033Z [EVENT]  score: 3-11
2026-02-27T03:11:48.417Z [ODDS]  Texas (W): 5/6 → 20/23, Georgia (W): 5/6 → 4/5
2026-02-27T03:11:59.234Z [ODDS]  Texas (W): 20/23 → 4/5, Georgia (W): 4/5 → 20/23
2026-02-27T03:12:19.977Z [ODDS]  Texas (W): 4/5 → 5/6, Georgia (W): 20/23 → 5/6
2026-02-27T03:12:31.252Z [EVENT]  score: 5-11
2026-02-27T03:12:32.605Z [ODDS]  Texas (W): 5/6 → 20/23, Georgia (W): 5/6 → 4/5
2026-02-27T03:12:52.000Z [ODDS]  Texas (W): 20/23 → 5/6, Georgia (W): 4/5 → 5/6
2026-02-27T03:12:52.000Z [EVENT]  score: 5-13
2026-02-27T03:13:07.783Z [ODDS]  Texas (W): 5/6 → 20/23, Georgia (W): 5/6 → 4/5
2026-02-27T03:13:12.293Z [ODDS]  Texas (W): 20/23 → 4/5, Georgia (W): 4/5 → 20/23
2026-02-27T03:13:12.293Z [EVENT]  score: 7-13
2026-02-27T03:13:20.862Z [ODDS]  Texas (W): 4/5 → 5/6, Georgia (W): 20/23 → 5/6
2026-02-27T03:13:32.587Z [ODDS]  Texas (W): 5/6 → 4/5, Georgia (W): 5/6 → 20/23
2026-02-27T03:13:32.588Z [EVENT]  score: 7-15
2026-02-27T03:13:48.823Z [ODDS]  Texas (W): 4/5 → 20/23, Georgia (W): 20/23 → 4/5
2026-02-27T03:14:08.219Z [ODDS]  Texas (W): 20/23 → 4/5, Georgia (W): 4/5 → 20/23
2026-02-27T03:14:11.827Z [ODDS]  Texas (W): 4/5 → 20/23, Georgia (W): 20/23 → 4/5
2026-02-27T03:14:11.827Z [EVENT]  score: 7-18
2026-02-27T03:14:31.218Z [ODDS]  Texas (W): 20/23 → 5/6, Georgia (W): 4/5 → 5/6
