2026-02-27T00:45:01.770Z [EVENT]  score: 2-0
2026-02-27T00:45:35.534Z [EVENT]  score: 4-0
2026-02-27T00:46:04.843Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T00:46:19.728Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T00:47:08.436Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T00:47:40.908Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T00:48:00.752Z [EVENT]  score: 4-2
2026-02-27T00:48:17.439Z [EVENT]  score: 6-2
2026-02-27T00:48:37.285Z [EVENT]  score: 6-4
2026-02-27T00:48:52.619Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T00:49:16.071Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T00:49:16.071Z [EVENT]  score: 7-4
2026-02-27T00:49:41.777Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T00:49:44.507Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T00:50:06.583Z [ODDS]  ORL Magic: 20/23 → 5/6, HOU Rockets: 20/23 → 10/11
2026-02-27T00:50:06.583Z [EVENT]  score: 7-7
2026-02-27T00:50:20.564Z [ODDS]  ORL Magic: 5/6 → 20/23, HOU Rockets: 10/11 → 20/23
2026-02-27T00:50:20.564Z [EVENT]  score: 9-7
2026-02-27T00:51:36.334Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T00:51:55.726Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T00:52:22.339Z [ODDS]  ORL Magic: 20/23 → 5/6, HOU Rockets: 20/23 → 10/11
2026-02-27T00:52:22.339Z [EVENT]  score: 9-8
2026-02-27T00:52:39.476Z [ODDS]  ORL Magic: 5/6 → 20/23, HOU Rockets: 10/11 → 20/23
2026-02-27T00:52:39.476Z [EVENT]  score: 11-8
2026-02-27T00:53:18.712Z [EVENT]  score: 13-8
2026-02-27T00:53:35.851Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T00:54:01.109Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T00:58:15.927Z [EVENT]  score: 13-9
2026-02-27T00:58:34.418Z [EVENT]  score: 13-10
2026-02-27T00:59:41.165Z [EVENT]  score: 13-12
2026-02-27T01:00:49.720Z [ODDS]  ORL Magic: 20/23 → 5/6, HOU Rockets: 20/23 → 10/11
2026-02-27T01:00:57.837Z [ODDS]  ORL Magic: 5/6 → 20/23, HOU Rockets: 10/11 → 20/23
2026-02-27T01:01:26.253Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T01:01:26.253Z [EVENT]  score: 14-12
2026-02-27T01:01:53.761Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
2026-02-27T01:01:53.761Z [EVENT]  score: 15-12
2026-02-27T01:02:09.095Z [ODDS]  ORL Magic: 20/23 → 5/6, HOU Rockets: 20/23 → 10/11
2026-02-27T01:02:21.272Z [ODDS]  ORL Magic: 5/6 → 20/23, HOU Rockets: 10/11 → 20/23
2026-02-27T01:02:30.293Z [EVENT]  score: 15-14
2026-02-27T01:02:43.822Z [ODDS]  ORL Magic: 20/23 → 5/6, HOU Rockets: 20/23 → 10/11
2026-02-27T01:02:49.686Z [ODDS]  ORL Magic: 5/6 → 20/23, HOU Rockets: 10/11 → 20/23
2026-02-27T01:02:49.686Z [EVENT]  score: 15-16
2026-02-27T01:03:26.219Z [ODDS]  ORL Magic: 20/23 → 10/11, HOU Rockets: 20/23 → 5/6
2026-02-27T01:03:26.219Z [EVENT]  score: 16-16
2026-02-27T01:03:37.945Z [ODDS]  ORL Magic: 10/11 → 20/23, HOU Rockets: 5/6 → 20/23
