2026-02-27T01:38:44.234Z [EVENT]  score: 30-42
2026-02-27T01:38:54.611Z [EVENT]  score: 32-42
2026-02-27T01:39:04.081Z [EVENT]  score: 32-44
2026-02-27T01:39:23.027Z [EVENT]  score: 33-44
2026-02-27T01:39:27.983Z [EVENT]  score: 34-44
2026-02-27T01:39:53.694Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 20/21, MEM Grizzlies (OCEAN): 5/6 → 20/27
2026-02-27T01:40:09.029Z [EVENT]  score: 36-44
2026-02-27T01:40:25.264Z [EVENT]  score: 36-46
2026-02-27T01:40:41.950Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 5/6, MEM Grizzlies (OCEAN): 20/27 → 5/6
2026-02-27T01:40:46.913Z [EVENT]  score: 37-46
2026-02-27T01:40:52.324Z [EVENT]  score: 38-46
2026-02-27T01:41:22.099Z [EVENT]  score: 41-46
2026-02-27T01:41:22.549Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 4/5, MEM Grizzlies (OCEAN): 5/6 → 20/23
2026-02-27T01:41:59.079Z [ODDS]  MIL Bucks (FIVESTAR): 4/5 → 20/27, MEM Grizzlies (OCEAN): 20/23 → 20/21
2026-02-27T01:41:59.079Z [EVENT]  score: 43-46
2026-02-27T01:42:01.335Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/21, MEM Grizzlies (OCEAN): 20/21 → 20/27
2026-02-27T01:42:17.572Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/23, MEM Grizzlies (OCEAN): 20/27 → 4/5
2026-02-27T01:42:18.924Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 20/21, MEM Grizzlies (OCEAN): 4/5 → 20/27
2026-02-27T01:42:18.924Z [EVENT]  score: 43-48
2026-02-27T01:42:26.592Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/27, MEM Grizzlies (OCEAN): 20/27 → 20/21
2026-02-27T01:42:33.806Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/21, MEM Grizzlies (OCEAN): 20/21 → 20/27
2026-02-27T01:42:45.983Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/23, MEM Grizzlies (OCEAN): 20/27 → 4/5
2026-02-27T01:42:48.239Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 20/21, MEM Grizzlies (OCEAN): 4/5 → 20/27, MIL Bucks (FIVESTAR): 20/21 → 20/27, MEM Grizzlies (OCEAN): 20/27 → 20/21
2026-02-27T01:42:48.239Z [EVENT]  score: 43-50
2026-02-27T01:42:48.239Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/21, MEM Grizzlies (OCEAN): 20/21 → 20/27, MIL Bucks (FIVESTAR): 20/21 → 20/27, MEM Grizzlies (OCEAN): 20/27 → 20/21
2026-02-27T01:43:43.261Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/21, MEM Grizzlies (OCEAN): 20/21 → 20/27
2026-02-27T01:43:59.952Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/23, MEM Grizzlies (OCEAN): 20/27 → 4/5
2026-02-27T01:44:19.347Z [EVENT]  score: 43-51
2026-02-27T01:44:31.072Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 4/5, MEM Grizzlies (OCEAN): 4/5 → 20/23
2026-02-27T01:44:31.072Z [EVENT]  score: 46-51
2026-02-27T01:45:15.720Z [ODDS]  MIL Bucks (FIVESTAR): 4/5 → 20/27, MEM Grizzlies (OCEAN): 20/23 → 20/21
2026-02-27T01:45:23.838Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 5/6, MEM Grizzlies (OCEAN): 20/21 → 5/6
2026-02-27T01:45:33.761Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 20/27, MEM Grizzlies (OCEAN): 5/6 → 20/21
2026-02-27T01:45:45.937Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/23, MEM Grizzlies (OCEAN): 20/21 → 4/5
2026-02-27T01:46:04.430Z [EVENT]  score: 48-51
2026-02-27T01:46:40.518Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 5/6, MEM Grizzlies (OCEAN): 4/5 → 5/6
2026-02-27T01:47:11.637Z [ODDS]  MIL Bucks (FIVESTAR): 5/6 → 20/23, MEM Grizzlies (OCEAN): 5/6 → 4/5
2026-02-27T01:47:11.637Z [EVENT]  score: 48-53
2026-02-27T01:47:33.736Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 20/21, MEM Grizzlies (OCEAN): 4/5 → 20/27
2026-02-27T01:48:03.502Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 20/27, MEM Grizzlies (OCEAN): 20/27 → 20/21
2026-02-27T01:48:03.502Z [EVENT]  score: 48-55
2026-02-27T01:48:16.131Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/23, MEM Grizzlies (OCEAN): 20/21 → 4/5
2026-02-27T01:48:16.581Z [ODDS]  MIL Bucks (FIVESTAR): 20/23 → 20/27, MEM Grizzlies (OCEAN): 4/5 → 20/21
2026-02-27T01:48:22.895Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 20/21, MEM Grizzlies (OCEAN): 20/21 → 20/27
2026-02-27T01:48:22.895Z [EVENT]  score: 48-56
2026-02-27T01:48:57.171Z [ODDS]  MIL Bucks (FIVESTAR): 20/21 → 1/1, MEM Grizzlies (OCEAN): 20/27 → 5/7
2026-02-27T01:48:57.171Z [EVENT]  score: 48-58
2026-02-27T01:49:11.159Z [ODDS]  MIL Bucks (FIVESTAR): 1/1 → 5/7, MEM Grizzlies (OCEAN): 5/7 → 1/1
2026-02-27T01:49:24.682Z [EVENT]  score: 48-60
2026-02-27T01:49:48.134Z [ODDS]  MIL Bucks (FIVESTAR): 5/7 → 20/27, MEM Grizzlies (OCEAN): 1/1 → 20/21
2026-02-27T01:50:02.115Z [EVENT]  score: 48-62
2026-02-27T01:50:11.136Z [EVENT]  score: 51-62
2026-02-27T01:50:31.883Z [EVENT]  score: 53-62
2026-02-27T01:50:42.708Z [EVENT]  score: 53-64
2026-02-27T01:50:52.178Z [ODDS]  MIL Bucks (FIVESTAR): 20/27 → 4/5, MEM Grizzlies (OCEAN): 20/21 → 20/23
2026-02-27T01:50:58.519Z [EVENT]  score: 56-64
2026-02-27T01:51:10.668Z [EVENT]  score: 56-67
2026-02-27T01:51:26.004Z [ODDS]  MIL Bucks (FIVESTAR): 4/5 → 0/0, MEM Grizzlies (OCEAN): 20/23 → 0/0
2026-02-27T01:51:27.807Z [EVENT]  score: 56-69
