2026-02-27T00:11:51.812Z [EVENT]  score: 0-2
2026-02-27T00:12:02.637Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:12:36.549Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:12:46.837Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:12:59.915Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:13:07.581Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:13:17.502Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:13:41.856Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:13:51.779Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:13:51.779Z [EVENT]  score: 0-4
2026-02-27T00:13:57.641Z [EVENT]  score: 3-4
2026-02-27T00:14:36.430Z [EVENT]  score: 3-7
2026-02-27T00:14:52.216Z [EVENT]  score: 6-7
2026-02-27T00:15:26.491Z [EVENT]  score: 6-10
2026-02-27T00:15:37.768Z [EVENT]  score: 6-13
2026-02-27T00:16:05.732Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:16:30.532Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:16:30.532Z [EVENT]  score: 7-13
2026-02-27T00:16:49.475Z [EVENT]  score: 8-13
2026-02-27T00:17:30.066Z [EVENT]  score: 8-15
2026-02-27T00:17:43.595Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
2026-02-27T00:17:43.595Z [EVENT]  score: 10-15
2026-02-27T00:17:48.105Z [ODDS]  PHI 76ers: 5/6 → 20/23, MIA Heat: 10/11 → 20/23
2026-02-27T00:18:16.518Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
2026-02-27T00:18:32.306Z [ODDS]  PHI 76ers: 5/6 → 20/23, MIA Heat: 10/11 → 20/23
2026-02-27T00:18:42.678Z [EVENT]  score: 12-15
2026-02-27T00:22:22.316Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
2026-02-27T00:22:22.316Z [EVENT]  score: 12-16
2026-02-27T00:22:41.710Z [ODDS]  PHI 76ers: 5/6 → 20/23, MIA Heat: 10/11 → 20/23
2026-02-27T00:22:41.710Z [EVENT]  score: 12-17
2026-02-27T00:22:59.298Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:23:29.067Z [EVENT]  score: 12-20
2026-02-27T00:23:40.829Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:23:40.829Z [EVENT]  score: 14-20
2026-02-27T00:24:18.223Z [EVENT]  score: 15-20
2026-02-27T00:24:19.126Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:24:33.559Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:24:36.263Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:24:43.499Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:24:57.462Z [EVENT]  score: 17-20
2026-02-27T00:25:40.756Z [EVENT]  score: 18-20
2026-02-27T00:25:57.023Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
2026-02-27T00:25:57.023Z [EVENT]  score: 19-20
2026-02-27T00:25:58.354Z [ODDS]  PHI 76ers: 5/6 → 20/23, MIA Heat: 10/11 → 20/23
2026-02-27T00:26:43.003Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:26:43.003Z [EVENT]  score: 19-22
2026-02-27T00:26:55.177Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:27:01.945Z [EVENT]  score: 19-25
2026-02-27T00:27:19.983Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
2026-02-27T00:27:50.656Z [ODDS]  PHI 76ers: 5/6 → 20/23, MIA Heat: 10/11 → 20/23
2026-02-27T00:27:50.656Z [EVENT]  score: 20-25
2026-02-27T00:28:28.085Z [EVENT]  score: 21-25
2026-02-27T00:28:53.870Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
2026-02-27T00:28:53.870Z [EVENT]  score: 23-25
2026-02-27T00:28:59.208Z [ODDS]  PHI 76ers: 5/6 → 10/11, MIA Heat: 10/11 → 5/6
2026-02-27T00:29:05.967Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:29:42.103Z [EVENT]  score: 24-25
2026-02-27T00:30:07.753Z [EVENT]  score: 25-25
2026-02-27T00:30:32.108Z [EVENT]  score: 25-27
2026-02-27T00:30:35.351Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:30:51.502Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:31:02.324Z [EVENT]  score: 25-28
2026-02-27T00:31:52.390Z [EVENT]  score: 27-28
2026-02-27T00:33:46.499Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:35:41.961Z [ODDS]  PHI 76ers: 10/11 → 20/21, MIA Heat: 5/6 → 4/5
2026-02-27T00:35:41.961Z [EVENT]  score: 28-28
2026-02-27T00:35:56.837Z [ODDS]  PHI 76ers: 20/21 → 10/11, MIA Heat: 4/5 → 5/6
2026-02-27T00:35:58.195Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:36:16.735Z [EVENT]  score: 28-31
2026-02-27T00:36:23.924Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:36:36.110Z [ODDS]  PHI 76ers: 10/11 → 20/23, MIA Heat: 5/6 → 20/23
2026-02-27T00:37:01.405Z [ODDS]  PHI 76ers: 20/23 → 10/11, MIA Heat: 20/23 → 5/6
2026-02-27T00:37:16.664Z [ODDS]  PHI 76ers: 10/11 → 5/6, MIA Heat: 5/6 → 10/11
2026-02-27T00:37:16.664Z [EVENT]  score: 29-31
2026-02-27T00:37:24.341Z [ODDS]  PHI 76ers: 5/6 → 20/23, MIA Heat: 10/11 → 20/23
2026-02-27T00:37:37.071Z [ODDS]  PHI 76ers: 20/23 → 5/6, MIA Heat: 20/23 → 10/11
