2026-02-27T00:41:54.534Z [EVENT]  score: 4-15
2026-02-27T00:42:36.476Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T00:43:00.423Z [ODDS]  Louisiana Tech: 10/11 → 20/23, Missouri State: 5/6 → 20/23
2026-02-27T00:43:00.423Z [EVENT]  score: 5-15
2026-02-27T00:43:21.127Z [EVENT]  score: 6-15
2026-02-27T00:44:33.302Z [EVENT]  score: 9-15
2026-02-27T00:44:45.479Z [EVENT]  score: 9-17
2026-02-27T00:44:59.005Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T00:44:59.005Z [EVENT]  score: 12-17
2026-02-27T00:45:26.960Z [ODDS]  Louisiana Tech: 10/11 → 20/23, Missouri State: 5/6 → 20/23
2026-02-27T00:45:26.960Z [EVENT]  score: 12-20
2026-02-27T00:45:46.007Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T00:48:45.401Z [ODDS]  Louisiana Tech: 10/11 → 5/6, Missouri State: 5/6 → 10/11
2026-02-27T00:48:45.401Z [EVENT]  score: 13-20
2026-02-27T00:49:00.735Z [ODDS]  Louisiana Tech: 5/6 → 20/23, Missouri State: 10/11 → 20/23
2026-02-27T00:49:00.735Z [EVENT]  score: 14-20
2026-02-27T00:52:25.051Z [EVENT]  score: 16-20
2026-02-27T00:52:49.848Z [ODDS]  Louisiana Tech: 20/23 → 5/6, Missouri State: 20/23 → 10/11
2026-02-27T00:52:59.320Z [ODDS]  Louisiana Tech: 5/6 → 10/11, Missouri State: 10/11 → 5/6
2026-02-27T00:52:59.320Z [EVENT]  score: 18-20
2026-02-27T00:53:19.615Z [ODDS]  Louisiana Tech: 10/11 → 20/23, Missouri State: 5/6 → 20/23
2026-02-27T00:53:53.442Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T00:53:53.442Z [EVENT]  score: 19-20
2026-02-27T00:54:19.600Z [ODDS]  Louisiana Tech: 10/11 → 5/6, Missouri State: 5/6 → 10/11
2026-02-27T00:54:19.600Z [EVENT]  score: 20-20
2026-02-27T00:54:50.722Z [ODDS]  Louisiana Tech: 5/6 → 20/23, Missouri State: 10/11 → 20/23
2026-02-27T00:54:50.723Z [EVENT]  score: 20-22
2026-02-27T00:55:18.683Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T00:55:39.880Z [ODDS]  Louisiana Tech: 10/11 → 20/23, Missouri State: 5/6 → 20/23
2026-02-27T00:55:55.665Z [EVENT]  score: 22-22
2026-02-27T00:59:58.305Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T00:59:58.305Z [EVENT]  score: 22-23
2026-02-27T01:00:15.895Z [ODDS]  Louisiana Tech: 10/11 → 5/6, Missouri State: 5/6 → 10/11
2026-02-27T01:00:23.110Z [ODDS]  Louisiana Tech: 5/6 → 20/23, Missouri State: 10/11 → 20/23
2026-02-27T01:00:49.720Z [EVENT]  score: 23-23
2026-02-27T01:01:16.329Z [ODDS]  Louisiana Tech: 20/23 → 10/11, Missouri State: 20/23 → 5/6
2026-02-27T01:01:16.329Z [EVENT]  score: 24-23
2026-02-27T01:01:50.153Z [ODDS]  Louisiana Tech: 10/11 → 1/1, Missouri State: 5/6 → 10/13
2026-02-27T01:01:57.828Z [ODDS]  Louisiana Tech: 1/1 → 10/11, Missouri State: 10/13 → 5/6
2026-02-27T01:01:57.828Z [EVENT]  score: 27-23
2026-02-27T01:02:23.531Z [ODDS]  Louisiana Tech: 10/11 → 5/6, Missouri State: 5/6 → 10/11
2026-02-27T01:02:24.881Z [ODDS]  Louisiana Tech: 5/6 → 10/11, Missouri State: 10/11 → 5/6
