2026-02-27T01:50:25.117Z [EVENT]  score: 0-2
2026-02-27T01:50:48.119Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T01:50:48.119Z [EVENT]  score: 3-2
2026-02-27T01:51:16.080Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T01:51:26.905Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T01:51:27.807Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T01:51:37.278Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T01:52:38.322Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T01:52:38.322Z [EVENT]  score: 3-4
2026-02-27T01:52:55.013Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T01:53:04.030Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T01:53:25.678Z [EVENT]  score: 6-4
2026-02-27T01:53:55.897Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T01:54:18.449Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T01:54:32.877Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T01:54:45.956Z [ODDS]  Little Rock: 10/11 → 4/5, Morehead State: 5/6 → 20/21
2026-02-27T01:54:45.956Z [EVENT]  score: 8-4
2026-02-27T01:55:02.643Z [ODDS]  Little Rock: 4/5 → 20/23, Morehead State: 20/21 → 20/23
2026-02-27T01:55:17.526Z [EVENT]  score: 11-4
2026-02-27T01:55:34.216Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T01:55:45.940Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T01:59:49.486Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T01:59:51.741Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T01:59:51.741Z [EVENT]  score: 11-6
2026-02-27T02:00:03.468Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:00:13.390Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:00:28.273Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:00:30.980Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:01:10.219Z [ODDS]  Little Rock: 5/6 → 10/11, Morehead State: 10/11 → 5/6
2026-02-27T02:01:10.219Z [EVENT]  score: 13-6
2026-02-27T02:01:56.672Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:02:10.653Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:02:10.653Z [EVENT]  score: 16-6
2026-02-27T02:04:49.856Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:04:53.916Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:05:04.289Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:05:05.190Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:05:37.215Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:05:37.215Z [EVENT]  score: 16-8
2026-02-27T02:05:53.901Z [EVENT]  score: 18-8
2026-02-27T02:06:04.724Z [EVENT]  score: 18-10
2026-02-27T02:06:18.706Z [EVENT]  score: 20-10
2026-02-27T02:07:38.985Z [EVENT]  score: 20-11
2026-02-27T02:08:02.436Z [EVENT]  score: 20-12
2026-02-27T02:08:41.128Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:09:12.248Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T02:09:14.501Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:09:18.560Z [EVENT]  score: 22-12
2026-02-27T02:09:44.718Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:09:53.287Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T02:09:53.737Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:09:58.698Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:10:05.012Z [EVENT]  score: 24-12
2026-02-27T02:10:23.056Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:13:14.436Z [EVENT]  score: 24-13
2026-02-27T02:13:30.221Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:13:30.221Z [EVENT]  score: 24-14
2026-02-27T02:13:56.829Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:13:56.829Z [EVENT]  score: 26-14
2026-02-27T02:15:02.228Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:15:14.857Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:15:43.720Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:16:07.623Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:16:48.214Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:16:50.468Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T02:17:01.293Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:17:01.293Z [EVENT]  score: 28-14
2026-02-27T02:17:17.529Z [EVENT]  score: 28-17
2026-02-27T02:17:47.295Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:17:57.669Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:18:21.121Z [EVENT]  score: 31-17
2026-02-27T02:18:52.692Z [EVENT]  score: 31-19
2026-02-27T02:19:15.693Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:19:33.733Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:22:13.393Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:22:38.196Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:23:18.338Z [EVENT]  score: 32-19
2026-02-27T02:23:32.319Z [EVENT]  score: 33-19
2026-02-27T02:24:58.009Z [EVENT]  score: 34-19
2026-02-27T02:25:21.009Z [EVENT]  score: 35-19
2026-02-27T02:25:46.269Z [EVENT]  score: 35-22
2026-02-27T02:27:24.140Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:27:24.140Z [EVENT]  score: 37-22
2026-02-27T02:27:34.061Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:27:34.061Z [EVENT]  score: 37-24
2026-02-27T02:44:26.524Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:44:26.524Z [EVENT]  score: 39-24
2026-02-27T02:44:27.878Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:44:56.294Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6, Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T02:44:56.294Z [EVENT]  score: 40-24
2026-02-27T02:44:56.294Z [ODDS]  Little Rock: 5/6 → 10/11, Morehead State: 10/11 → 5/6, Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T02:45:23.356Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:45:52.674Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:45:59.892Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:45:59.892Z [EVENT]  score: 40-27
2026-02-27T02:46:17.482Z [EVENT]  score: 42-27
2026-02-27T02:46:40.035Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:46:40.035Z [EVENT]  score: 42-29
2026-02-27T02:47:00.338Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:47:01.689Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:47:02.587Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:47:02.587Z [EVENT]  score: 44-29
2026-02-27T02:47:49.491Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:47:49.491Z [EVENT]  score: 44-31
2026-02-27T02:48:05.275Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:48:06.628Z [EVENT]  score: 46-31
2026-02-27T02:48:29.179Z [EVENT]  score: 46-33
2026-02-27T02:48:57.595Z [EVENT]  score: 48-33
2026-02-27T02:49:04.362Z [EVENT]  score: 48-36
2026-02-27T02:49:26.906Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:49:32.320Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T02:49:32.320Z [EVENT]  score: 48-38
2026-02-27T02:49:32.770Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:49:36.378Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T02:52:29.123Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T02:53:48.946Z [EVENT]  score: 48-40
2026-02-27T02:55:30.423Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:55:30.423Z [EVENT]  score: 48-42
2026-02-27T02:58:34.433Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T02:58:40.746Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T02:58:50.223Z [ODDS]  Little Rock: 5/6 → 10/11, Morehead State: 10/11 → 5/6
2026-02-27T02:58:50.223Z [EVENT]  score: 50-42
2026-02-27T03:00:59.210Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T03:01:47.018Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T03:02:05.509Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
2026-02-27T03:02:05.509Z [EVENT]  score: 52-42
2026-02-27T03:06:03.642Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T03:06:03.642Z [EVENT]  score: 52-45
2026-02-27T03:06:32.056Z [ODDS]  Little Rock: 5/6 → 10/11, Morehead State: 10/11 → 5/6
2026-02-27T03:06:32.056Z [EVENT]  score: 54-45
2026-02-27T03:06:56.128Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T03:06:56.128Z [EVENT]  score: 54-47
2026-02-27T03:07:09.490Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T03:07:20.313Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T03:07:20.313Z [EVENT]  score: 56-47
2026-02-27T03:07:25.274Z [ODDS]  Little Rock: 10/11 → 20/21, Morehead State: 5/6 → 4/5
2026-02-27T03:07:51.028Z [ODDS]  Little Rock: 20/21 → 10/11, Morehead State: 4/5 → 5/6
2026-02-27T03:07:52.787Z [ODDS]  Little Rock: 10/11 → 20/21, Morehead State: 5/6 → 4/5
2026-02-27T03:08:10.828Z [ODDS]  Little Rock: 20/21 → 20/23, Morehead State: 4/5 → 20/23
2026-02-27T03:08:10.828Z [EVENT]  score: 56-49
2026-02-27T03:09:20.829Z [ODDS]  Little Rock: 20/23 → 10/11, Morehead State: 20/23 → 5/6
2026-02-27T03:09:49.242Z [ODDS]  Little Rock: 10/11 → 5/6, Morehead State: 5/6 → 10/11
2026-02-27T03:10:02.818Z [ODDS]  Little Rock: 5/6 → 20/23, Morehead State: 10/11 → 20/23
2026-02-27T03:10:02.818Z [EVENT]  score: 57-49
2026-02-27T03:10:33.745Z [ODDS]  Little Rock: 20/23 → 5/6, Morehead State: 20/23 → 10/11
2026-02-27T03:10:54.737Z [ODDS]  Little Rock: 5/6 → 10/11, Morehead State: 10/11 → 5/6
2026-02-27T03:11:15.947Z [ODDS]  Little Rock: 10/11 → 20/23, Morehead State: 5/6 → 20/23
