2026-02-27T00:38:55.030Z [EVENT]  score: 0-13
2026-02-27T00:39:11.351Z [EVENT]  score: 0-14
2026-02-27T00:39:33.846Z [ODDS]  Western Kentucky: 20/23 → 10/11, New Mexico State: 20/23 → 5/6
2026-02-27T00:42:17.984Z [ODDS]  Western Kentucky: 10/11 → 20/23, New Mexico State: 5/6 → 20/23
2026-02-27T00:43:13.459Z [ODDS]  Western Kentucky: 20/23 → 10/11, New Mexico State: 20/23 → 5/6
2026-02-27T00:43:20.699Z [ODDS]  Western Kentucky: 10/11 → 5/6, New Mexico State: 5/6 → 10/11
2026-02-27T00:43:20.699Z [EVENT]  score: 0-17
2026-02-27T00:43:32.885Z [ODDS]  Western Kentucky: 5/6 → 20/23, New Mexico State: 10/11 → 20/23
2026-02-27T00:43:32.885Z [EVENT]  score: 2-17
2026-02-27T00:43:53.673Z [ODDS]  Western Kentucky: 20/23 → 5/6, New Mexico State: 20/23 → 10/11
2026-02-27T00:43:53.673Z [EVENT]  score: 2-19
2026-02-27T00:44:31.487Z [ODDS]  Western Kentucky: 5/6 → 20/23, New Mexico State: 10/11 → 20/23
2026-02-27T00:44:41.409Z [EVENT]  score: 2-21
2026-02-27T00:45:11.174Z [EVENT]  score: 2-22
2026-02-27T00:45:24.254Z [EVENT]  score: 4-22
2026-02-27T00:45:42.293Z [EVENT]  score: 4-24
2026-02-27T00:46:03.039Z [ODDS]  Western Kentucky: 20/23 → 5/6, New Mexico State: 20/23 → 10/11
2026-02-27T00:46:42.279Z [ODDS]  Western Kentucky: 5/6 → 20/23, New Mexico State: 10/11 → 20/23
2026-02-27T00:47:02.572Z [EVENT]  score: 6-24
2026-02-27T00:47:25.574Z [EVENT]  score: 6-26
2026-02-27T00:47:55.443Z [EVENT]  score: 9-26
2026-02-27T00:49:27.346Z [EVENT]  score: 9-29
2026-02-27T00:49:46.288Z [ODDS]  Western Kentucky: 20/23 → 10/11, New Mexico State: 20/23 → 5/6
2026-02-27T00:49:54.406Z [ODDS]  Western Kentucky: 10/11 → 20/23, New Mexico State: 5/6 → 20/23
2026-02-27T00:49:54.406Z [EVENT]  score: 9-31
2026-02-27T00:53:01.125Z [EVENT]  score: 9-32
2026-02-27T00:53:13.753Z [ODDS]  Western Kentucky: 20/23 → 10/11, New Mexico State: 20/23 → 5/6
2026-02-27T00:53:13.753Z [EVENT]  score: 9-33
2026-02-27T00:53:40.361Z [ODDS]  Western Kentucky: 10/11 → 20/23, New Mexico State: 5/6 → 20/23
2026-02-27T00:53:40.361Z [EVENT]  score: 11-33
2026-02-27T00:55:47.548Z [ODDS]  Western Kentucky: 20/23 → 5/6, New Mexico State: 20/23 → 10/11
2026-02-27T00:56:00.626Z [ODDS]  Western Kentucky: 5/6 → 20/23, New Mexico State: 10/11 → 20/23
2026-02-27T00:56:19.120Z [ODDS]  Western Kentucky: 20/23 → 5/6, New Mexico State: 20/23 → 10/11
