2026-02-27T02:11:30.705Z [EVENT]  score: 0-2
2026-02-27T02:11:48.295Z [EVENT]  score: 2-2
2026-02-27T02:12:50.082Z [EVENT]  score: 4-2
2026-02-27T02:12:57.748Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:12:59.101Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:13:14.436Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:13:14.436Z [EVENT]  score: 5-2
2026-02-27T02:13:28.416Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:13:28.416Z [EVENT]  score: 5-4
2026-02-27T02:15:00.425Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:15:00.425Z [EVENT]  score: 7-4
2026-02-27T02:15:13.504Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:15:16.663Z [EVENT]  score: 10-4
2026-02-27T02:15:26.585Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:15:32.448Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:15:32.448Z [EVENT]  score: 10-6
2026-02-27T02:16:19.801Z [EVENT]  score: 11-6
2026-02-27T02:19:33.283Z [EVENT]  score: 12-6
2026-02-27T02:19:53.578Z [EVENT]  score: 12-9
2026-02-27T02:20:14.777Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:20:21.992Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:20:21.992Z [EVENT]  score: 12-11
2026-02-27T02:20:38.227Z [EVENT]  score: 15-11
2026-02-27T02:21:28.743Z [EVENT]  score: 15-12
2026-02-27T02:21:49.038Z [EVENT]  score: 15-13
2026-02-27T02:21:50.842Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:22:04.371Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:22:04.371Z [EVENT]  score: 17-13
2026-02-27T02:22:42.258Z [EVENT]  score: 17-15
2026-02-27T02:22:56.238Z [EVENT]  score: 20-15
2026-02-27T02:23:08.416Z [EVENT]  score: 20-18
2026-02-27T02:23:31.418Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:23:35.927Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:23:57.576Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:24:18.321Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:24:18.321Z [EVENT]  score: 21-18
2026-02-27T02:24:54.852Z [EVENT]  score: 21-20
2026-02-27T02:25:03.421Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:27:33.613Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:27:45.335Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:28:03.378Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:28:03.378Z [EVENT]  score: 21-21
2026-02-27T02:28:18.262Z [EVENT]  score: 23-21
2026-02-27T02:28:42.168Z [EVENT]  score: 23-23
2026-02-27T02:28:59.307Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:29:08.323Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:29:40.794Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:29:40.795Z [EVENT]  score: 24-23
2026-02-27T02:29:59.738Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:29:59.738Z [EVENT]  score: 25-23
2026-02-27T02:30:26.803Z [EVENT]  score: 25-25
2026-02-27T02:30:47.098Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:30:57.922Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:30:57.922Z [EVENT]  score: 25-27
2026-02-27T02:31:09.652Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:31:12.354Z [ODDS]  UTA Jazz: 5/6 → 10/11, NO Pelicans: 10/11 → 5/6
2026-02-27T02:31:28.141Z [ODDS]  UTA Jazz: 10/11 → 5/6, NO Pelicans: 5/6 → 10/11
2026-02-27T02:31:29.493Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:31:47.985Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:32:10.986Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:32:32.182Z [EVENT]  score: 25-28
2026-02-27T02:32:49.772Z [EVENT]  score: 25-29
2026-02-27T02:33:37.579Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:33:37.579Z [EVENT]  score: 27-29
2026-02-27T02:33:40.735Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:34:09.601Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:34:09.601Z [EVENT]  score: 28-29
2026-02-27T02:34:10.954Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:34:40.719Z [EVENT]  score: 28-31
2026-02-27T02:34:48.386Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:35:13.642Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:35:13.642Z [EVENT]  score: 28-32
2026-02-27T02:36:07.311Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:36:21.294Z [EVENT]  score: 29-32
2026-02-27T02:36:43.845Z [EVENT]  score: 29-35
2026-02-27T02:37:06.847Z [EVENT]  score: 32-35
2026-02-27T02:37:17.220Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:37:28.495Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:37:28.495Z [EVENT]  score: 34-35
2026-02-27T02:37:29.848Z [ODDS]  UTA Jazz: 10/11 → 5/6, NO Pelicans: 5/6 → 10/11
2026-02-27T02:37:33.456Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:37:59.163Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:37:59.163Z [EVENT]  score: 35-35
2026-02-27T02:38:00.968Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:38:37.045Z [EVENT]  score: 37-35
2026-02-27T02:39:13.075Z [EVENT]  score: 37-38
2026-02-27T02:39:19.389Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:40:52.297Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:41:40.105Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:42:36.479Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:42:36.479Z [EVENT]  score: 39-38
2026-02-27T02:43:12.108Z [EVENT]  score: 41-38
2026-02-27T02:46:33.269Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:46:36.426Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:46:42.289Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:46:42.289Z [EVENT]  score: 41-41
2026-02-27T02:47:08.900Z [ODDS]  UTA Jazz: 10/11 → 5/6, NO Pelicans: 5/6 → 10/11
2026-02-27T02:47:30.607Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:47:30.607Z [EVENT]  score: 42-41
2026-02-27T02:47:49.491Z [EVENT]  score: 43-41
2026-02-27T02:48:56.690Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:48:56.690Z [EVENT]  score: 43-43
2026-02-27T02:49:01.201Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:49:01.201Z [EVENT]  score: 45-43
2026-02-27T02:49:59.379Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:50:11.556Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:50:29.595Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:53:35.418Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:54:23.675Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:54:28.712Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:54:28.712Z [EVENT]  score: 45-45
2026-02-27T02:54:34.950Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:54:34.951Z [EVENT]  score: 47-45
2026-02-27T02:54:36.754Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:54:44.422Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:55:16.892Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:55:16.892Z [EVENT]  score: 48-45
2026-02-27T02:55:35.385Z [ODDS]  UTA Jazz: 20/23 → 5/6, NO Pelicans: 20/23 → 10/11
2026-02-27T02:55:41.700Z [ODDS]  UTA Jazz: 5/6 → 20/23, NO Pelicans: 10/11 → 20/23
2026-02-27T02:55:47.561Z [EVENT]  score: 50-45
2026-02-27T02:56:35.819Z [EVENT]  score: 53-45
2026-02-27T02:56:49.800Z [EVENT]  score: 53-47
2026-02-27T02:57:03.330Z [EVENT]  score: 55-47
2026-02-27T02:57:19.115Z [EVENT]  score: 55-50
2026-02-27T02:58:05.598Z [EVENT]  score: 56-50
2026-02-27T02:58:37.139Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:58:39.905Z [ODDS]  UTA Jazz: 10/11 → 20/23, NO Pelicans: 5/6 → 20/23
2026-02-27T02:58:41.648Z [ODDS]  UTA Jazz: 20/23 → 10/11, NO Pelicans: 20/23 → 5/6
2026-02-27T02:58:41.648Z [EVENT]  score: 56-52
