2026-02-27T00:08:49.605Z [EVENT]  score: 3-4
2026-02-27T00:09:12.168Z [EVENT]  score: 5-4
2026-02-27T00:09:41.020Z [ODDS]  UNC Wilmington: 20/23 → 10/11, North Carolina A&T: 20/23 → 5/6
2026-02-27T00:09:51.843Z [ODDS]  UNC Wilmington: 10/11 → 20/23, North Carolina A&T: 5/6 → 20/23
2026-02-27T00:10:18.905Z [ODDS]  UNC Wilmington: 20/23 → 5/6, North Carolina A&T: 20/23 → 10/11
2026-02-27T00:10:53.181Z [ODDS]  UNC Wilmington: 5/6 → 20/23, North Carolina A&T: 10/11 → 20/23
2026-02-27T00:11:18.889Z [ODDS]  UNC Wilmington: 20/23 → 10/11, North Carolina A&T: 20/23 → 5/6
2026-02-27T00:11:47.752Z [ODDS]  UNC Wilmington: 10/11 → 20/23, North Carolina A&T: 5/6 → 20/23
2026-02-27T00:12:40.069Z [ODDS]  UNC Wilmington: 20/23 → 5/6, North Carolina A&T: 20/23 → 10/11
2026-02-27T00:12:51.807Z [ODDS]  UNC Wilmington: 5/6 → 20/23, North Carolina A&T: 10/11 → 20/23
2026-02-27T00:13:14.815Z [EVENT]  score: 5-5
2026-02-27T00:13:27.875Z [EVENT]  score: 5-6
2026-02-27T00:13:44.562Z [ODDS]  UNC Wilmington: 20/23 → 5/6, North Carolina A&T: 20/23 → 10/11
2026-02-27T00:13:44.562Z [EVENT]  score: 7-6
2026-02-27T00:13:52.681Z [ODDS]  UNC Wilmington: 5/6 → 20/23, North Carolina A&T: 10/11 → 20/23
2026-02-27T00:14:06.662Z [ODDS]  UNC Wilmington: 20/23 → 10/11, North Carolina A&T: 20/23 → 5/6
2026-02-27T00:14:06.662Z [EVENT]  score: 7-9
2026-02-27T00:14:25.155Z [ODDS]  UNC Wilmington: 10/11 → 20/23, North Carolina A&T: 5/6 → 20/23
2026-02-27T00:17:29.164Z [EVENT]  score: 7-11
2026-02-27T00:17:44.046Z [ODDS]  UNC Wilmington: 20/23 → 10/11, North Carolina A&T: 20/23 → 5/6
2026-02-27T00:17:59.380Z [ODDS]  UNC Wilmington: 10/11 → 20/23, North Carolina A&T: 5/6 → 20/23
2026-02-27T00:18:06.145Z [ODDS]  UNC Wilmington: 20/23 → 10/11, North Carolina A&T: 20/23 → 5/6
2026-02-27T00:18:21.029Z [ODDS]  UNC Wilmington: 10/11 → 5/6, North Carolina A&T: 5/6 → 10/11
2026-02-27T00:18:45.837Z [ODDS]  UNC Wilmington: 5/6 → 20/23, North Carolina A&T: 10/11 → 20/23
2026-02-27T00:19:00.270Z [ODDS]  UNC Wilmington: 20/23 → 5/6, North Carolina A&T: 20/23 → 10/11
2026-02-27T00:19:15.151Z [ODDS]  UNC Wilmington: 5/6 → 10/11, North Carolina A&T: 10/11 → 5/6
2026-02-27T00:19:15.151Z [EVENT]  score: 9-11
2026-02-27T00:19:25.523Z [ODDS]  UNC Wilmington: 10/11 → 5/6, North Carolina A&T: 5/6 → 10/11
2026-02-27T00:19:33.190Z [ODDS]  UNC Wilmington: 5/6 → 20/23, North Carolina A&T: 10/11 → 20/23
2026-02-27T00:19:47.172Z [ODDS]  UNC Wilmington: 20/23 → 5/6, North Carolina A&T: 20/23 → 10/11
2026-02-27T00:20:11.074Z [ODDS]  UNC Wilmington: 5/6 → 20/23, North Carolina A&T: 10/11 → 20/23
