2026-02-27T02:08:47.891Z [EVENT]  score: 3-8
2026-02-27T02:09:07.735Z [EVENT]  score: 5-8
2026-02-27T02:09:38.854Z [EVENT]  score: 7-8
2026-02-27T02:10:15.839Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T02:10:15.839Z [EVENT]  score: 7-11
2026-02-27T02:10:50.114Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T02:11:00.487Z [EVENT]  score: 7-14
2026-02-27T02:11:22.588Z [EVENT]  score: 10-14
2026-02-27T02:11:41.531Z [EVENT]  score: 10-17
2026-02-27T02:15:33.348Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:15:33.348Z [EVENT]  score: 11-17
2026-02-27T02:15:46.427Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:16:20.252Z [EVENT]  score: 11-19
2026-02-27T02:16:35.586Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T02:16:44.155Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T02:17:00.843Z [EVENT]  score: 13-19
2026-02-27T02:17:31.967Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:17:48.197Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:18:09.394Z [EVENT]  score: 13-22
2026-02-27T02:19:24.714Z [EVENT]  score: 13-24
2026-02-27T02:19:36.440Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:22:13.844Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:22:54.435Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T02:22:54.435Z [EVENT]  score: 13-25
2026-02-27T02:23:10.219Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T02:23:10.219Z [EVENT]  score: 13-26
2026-02-27T02:26:39.939Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T02:26:39.939Z [EVENT]  score: 13-28
2026-02-27T02:26:53.919Z [EVENT]  score: 16-28
2026-02-27T02:27:02.940Z [ODDS]  St. Thomas (MN): 5/6 → 10/11, North Dakota State: 10/11 → 5/6
2026-02-27T02:27:03.842Z [ODDS]  St. Thomas (MN): 10/11 → 5/6, North Dakota State: 5/6 → 10/11
2026-02-27T02:27:15.569Z [EVENT]  score: 16-31
2026-02-27T02:27:49.845Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T02:28:07.886Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:28:07.886Z [EVENT]  score: 17-31
2026-02-27T02:28:35.850Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:28:35.850Z [EVENT]  score: 18-31
2026-02-27T02:29:46.207Z [EVENT]  score: 18-34
2026-02-27T02:30:10.560Z [EVENT]  score: 18-37
2026-02-27T02:34:00.128Z [EVENT]  score: 20-37
2026-02-27T02:34:15.915Z [EVENT]  score: 20-39
2026-02-27T02:34:33.052Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:34:39.818Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:34:39.818Z [EVENT]  score: 20-41
2026-02-27T02:35:04.173Z [EVENT]  score: 23-41
2026-02-27T02:35:19.960Z [EVENT]  score: 23-43
2026-02-27T02:35:40.702Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:35:45.212Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:36:32.679Z [EVENT]  score: 25-43
2026-02-27T02:36:48.808Z [EVENT]  score: 25-46
2026-02-27T02:40:30.649Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:40:52.297Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:40:57.709Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:41:34.693Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:41:38.302Z [EVENT]  score: 25-48
2026-02-27T02:41:54.987Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T02:42:50.913Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T02:46:20.194Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T02:46:37.329Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T02:46:37.329Z [EVENT]  score: 27-48
2026-02-27T02:47:20.175Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T02:47:20.175Z [EVENT]  score: 27-50
2026-02-27T02:47:45.882Z [ODDS]  St. Thomas (MN): 5/6 → 10/11, North Dakota State: 10/11 → 5/6
2026-02-27T02:47:47.687Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T03:05:03.205Z [EVENT]  score: 29-50
2026-02-27T03:06:34.311Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:06:34.311Z [EVENT]  score: 29-51
2026-02-27T03:06:44.684Z [ODDS]  St. Thomas (MN): 5/6 → 10/11, North Dakota State: 10/11 → 5/6
2026-02-27T03:06:44.684Z [EVENT]  score: 29-52
2026-02-27T03:07:12.196Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
