2026-02-27T03:08:58.724Z [EVENT]  score: 2-4
2026-02-27T03:09:11.808Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:09:20.378Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:09:25.788Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:09:34.357Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:09:47.889Z [ODDS]  NY Knicks (BLADE): 5/6 → 4/5, OKC Thunder (STING): 5/6 → 20/23
2026-02-27T03:09:47.889Z [EVENT]  score: 5-4
2026-02-27T03:10:00.066Z [ODDS]  NY Knicks (BLADE): 4/5 → 5/6, OKC Thunder (STING): 20/23 → 5/6
2026-02-27T03:10:15.049Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:10:15.049Z [EVENT]  score: 7-4
2026-02-27T03:10:29.480Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:10:29.480Z [EVENT]  score: 7-6
2026-02-27T03:10:42.111Z [ODDS]  NY Knicks (BLADE): 5/6 → 4/5, OKC Thunder (STING): 5/6 → 20/23
2026-02-27T03:10:55.639Z [ODDS]  NY Knicks (BLADE): 4/5 → 20/23, OKC Thunder (STING): 20/23 → 4/5
2026-02-27T03:11:07.825Z [ODDS]  NY Knicks (BLADE): 20/23 → 20/21, OKC Thunder (STING): 4/5 → 20/27
2026-02-27T03:11:07.825Z [EVENT]  score: 7-8
2026-02-27T03:11:19.546Z [ODDS]  NY Knicks (BLADE): 20/21 → 1/1, OKC Thunder (STING): 20/27 → 5/7
2026-02-27T03:11:32.622Z [ODDS]  NY Knicks (BLADE): 1/1 → 20/23, OKC Thunder (STING): 5/7 → 4/5
2026-02-27T03:11:32.622Z [EVENT]  score: 9-8
2026-02-27T03:11:41.642Z [ODDS]  NY Knicks (BLADE): 20/23 → 4/5, OKC Thunder (STING): 4/5 → 20/23
2026-02-27T03:11:56.074Z [ODDS]  NY Knicks (BLADE): 4/5 → 5/6, OKC Thunder (STING): 20/23 → 5/6
2026-02-27T03:11:56.075Z [EVENT]  score: 11-8
2026-02-27T03:12:14.118Z [ODDS]  NY Knicks (BLADE): 5/6 → 4/5, OKC Thunder (STING): 5/6 → 20/23
2026-02-27T03:12:14.118Z [EVENT]  score: 11-10
2026-02-27T03:12:26.294Z [ODDS]  NY Knicks (BLADE): 4/5 → 20/23, OKC Thunder (STING): 20/23 → 4/5
2026-02-27T03:12:43.430Z [ODDS]  NY Knicks (BLADE): 20/23 → 1/1, OKC Thunder (STING): 4/5 → 5/7
2026-02-27T03:12:43.430Z [EVENT]  score: 11-12
2026-02-27T03:12:53.802Z [ODDS]  NY Knicks (BLADE): 1/1 → 20/21, OKC Thunder (STING): 5/7 → 20/27
2026-02-27T03:13:22.216Z [ODDS]  NY Knicks (BLADE): 20/21 → 1/1, OKC Thunder (STING): 20/27 → 5/7
2026-02-27T03:13:34.842Z [ODDS]  NY Knicks (BLADE): 1/1 → 4/5, OKC Thunder (STING): 5/7 → 20/23
2026-02-27T03:13:34.842Z [EVENT]  score: 13-12
2026-02-27T03:13:38.451Z [ODDS]  NY Knicks (BLADE): 4/5 → 20/23, OKC Thunder (STING): 20/23 → 4/5
2026-02-27T03:13:51.983Z [ODDS]  NY Knicks (BLADE): 20/23 → 1/1, OKC Thunder (STING): 4/5 → 5/7
2026-02-27T03:13:51.983Z [EVENT]  score: 13-14
2026-02-27T03:14:07.767Z [ODDS]  NY Knicks (BLADE): 1/1 → 20/23, OKC Thunder (STING): 5/7 → 4/5
2026-02-27T03:14:07.767Z [EVENT]  score: 15-14
2026-02-27T03:14:26.261Z [ODDS]  NY Knicks (BLADE): 20/23 → 1/1, OKC Thunder (STING): 4/5 → 5/7
2026-02-27T03:14:26.261Z [EVENT]  score: 15-16
2026-02-27T03:14:55.580Z [ODDS]  NY Knicks (BLADE): 1/1 → 20/21, OKC Thunder (STING): 5/7 → 20/27
2026-02-27T03:15:06.854Z [ODDS]  NY Knicks (BLADE): 20/21 → 1/1, OKC Thunder (STING): 20/27 → 5/7
2026-02-27T03:15:17.675Z [ODDS]  NY Knicks (BLADE): 1/1 → 20/23, OKC Thunder (STING): 5/7 → 4/5
2026-02-27T03:15:23.988Z [ODDS]  NY Knicks (BLADE): 20/23 → 1/1, OKC Thunder (STING): 4/5 → 5/7
2026-02-27T03:15:41.126Z [ODDS]  NY Knicks (BLADE): 1/1 → 20/23, OKC Thunder (STING): 5/7 → 4/5
2026-02-27T03:15:51.951Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:15:51.951Z [EVENT]  score: 15-18
