2026-02-27T02:38:31.181Z [EVENT]  score: 5-4
2026-02-27T02:38:31.584Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-27T02:38:35.643Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-27T02:38:43.761Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-27T02:38:50.525Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-27T02:38:50.526Z [EVENT]  score: 5-7
2026-02-27T02:39:16.232Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, ORL Magic (FURY): 5/6 → 20/23
2026-02-27T02:39:28.410Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, ORL Magic (FURY): 20/23 → 5/6
2026-02-27T02:39:28.410Z [EVENT]  score: 5-10
2026-02-27T02:39:41.941Z [EVENT]  score: 7-10
2026-02-27T02:39:53.668Z [EVENT]  score: 7-12
2026-02-27T02:40:23.434Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-27T02:40:23.434Z [EVENT]  score: 7-14
2026-02-27T02:40:55.906Z [EVENT]  score: 7-17
2026-02-27T02:40:59.515Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-27T02:41:50.477Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-27T02:41:50.929Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-27T02:42:05.811Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, ORL Magic (FURY): 5/6 → 4/5
2026-02-27T02:42:21.146Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, ORL Magic (FURY): 4/5 → 5/6
2026-02-27T02:42:21.146Z [EVENT]  score: 10-17
2026-02-27T02:42:43.245Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, ORL Magic (FURY): 5/6 → 20/23
2026-02-27T02:42:48.657Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, ORL Magic (FURY): 20/23 → 5/6
2026-02-27T02:42:48.657Z [EVENT]  score: 12-17
2026-02-27T02:43:10.304Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, ORL Magic (FURY): 5/6 → 20/23
2026-02-27T02:43:20.230Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, ORL Magic (FURY): 20/23 → 5/6
2026-02-27T02:43:20.230Z [EVENT]  score: 15-17
