2026-02-27T00:09:38.313Z [EVENT]  score: 7-17
2026-02-27T00:09:50.556Z [EVENT]  score: 9-17
2026-02-27T00:10:08.532Z [ODDS]  Stonehill: 20/23 → 5/6, Saint Francis PA: 20/23 → 10/11
2026-02-27T00:10:08.532Z [EVENT]  score: 9-20
2026-02-27T00:10:18.003Z [ODDS]  Stonehill: 5/6 → 20/23, Saint Francis PA: 10/11 → 20/23
2026-02-27T00:10:54.084Z [ODDS]  Stonehill: 20/23 → 5/6, Saint Francis PA: 20/23 → 10/11
2026-02-27T00:11:13.092Z [ODDS]  Stonehill: 5/6 → 20/23, Saint Francis PA: 10/11 → 20/23
2026-02-27T00:11:13.092Z [EVENT]  score: 9-23
2026-02-27T00:11:38.281Z [EVENT]  score: 9-25
2026-02-27T00:12:28.814Z [ODDS]  Stonehill: 20/23 → 5/6, Saint Francis PA: 20/23 → 10/11
2026-02-27T00:12:28.814Z [EVENT]  score: 10-25
2026-02-27T00:12:43.226Z [ODDS]  Stonehill: 5/6 → 20/23, Saint Francis PA: 10/11 → 20/23
2026-02-27T00:12:55.854Z [EVENT]  score: 10-28
2026-02-27T00:13:12.090Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:13:34.640Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:13:34.640Z [EVENT]  score: 10-30
2026-02-27T00:15:41.898Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:15:41.898Z [EVENT]  score: 12-30
2026-02-27T00:16:16.553Z [ODDS]  Stonehill: 10/11 → 20/23
2026-02-27T00:16:17.004Z [ODDS]  Saint Francis PA: 5/6 → 20/23
2026-02-27T00:16:17.454Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:16:43.612Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:17:17.438Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:17:19.241Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:17:54.421Z [EVENT]  score: 15-30
2026-02-27T00:18:22.381Z [EVENT]  score: 17-30
2026-02-27T00:18:52.153Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:19:15.602Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:19:43.112Z [EVENT]  score: 20-30
2026-02-27T00:20:59.786Z [EVENT]  score: 20-33
2026-02-27T00:21:44.432Z [EVENT]  score: 22-33
2026-02-27T00:21:53.901Z [EVENT]  score: 22-35
2026-02-27T00:22:13.295Z [EVENT]  score: 22-38
2026-02-27T00:22:37.199Z [EVENT]  score: 25-38
2026-02-27T00:25:12.890Z [ODDS]  Stonehill: 20/23 → 5/6, Saint Francis PA: 20/23 → 10/11
2026-02-27T00:25:12.891Z [EVENT]  score: 25-39
2026-02-27T00:25:28.130Z [ODDS]  Stonehill: 5/6 → 20/23, Saint Francis PA: 10/11 → 20/23
2026-02-27T00:25:44.019Z [EVENT]  score: 25-40
2026-02-27T00:26:07.817Z [EVENT]  score: 27-40
2026-02-27T00:26:43.003Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:26:43.003Z [EVENT]  score: 28-40
2026-02-27T00:26:43.513Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:27:14.131Z [EVENT]  score: 30-40
2026-02-27T00:27:39.015Z [EVENT]  score: 30-43
2026-02-27T00:29:32.126Z [EVENT]  score: 32-43
2026-02-27T00:29:57.833Z [EVENT]  score: 32-45
2026-02-27T00:30:06.886Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:30:55.109Z [ODDS]  Stonehill: 10/11 → 5/6, Saint Francis PA: 5/6 → 10/11
2026-02-27T00:30:55.109Z [EVENT]  score: 32-46
2026-02-27T00:30:55.560Z [ODDS]  Stonehill: 5/6 → 20/23, Saint Francis PA: 10/11 → 20/23
2026-02-27T00:31:12.248Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:31:14.979Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:31:14.979Z [EVENT]  score: 32-48
2026-02-27T00:34:15.001Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:34:31.143Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
2026-02-27T00:34:31.143Z [EVENT]  score: 33-48
2026-02-27T00:35:53.230Z [ODDS]  Stonehill: 20/23 → 5/6, Saint Francis PA: 20/23 → 10/11
2026-02-27T00:35:53.230Z [EVENT]  score: 33-49
2026-02-27T00:36:09.924Z [ODDS]  Stonehill: 5/6 → 20/23, Saint Francis PA: 10/11 → 20/23
2026-02-27T00:36:09.924Z [EVENT]  score: 33-50
2026-02-27T00:37:26.697Z [ODDS]  Stonehill: 20/23 → 10/11, Saint Francis PA: 20/23 → 5/6
2026-02-27T00:37:26.697Z [EVENT]  score: 33-52
2026-02-27T00:37:43.275Z [ODDS]  Stonehill: 10/11 → 20/23, Saint Francis PA: 5/6 → 20/23
