2026-02-27T01:10:16.945Z [EVENT]  score: 0-3
2026-02-27T01:10:50.769Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:10:50.769Z [EVENT]  score: 0-6
2026-02-27T01:11:09.259Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:11:09.260Z [EVENT]  score: 3-6
2026-02-27T01:12:22.776Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:12:50.739Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:13:09.681Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:13:19.604Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:13:24.565Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:13:24.565Z [EVENT]  score: 5-6
2026-02-27T01:13:34.035Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:14:18.686Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:14:43.942Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:15:15.062Z [ODDS]  Kansas City: 20/23 → 10/11, South Dakota State: 20/23 → 5/6
2026-02-27T01:15:17.767Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:15:21.377Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:15:21.377Z [EVENT]  score: 5-8
2026-02-27T01:15:29.945Z [ODDS]  Kansas City: 5/6 → 10/11, South Dakota State: 10/11 → 5/6
2026-02-27T01:15:41.671Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:15:41.671Z [EVENT]  score: 7-8
2026-02-27T01:15:57.906Z [ODDS]  Kansas City: 20/23 → 10/11, South Dakota State: 20/23 → 5/6
2026-02-27T01:15:57.906Z [EVENT]  score: 7-10
2026-02-27T01:16:01.063Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:16:39.851Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:16:40.301Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:16:55.191Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:17:06.458Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:19:10.484Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:19:31.681Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:19:43.858Z [EVENT]  score: 8-10
2026-02-27T01:20:23.546Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:20:26.253Z [ODDS]  Kansas City: 5/6 → 10/11, South Dakota State: 10/11 → 5/6
2026-02-27T01:20:49.705Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:21:14.961Z [ODDS]  Kansas City: 20/23 → 10/11, South Dakota State: 20/23 → 5/6
2026-02-27T01:21:15.862Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:21:37.962Z [EVENT]  score: 10-10
2026-02-27T01:22:51.925Z [ODDS]  Kansas City: 20/23 → 10/11, South Dakota State: 20/23 → 5/6
2026-02-27T01:23:47.399Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:24:38.362Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:24:38.362Z [EVENT]  score: 13-10
2026-02-27T01:24:58.207Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:27:53.652Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:28:25.222Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:28:38.304Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:28:40.105Z [ODDS]  Kansas City: 5/6 → 10/11, South Dakota State: 10/11 → 5/6
2026-02-27T01:29:29.717Z [ODDS]  Kansas City: 10/11 → 20/23, South Dakota State: 5/6 → 20/23
2026-02-27T01:29:29.717Z [EVENT]  score: 13-13
2026-02-27T01:29:47.757Z [ODDS]  Kansas City: 20/23 → 5/6, South Dakota State: 20/23 → 10/11
2026-02-27T01:29:47.757Z [EVENT]  score: 15-13
2026-02-27T01:30:10.757Z [ODDS]  Kansas City: 5/6 → 20/23, South Dakota State: 10/11 → 20/23
2026-02-27T01:30:17.071Z [EVENT]  score: 17-13
2026-02-27T01:30:33.308Z [ODDS]  Kansas City: 20/23 → 10/11, South Dakota State: 20/23 → 5/6
