2026-02-27T00:08:27.957Z [EVENT]  score: 7-11
2026-02-27T00:12:06.750Z [EVENT]  score: 10-11
2026-02-27T00:13:45.013Z [EVENT]  score: 11-11
2026-02-27T00:14:02.603Z [EVENT]  score: 12-11
2026-02-27T00:14:17.037Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6
2026-02-27T00:14:26.507Z [ODDS]  Florida Atlantic: 10/11 → 20/23, Temple: 5/6 → 20/23
2026-02-27T00:14:26.507Z [EVENT]  score: 14-11
2026-02-27T00:15:47.688Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6
2026-02-27T00:15:47.688Z [EVENT]  score: 15-11
2026-02-27T00:16:06.188Z [EVENT]  score: 16-11
2026-02-27T00:16:17.906Z [ODDS]  Florida Atlantic: 10/11 → 20/21, Temple: 5/6 → 4/5
2026-02-27T00:16:21.513Z [ODDS]  Florida Atlantic: 20/21 → 10/13, Temple: 4/5 → 1/1
2026-02-27T00:20:23.702Z [ODDS]  Florida Atlantic: 10/13 → 20/21, Temple: 1/1 → 4/5
2026-02-27T00:20:49.415Z [ODDS]  Florida Atlantic: 20/21 → 10/13, Temple: 4/5 → 1/1
2026-02-27T00:21:20.991Z [ODDS]  Florida Atlantic: 10/13 → 20/23, Temple: 1/1 → 20/23
2026-02-27T00:21:20.991Z [EVENT]  score: 18-11
2026-02-27T00:21:35.862Z [ODDS]  Florida Atlantic: 20/23 → 10/13, Temple: 20/23 → 1/1
2026-02-27T00:21:35.862Z [EVENT]  score: 18-13
2026-02-27T00:21:43.078Z [ODDS]  Florida Atlantic: 10/13 → 4/5, Temple: 1/1 → 20/21
2026-02-27T00:21:49.843Z [ODDS]  Florida Atlantic: 4/5 → 20/23, Temple: 20/21 → 20/23
2026-02-27T00:21:49.843Z [EVENT]  score: 20-13
2026-02-27T00:22:17.804Z [EVENT]  score: 23-13
2026-02-27T00:22:29.533Z [EVENT]  score: 20-13
2026-02-27T00:22:40.358Z [ODDS]  Florida Atlantic: 20/23 → 20/21, Temple: 20/23 → 4/5
2026-02-27T00:22:40.358Z [EVENT]  score: 20-16
2026-02-27T00:22:43.513Z [ODDS]  Florida Atlantic: 20/21 → 20/23, Temple: 4/5 → 20/23
2026-02-27T00:22:48.475Z [EVENT]  score: 20-18
2026-02-27T00:23:28.615Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6
2026-02-27T00:23:44.852Z [ODDS]  Florida Atlantic: 10/11 → 1/1, Temple: 5/6 → 10/13
2026-02-27T00:23:44.853Z [EVENT]  score: 23-18
2026-02-27T00:24:01.089Z [ODDS]  Florida Atlantic: 1/1 → 4/5, Temple: 10/13 → 20/21
2026-02-27T00:24:21.381Z [ODDS]  Florida Atlantic: 4/5 → 5/6, Temple: 20/21 → 10/11
2026-02-27T00:24:26.793Z [ODDS]  Florida Atlantic: 5/6 → 10/13, Temple: 10/11 → 1/1
2026-02-27T00:24:40.774Z [ODDS]  Florida Atlantic: 10/13 → 5/6, Temple: 1/1 → 10/11
2026-02-27T00:24:40.774Z [EVENT]  score: 23-21
2026-02-27T00:25:07.834Z [ODDS]  Florida Atlantic: 5/6 → 10/11, Temple: 10/11 → 5/6
2026-02-27T00:25:07.835Z [EVENT]  score: 25-21
2026-02-27T00:25:48.934Z [ODDS]  Florida Atlantic: 10/11 → 5/6, Temple: 5/6 → 10/11
2026-02-27T00:25:48.934Z [EVENT]  score: 25-23
2026-02-27T00:26:19.995Z [ODDS]  Florida Atlantic: 5/6 → 10/13, Temple: 10/11 → 1/1
2026-02-27T00:26:19.996Z [EVENT]  score: 28-23
2026-02-27T00:26:29.484Z [ODDS]  Florida Atlantic: 10/13 → 5/6, Temple: 1/1 → 10/11
2026-02-27T00:26:36.755Z [ODDS]  Florida Atlantic: 5/6 → 4/5, Temple: 10/11 → 20/21
2026-02-27T00:30:44.736Z [ODDS]  Florida Atlantic: 4/5 → 20/23, Temple: 20/21 → 20/23
2026-02-27T00:30:58.265Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6
2026-02-27T00:30:58.265Z [EVENT]  score: 31-23
2026-02-27T00:31:14.570Z [ODDS]  Florida Atlantic: 10/11 → 20/23, Temple: 5/6 → 20/23
2026-02-27T00:31:14.570Z [EVENT]  score: 31-25
2026-02-27T00:32:31.628Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6, Florida Atlantic: 10/11 → 20/23, Temple: 5/6 → 20/23
2026-02-27T00:32:31.628Z [EVENT]  score: 31-26
2026-02-27T00:32:31.628Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6, Florida Atlantic: 10/11 → 20/23, Temple: 5/6 → 20/23
2026-02-27T00:33:07.257Z [ODDS]  Florida Atlantic: 20/23 → 4/5, Temple: 20/23 → 20/21
2026-02-27T00:33:30.258Z [ODDS]  Florida Atlantic: 4/5 → 20/23, Temple: 20/21 → 20/23
2026-02-27T00:33:30.258Z [EVENT]  score: 31-29
2026-02-27T00:33:54.611Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6
2026-02-27T00:34:24.936Z [ODDS]  Florida Atlantic: 10/11 → 20/21, Temple: 5/6 → 4/5
2026-02-27T00:34:24.936Z [EVENT]  score: 32-29
2026-02-27T00:34:45.180Z [EVENT]  score: 33-29
2026-02-27T00:34:53.299Z [ODDS]  Florida Atlantic: 20/21 → 1/1, Temple: 4/5 → 10/13
2026-02-27T00:35:10.401Z [ODDS]  Florida Atlantic: 1/1 → 20/23, Temple: 10/13 → 20/23
2026-02-27T00:35:10.401Z [EVENT]  score: 33-31
2026-02-27T00:35:35.640Z [ODDS]  Florida Atlantic: 20/23 → 1/1, Temple: 20/23 → 10/13
2026-02-27T00:35:35.640Z [EVENT]  score: 35-31
2026-02-27T00:35:53.230Z [ODDS]  Florida Atlantic: 1/1 → 4/5, Temple: 10/13 → 20/21
2026-02-27T00:36:11.720Z [ODDS]  Florida Atlantic: 4/5 → 20/23, Temple: 20/21 → 20/23
2026-02-27T00:36:11.720Z [EVENT]  score: 38-31
2026-02-27T00:36:31.352Z [ODDS]  Florida Atlantic: 20/23 → 5/6, Temple: 20/23 → 10/11
2026-02-27T00:36:58.174Z [ODDS]  Florida Atlantic: 5/6 → 10/11, Temple: 10/11 → 5/6
2026-02-27T00:36:58.174Z [EVENT]  score: 41-31
2026-02-27T00:37:02.685Z [ODDS]  Florida Atlantic: 10/11 → 5/6, Temple: 5/6 → 10/11
2026-02-27T00:41:04.472Z [ODDS]  Florida Atlantic: 5/6 → 20/23, Temple: 10/11 → 20/23
2026-02-27T00:42:18.541Z [ODDS]  Florida Atlantic: 20/23 → 10/11, Temple: 20/23 → 5/6
2026-02-27T00:42:18.541Z [EVENT]  score: 42-31
2026-02-27T00:42:33.319Z [ODDS]  Florida Atlantic: 10/11 → 5/6, Temple: 5/6 → 10/11
2026-02-27T00:42:34.673Z [ODDS]  Florida Atlantic: 5/6 → 10/11, Temple: 10/11 → 5/6
2026-02-27T00:42:34.673Z [EVENT]  score: 42-33
2026-02-27T00:43:09.401Z [ODDS]  Florida Atlantic: 10/11 → 20/23, Temple: 5/6 → 20/23
2026-02-27T00:43:51.830Z [EVENT]  score: 42-35
2026-02-27T00:44:06.681Z [EVENT]  score: 44-35
