2026-02-27T00:09:01.783Z [EVENT]  score: 8-3
2026-02-27T00:09:32.902Z [ODDS]  Vermont: 20/23 → 5/6, UMass Lowell: 20/23 → 10/11
2026-02-27T00:12:34.658Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:12:38.266Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:12:38.266Z [EVENT]  score: 8-5
2026-02-27T00:12:46.837Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11
2026-02-27T00:13:10.288Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:13:10.288Z [EVENT]  score: 10-5
2026-02-27T00:13:18.856Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:13:27.443Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11
2026-02-27T00:13:27.443Z [EVENT]  score: 10-7
2026-02-27T00:13:35.543Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:15:15.666Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:15:39.119Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:15:50.909Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:16:13.848Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11
2026-02-27T00:16:26.022Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:16:26.023Z [EVENT]  score: 10-10
2026-02-27T00:16:55.789Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:16:55.789Z [EVENT]  score: 10-13
2026-02-27T00:17:11.574Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11, Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:17:11.574Z [ODDS]  Vermont: 20/23 → 5/6, UMass Lowell: 20/23 → 10/11, Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:17:20.143Z [ODDS]  Vermont: 20/23 → 5/6, UMass Lowell: 20/23 → 10/11
2026-02-27T00:17:36.830Z [ODDS]  Vermont: 5/6 → 10/11, UMass Lowell: 10/11 → 5/6
2026-02-27T00:17:36.830Z [EVENT]  score: 12-13
2026-02-27T00:18:07.952Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11
2026-02-27T00:18:07.952Z [EVENT]  score: 12-15
2026-02-27T00:18:08.401Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:18:16.969Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:21:38.117Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:21:38.117Z [EVENT]  score: 12-16
2026-02-27T00:21:56.608Z [ODDS]  Vermont: 20/23 → 5/6, UMass Lowell: 20/23 → 10/11
2026-02-27T00:21:56.608Z [EVENT]  score: 14-16
2026-02-27T00:22:21.866Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:23:59.732Z [EVENT]  score: 14-18
2026-02-27T00:24:32.655Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:24:32.655Z [EVENT]  score: 15-18
2026-02-27T00:24:34.009Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:24:41.677Z [EVENT]  score: 16-18
2026-02-27T00:25:29.482Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:25:36.698Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11
2026-02-27T00:25:36.698Z [EVENT]  score: 17-18
2026-02-27T00:25:54.298Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:25:54.298Z [EVENT]  score: 18-18
2026-02-27T00:26:11.425Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:26:39.394Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:26:49.313Z [EVENT]  score: 18-20
2026-02-27T00:27:14.131Z [EVENT]  score: 20-20
2026-02-27T00:27:56.964Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:30:51.502Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:31:05.482Z [EVENT]  score: 20-21
2026-02-27T00:32:08.176Z [ODDS]  Vermont: 20/23 → 5/6, UMass Lowell: 20/23 → 10/11
2026-02-27T00:32:12.234Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:32:51.033Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:32:53.731Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:33:03.220Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:33:03.220Z [EVENT]  score: 23-21
2026-02-27T00:33:28.920Z [ODDS]  Vermont: 10/11 → 5/6, UMass Lowell: 5/6 → 10/11
2026-02-27T00:33:28.920Z [EVENT]  score: 23-23
2026-02-27T00:33:45.591Z [ODDS]  Vermont: 5/6 → 20/23, UMass Lowell: 10/11 → 20/23
2026-02-27T00:33:45.591Z [EVENT]  score: 26-23
2026-02-27T00:33:54.160Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:34:12.652Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:34:24.936Z [EVENT]  score: 28-23
2026-02-27T00:35:22.176Z [EVENT]  score: 28-24
2026-02-27T00:35:46.916Z [EVENT]  score: 28-25
2026-02-27T00:36:15.835Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:36:24.800Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:36:24.800Z [EVENT]  score: 28-28
2026-02-27T00:36:51.860Z [EVENT]  score: 30-28
2026-02-27T00:36:52.310Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:39:53.209Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:40:23.032Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
2026-02-27T00:40:38.313Z [ODDS]  Vermont: 10/11 → 20/23, UMass Lowell: 5/6 → 20/23
2026-02-27T00:40:38.313Z [EVENT]  score: 30-29
2026-02-27T00:40:51.391Z [EVENT]  score: 30-30
2026-02-27T00:41:09.884Z [ODDS]  Vermont: 20/23 → 10/11, UMass Lowell: 20/23 → 5/6
