2026-02-27T00:43:00.935Z [EVENT]  score: 3-0
2026-02-27T00:44:05.347Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T00:44:17.509Z [EVENT]  score: 3-3
2026-02-27T00:44:18.454Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T00:44:35.546Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T00:45:50.863Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T00:45:50.863Z [EVENT]  score: 3-5
2026-02-27T00:46:02.137Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T00:46:11.158Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T00:46:12.962Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T00:46:26.492Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T00:46:26.492Z [EVENT]  score: 6-5
2026-02-27T00:46:58.063Z [EVENT]  score: 6-7
2026-02-27T00:47:16.554Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T00:47:36.398Z [ODDS]  Rocamora (W): 20/23 → 4/5, Union Florida (W): 4/5 → 20/23
2026-02-27T00:47:42.711Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T00:48:03.908Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T00:48:41.793Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T00:48:42.245Z [EVENT]  score: 9-7
2026-02-27T00:49:03.949Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
