2026-02-26T19:57:52.632Z [ODDS]  Al-Baqa'a: 20/1 → 22/1
2026-02-26T19:58:14.735Z [ODDS]  Al-Baqa'a: 22/1 → 20/1
2026-02-26T19:58:15.183Z [ODDS]  Al-Baqa'a: 20/1 → 33/1, Draw: 8/1 → 22/1, Al-Hussein SC: 1/14 → 1/80
2026-02-26T19:58:15.183Z [EVENT]  score: 3-1
2026-02-26T19:58:39.545Z [ODDS]  Draw: 22/1 → 25/1, Al-Hussein SC: 1/80 → 1/100
2026-02-26T19:59:38.170Z [ODDS]  Draw: 25/1 → 22/1, Al-Hussein SC: 1/100 → 1/80
2026-02-26T19:59:38.623Z [EVENT]  score: 4-1
2026-02-26T20:08:00.426Z [ODDS]  Al-Baqa'a: 9/2 → 4/1, Draw: 11/4 → 5/2
2026-02-26T20:08:32.769Z [ODDS]  Al-Baqa'a: 4/1 → 9/2
2026-02-26T20:08:49.906Z [ODDS]  Draw: 5/2 → 11/4, Al-Hussein SC: 4/7 → 8/15
2026-02-26T20:08:52.616Z [ODDS]  Draw: 11/4 → 5/2, Al-Hussein SC: 8/15 → 4/7
2026-02-26T20:09:15.615Z [ODDS]  Al-Hussein SC: 4/7 → 8/13
2026-02-26T20:09:24.645Z [ODDS]  Al-Hussein SC: 8/13 → 4/7
2026-02-26T20:09:44.480Z [ODDS]  Al-Baqa'a: 9/2 → 15/4, Al-Hussein SC: 4/7 → 8/13
2026-02-26T20:09:46.282Z [ODDS]  Al-Baqa'a: 15/4 → 9/2
2026-02-26T20:09:53.063Z [ODDS]  Draw: 5/2 → 12/5
2026-02-26T20:10:11.088Z [ODDS]  Al-Hussein SC: 8/13 → 4/7
2026-02-26T20:10:13.343Z [ODDS]  Al-Hussein SC: 4/7 → 8/13
2026-02-26T20:10:13.813Z [ODDS]  Al-Baqa'a: 9/2 → 15/4, Draw: 12/5 → 5/2
2026-02-26T20:10:15.605Z [ODDS]  Al-Hussein SC: 8/13 → 4/6
2026-02-26T20:10:16.050Z [ODDS]  Al-Baqa'a: 15/4 → 9/2, Draw: 5/2 → 12/5, Al-Hussein SC: 4/6 → 8/13
2026-02-26T20:10:17.855Z [ODDS]  Al-Baqa'a: 9/2 → 4/1, Draw: 12/5 → 5/2
2026-02-26T20:10:19.210Z [ODDS]  Al-Baqa'a: 4/1 → 9/2, Draw: 5/2 → 12/5
2026-02-26T20:10:30.040Z [ODDS]  Al-Baqa'a: 9/2 → 4/1, Draw: 12/5 → 5/2
2026-02-26T20:10:31.833Z [ODDS]  Al-Baqa'a: 4/1 → 9/2, Draw: 5/2 → 12/5
2026-02-26T20:10:59.344Z [ODDS]  Draw: 12/5 → 9/4
2026-02-26T20:10:59.800Z [ODDS]  Draw: 9/4 → 12/5
2026-02-26T20:11:01.150Z [ODDS]  Draw: 12/5 → 9/4
2026-02-26T20:11:10.170Z [ODDS]  Draw: 9/4 → 12/5
2026-02-26T20:11:18.741Z [ODDS]  Al-Baqa'a: 9/2 → 5/1, Draw: 12/5 → 9/4
2026-02-26T20:11:43.097Z [ODDS]  Al-Baqa'a: 5/1 → 9/2, Al-Hussein SC: 8/13 → 4/6
2026-02-26T20:12:49.389Z [ODDS]  Draw: 9/4 → 2/1
2026-02-26T20:13:19.609Z [ODDS]  Al-Baqa'a: 9/2 → 5/1
2026-02-26T20:13:28.633Z [ODDS]  Al-Baqa'a: 5/1 → 4/1, Al-Hussein SC: 4/6 → 8/11
2026-02-26T20:13:33.592Z [ODDS]  Al-Baqa'a: 4/1 → 5/1, Al-Hussein SC: 8/11 → 4/6
2026-02-26T20:13:54.792Z [ODDS]  Al-Baqa'a: 5/1 → 9/2, Draw: 2/1 → 7/4, Al-Hussein SC: 4/6 → 8/11
2026-02-26T20:14:12.825Z [ODDS]  Al-Baqa'a: 9/2 → 5/1
2026-02-26T20:15:37.616Z [ODDS]  Draw: 7/4 → 13/8
2026-02-26T20:15:58.378Z [ODDS]  Al-Hussein SC: 8/11 → 4/5
2026-02-26T20:16:15.504Z [ODDS]  Al-Baqa'a: 5/1 → 11/2
2026-02-26T20:16:23.621Z [ODDS]  Al-Baqa'a: 11/2 → 5/1
2026-02-26T20:16:34.900Z [ODDS]  Al-Baqa'a: 5/1 → 11/2
2026-02-26T20:16:46.628Z [ODDS]  Al-Hussein SC: 4/5 → 8/11
2026-02-26T20:16:47.526Z [ODDS]  Al-Hussein SC: 8/11 → 4/5
2026-02-26T20:16:56.101Z [ODDS]  Draw: 13/8 → 6/4
2026-02-26T20:17:22.707Z [ODDS]  Draw: 6/4 → 13/8
2026-02-26T20:17:38.946Z [ODDS]  Draw: 13/8 → 6/4
2026-02-26T20:17:55.636Z [ODDS]  Al-Hussein SC: 4/5 → 5/6
2026-02-26T20:18:18.183Z [EVENT]  score: 4-2
2026-02-26T20:38:12.578Z [ODDS]  Draw: 4/11 → 1/3
2026-02-26T20:38:20.240Z [ODDS]  Al-Hussein SC: 5/2 → 13/5
2026-02-26T20:38:49.109Z [ODDS]  Al-Baqa'a: 10/1 → 11/1, Draw: 1/3 → 3/10, Al-Hussein SC: 13/5 → 11/4
2026-02-26T20:39:01.736Z [EVENT]  score: 5-2
