2026-02-26T20:02:07.454Z [ODDS]  Noah: 17/2 → 9/1
2026-02-26T20:03:25.487Z [ODDS]  Draw: 11/2 → 5/1
2026-02-26T20:03:41.714Z [ODDS]  Draw: 5/1 → 11/2, AZ: 1/4 → 2/9
2026-02-26T20:03:50.733Z [ODDS]  Draw: 11/2 → 5/1, AZ: 2/9 → 1/4
2026-02-26T20:03:58.401Z [ODDS]  Noah: 9/1 → 10/1
2026-02-26T20:04:32.232Z [ODDS]  Draw: 5/1 → 11/2, AZ: 1/4 → 2/9
2026-02-26T20:04:34.486Z [ODDS]  Draw: 11/2 → 5/1, AZ: 2/9 → 1/4
2026-02-26T20:05:07.861Z [ODDS]  Noah: 10/1 → 20/1, Draw: 5/1 → 11/1, AZ: 1/4 → 1/14
2026-02-26T20:05:07.862Z [EVENT]  score: 1-0
2026-02-26T20:05:18.228Z [ODDS]  Noah: 20/1 → 22/1, Draw: 11/1 → 12/1, AZ: 1/14 → 1/18
2026-02-26T20:05:49.352Z [ODDS]  AZ: 1/18 → 1/16
2026-02-26T20:05:51.152Z [ODDS]  Noah: 22/1 → 20/1, Draw: 12/1 → 11/1, AZ: 1/16 → 1/14
2026-02-26T20:06:02.435Z [ODDS]  Noah: 20/1 → 22/1
2026-02-26T20:06:13.250Z [ODDS]  AZ: 1/14 → 1/16
2026-02-26T20:06:22.731Z [ODDS]  Noah: 22/1 → 20/1, AZ: 1/16 → 1/14
2026-02-26T20:07:06.926Z [ODDS]  Noah: 20/1 → 22/1
2026-02-26T20:07:12.796Z [ODDS]  Noah: 22/1 → 20/1
2026-02-26T20:07:36.241Z [ODDS]  Draw: 11/1 → 10/1
2026-02-26T20:08:03.006Z [ODDS]  Draw: 10/1 → 11/1
2026-02-26T20:08:10.218Z [ODDS]  Draw: 11/1 → 10/1
2026-02-26T20:08:15.638Z [ODDS]  Draw: 10/1 → 11/1
2026-02-26T20:08:24.199Z [ODDS]  Noah: 20/1 → 22/1
2026-02-26T20:08:35.480Z [ODDS]  Noah: 22/1 → 20/1
2026-02-26T20:08:39.985Z [ODDS]  Noah: 20/1 → 22/1
2026-02-26T20:08:53.065Z [ODDS]  Noah: 22/1 → 20/1
2026-02-26T20:08:57.122Z [ODDS]  Draw: 11/1 → 10/1
2026-02-26T20:10:05.234Z [ODDS]  AZ: 1/14 → 1/12
2026-02-26T20:10:20.559Z [ODDS]  AZ: 1/12 → 1/14
2026-02-26T20:10:23.718Z [ODDS]  AZ: 1/14 → 1/12
2026-02-26T20:10:46.716Z [ODDS]  AZ: 1/12 → 1/14
2026-02-26T20:11:04.315Z [ODDS]  AZ: 1/14 → 1/12
2026-02-26T20:12:09.253Z [ODDS]  Draw: 10/1 → 9/1, AZ: 1/12 → 1/11
2026-02-26T20:12:22.790Z [ODDS]  AZ: 1/11 → 1/12
2026-02-26T20:12:29.094Z [ODDS]  AZ: 1/12 → 1/11
2026-02-26T20:12:29.998Z [ODDS]  AZ: 1/11 → 1/12
2026-02-26T20:12:40.823Z [ODDS]  Draw: 9/1 → 10/1
2026-02-26T20:12:43.074Z [ODDS]  Draw: 10/1 → 9/1, AZ: 1/12 → 1/11
2026-02-26T20:13:25.469Z [ODDS]  Draw: 9/1 → 10/1, AZ: 1/11 → 1/12
2026-02-26T20:15:08.751Z [ODDS]  Draw: 10/1 → 9/1, AZ: 1/12 → 1/11
2026-02-26T20:15:19.576Z [ODDS]  Noah: 20/1 → 22/1, Draw: 9/1 → 11/1, AZ: 1/11 → 1/16
2026-02-26T20:15:25.437Z [ODDS]  AZ: 1/16 → 1/14
2026-02-26T20:15:27.699Z [ODDS]  Draw: 11/1 → 10/1
2026-02-26T20:15:31.300Z [ODDS]  Draw: 10/1 → 11/1, AZ: 1/14 → 1/16
2026-02-26T20:15:48.899Z [ODDS]  Noah: 22/1 → 20/1, Draw: 11/1 → 10/1, AZ: 1/16 → 1/12
2026-02-26T20:15:52.954Z [ODDS]  Noah: 20/1 → 22/1, Draw: 10/1 → 11/1, AZ: 1/12 → 1/16
2026-02-26T20:15:56.111Z [ODDS]  Noah: 22/1 → 20/1, Draw: 11/1 → 10/1, AZ: 1/16 → 1/12
2026-02-26T20:16:57.451Z [ODDS]  Noah: 20/1 → 22/1
2026-02-26T20:16:58.352Z [ODDS]  Noah: 22/1 → 20/1
2026-02-26T20:17:00.162Z [ODDS]  Noah: 20/1 → 22/1
2026-02-26T20:17:09.177Z [ODDS]  Noah: 22/1 → 20/1
2026-02-26T20:18:23.594Z [ODDS]  Draw: 10/1 → 9/1
2026-02-26T20:18:24.949Z [ODDS]  Noah: 20/1 → 22/1, Draw: 9/1 → 10/1
2026-02-26T20:19:04.185Z [ODDS]  Noah: 22/1 → 20/1, Draw: 10/1 → 9/1
2026-02-26T20:19:10.056Z [ODDS]  Noah: 20/1 → 22/1, Draw: 9/1 → 10/1
2026-02-26T20:19:25.833Z [ODDS]  Draw: 10/1 → 9/1
2026-02-26T20:19:39.382Z [ODDS]  Draw: 9/1 → 10/1
2026-02-26T20:22:30.323Z [ODDS]  Draw: 10/1 → 9/1
2026-02-26T20:22:35.267Z [ODDS]  Draw: 9/1 → 10/1, AZ: 1/12 → 1/14
2026-02-26T20:24:00.495Z [ODDS]  Noah: 22/1 → 25/1
2026-02-26T20:24:06.820Z [ODDS]  Noah: 25/1 → 22/1
2026-02-26T20:24:19.895Z [ODDS]  Noah: 22/1 → 25/1
2026-02-26T20:25:05.888Z [ODDS]  Noah: 25/1 → 22/1
2026-02-26T20:25:19.412Z [ODDS]  Noah: 22/1 → 25/1
2026-02-26T20:26:15.326Z [ODDS]  AZ: 1/14 → 1/16
2026-02-26T20:26:29.313Z [ODDS]  AZ: 1/16 → 1/14
2026-02-26T20:27:27.489Z [ODDS]  Noah: 25/1 → 22/1, Draw: 10/1 → 9/1, AZ: 1/14 → 1/12
2026-02-26T20:27:35.162Z [ODDS]  Noah: 22/1 → 25/1, AZ: 1/12 → 1/14
2026-02-26T20:27:36.510Z [ODDS]  Draw: 9/1 → 10/1
