2026-02-26T23:38:40.516Z [ODDS]  Draw: 21/10 → 2/1
2026-02-26T23:39:02.162Z [ODDS]  Nacional Asuncion: 13/8 → 7/4
2026-02-26T23:40:57.167Z [ODDS]  Nacional Asuncion: 7/4 → 15/4, Draw: 2/1 → 11/4, Deportivo Recoleta: 7/4 → 4/6
2026-02-26T23:42:02.110Z [ODDS]  Nacional Asuncion: 15/4 → 5/1, Draw: 11/4 → 3/1, Deportivo Recoleta: 4/6 → 8/15
2026-02-26T23:42:02.110Z [EVENT]  score: 1-0
2026-02-26T23:42:22.405Z [ODDS]  Nacional Asuncion: 5/1 → 4/1, Draw: 3/1 → 11/4, Deportivo Recoleta: 8/15 → 8/13
2026-02-26T23:42:59.840Z [ODDS]  Nacional Asuncion: 4/1 → 11/1, Draw: 11/4 → 11/2, Deportivo Recoleta: 8/13 → 2/11
2026-02-26T23:42:59.840Z [EVENT]  score: 2-0
2026-02-26T23:43:14.271Z [ODDS]  Nacional Asuncion: 11/1 → 14/1, Draw: 11/2 → 6/1, Deportivo Recoleta: 2/11 → 1/6
2026-02-26T23:43:45.841Z [ODDS]  Draw: 6/1 → 13/2, Deportivo Recoleta: 1/6 → 1/7
2026-02-26T23:44:11.100Z [ODDS]  Nacional Asuncion: 14/1 → 12/1, Draw: 13/2 → 6/1, Deportivo Recoleta: 1/7 → 1/6
2026-02-26T23:44:22.827Z [ODDS]  Nacional Asuncion: 12/1 → 14/1
2026-02-26T23:44:40.413Z [ODDS]  Nacional Asuncion: 14/1 → 12/1
2026-02-26T23:44:51.697Z [ODDS]  Nacional Asuncion: 12/1 → 14/1, Draw: 6/1 → 13/2
2026-02-26T23:44:52.138Z [ODDS]  Nacional Asuncion: 14/1 → 12/1, Draw: 13/2 → 6/1
2026-02-26T23:44:58.902Z [ODDS]  Nacional Asuncion: 12/1 → 14/1
2026-02-26T23:44:59.353Z [ODDS]  Nacional Asuncion: 14/1 → 12/1
2026-02-26T23:45:00.706Z [ODDS]  Nacional Asuncion: 12/1 → 14/1, Draw: 6/1 → 13/2, Deportivo Recoleta: 1/6 → 1/7
2026-02-26T23:45:11.528Z [ODDS]  Deportivo Recoleta: 1/7 → 1/6
2026-02-26T23:45:34.981Z [ODDS]  Nacional Asuncion: 14/1 → 12/1, Draw: 13/2 → 6/1
2026-02-26T23:46:00.687Z [ODDS]  Nacional Asuncion: 12/1 → 14/1
2026-02-26T23:46:45.787Z [ODDS]  Draw: 6/1 → 13/2
2026-02-26T23:47:01.122Z [ODDS]  Deportivo Recoleta: 1/6 → 1/7
2026-02-26T23:47:02.031Z [ODDS]  Deportivo Recoleta: 1/7 → 1/6
2026-02-26T23:47:18.710Z [ODDS]  Deportivo Recoleta: 1/6 → 1/7
2026-02-26T23:47:36.778Z [ODDS]  Nacional Asuncion: 14/1 → 5/1, Draw: 13/2 → 3/1, Deportivo Recoleta: 1/7 → 8/15
2026-02-26T23:47:36.778Z [EVENT]  score: 2-1
2026-02-26T23:47:51.183Z [ODDS]  Nacional Asuncion: 5/1 → 4/1, Draw: 3/1 → 11/4, Deportivo Recoleta: 8/15 → 4/6
2026-02-26T23:48:40.347Z [ODDS]  Deportivo Recoleta: 4/6 → 8/13
2026-02-26T23:48:40.923Z [ODDS]  Nacional Asuncion: 4/1 → 9/2
2026-02-26T23:52:01.946Z [ODDS]  Nacional Asuncion: 9/2 → 4/1, Deportivo Recoleta: 8/13 → 4/6
2026-02-26T23:52:15.490Z [ODDS]  Deportivo Recoleta: 4/6 → 8/13
2026-02-26T23:53:17.728Z [ODDS]  Nacional Asuncion: 4/1 → 9/2
2026-02-26T23:57:38.503Z [ODDS]  Nacional Asuncion: 9/2 → 4/1, Draw: 11/4 → 13/5, Deportivo Recoleta: 8/13 → 4/6
2026-02-26T23:57:58.800Z [ODDS]  Nacional Asuncion: 4/1 → 9/2, Draw: 13/5 → 11/4, Deportivo Recoleta: 4/6 → 8/13
2026-02-26T23:58:26.760Z [ODDS]  Draw: 11/4 → 13/5
2026-02-26T23:58:59.683Z [ODDS]  Draw: 13/5 → 11/4
2026-02-27T00:01:18.142Z [ODDS]  Draw: 11/4 → 13/5
2026-02-27T00:01:33.091Z [ODDS]  Draw: 13/5 → 11/4
2026-02-27T00:01:38.438Z [ODDS]  Nacional Asuncion: 9/2 → 5/1
2026-02-27T00:01:54.673Z [ODDS]  Nacional Asuncion: 5/1 → 9/2
2026-02-27T00:03:28.934Z [ODDS]  Nacional Asuncion: 9/2 → 5/1
2026-02-27T00:03:32.543Z [ODDS]  Draw: 11/4 → 13/5
2026-02-27T00:03:53.288Z [ODDS]  Draw: 13/5 → 11/4, Deportivo Recoleta: 8/13 → 4/7
2026-02-27T00:04:14.034Z [ODDS]  Draw: 11/4 → 13/5, Deportivo Recoleta: 4/7 → 8/13
2026-02-27T00:04:37.486Z [ODDS]  Draw: 13/5 → 11/4, Deportivo Recoleta: 8/13 → 4/7
2026-02-27T00:05:07.706Z [ODDS]  Draw: 11/4 → 13/5
2026-02-27T00:05:13.115Z [ODDS]  Deportivo Recoleta: 4/7 → 8/13
2026-02-27T00:05:30.705Z [ODDS]  Deportivo Recoleta: 8/13 → 4/7
2026-02-27T00:05:40.181Z [ODDS]  Draw: 13/5 → 11/4
2026-02-27T00:05:44.691Z [ODDS]  Draw: 11/4 → 13/5
2026-02-27T00:07:50.516Z [ODDS]  Nacional Asuncion: 5/1 → 11/2
