2026-02-26T19:47:14.028Z [ODDS]  Draw: 2/5 → 4/9
2026-02-26T19:47:28.854Z [ODDS]  Oman FC: 4/1 → 15/4
2026-02-26T19:47:50.954Z [ODDS]  Oman FC: 15/4 → 9/2, Draw: 4/9 → 2/5, Dhofar: 5/1 → 9/2
2026-02-26T19:47:54.110Z [ODDS]  Dhofar: 9/2 → 5/1
2026-02-26T19:49:12.586Z [ODDS]  Draw: 2/5 → 4/11, Dhofar: 5/1 → 11/2
2026-02-26T19:49:26.565Z [ODDS]  Oman FC: 9/2 → 1/9, Draw: 4/11 → 11/2, Dhofar: 11/2 → 33/1
2026-02-26T19:49:26.565Z [EVENT]  score: 1-2
2026-02-26T19:50:33.314Z [ODDS]  Dhofar: 33/1 → 40/1
2026-02-26T19:50:38.730Z [ODDS]  Dhofar: 40/1 → 33/1
2026-02-26T19:50:45.545Z [ODDS]  Dhofar: 33/1 → 40/1
2026-02-26T19:51:23.409Z [ODDS]  Oman FC: 1/9 → 1/10, Draw: 11/2 → 6/1
2026-02-26T19:51:33.752Z [ODDS]  Oman FC: 1/10 → 1/9, Draw: 6/1 → 11/2
2026-02-26T19:51:44.120Z [ODDS]  Oman FC: 1/9 → 1/10, Draw: 11/2 → 6/1
2026-02-26T19:53:32.823Z [ODDS]  Oman FC: 1/10 → 1/12, Draw: 6/1 → 13/2
2026-02-26T19:53:52.665Z [ODDS]  Draw: 13/2 → 7/1
2026-02-26T19:54:14.319Z [ODDS]  Dhofar: 40/1 → 50/1
2026-02-26T19:55:09.333Z [ODDS]  Oman FC: 1/12 → 1/14, Draw: 7/1 → 8/1
2026-02-26T19:56:01.237Z [ODDS]  Oman FC: 1/14 → 1/16, Draw: 8/1 → 9/1, Dhofar: 50/1 → 66/1
2026-02-26T19:56:34.608Z [ODDS]  Oman FC: 1/16 → 1/20, Draw: 9/1 → 10/1
2026-02-26T19:57:48.576Z [ODDS]  Oman FC: 1/20 → 1/16, Draw: 10/1 → 9/1, Dhofar: 66/1 → 50/1
2026-02-26T19:57:54.888Z [ODDS]  Oman FC: 1/16 → 1/20, Draw: 9/1 → 10/1, Dhofar: 50/1 → 66/1
2026-02-26T19:58:09.319Z [ODDS]  Oman FC: 1/20 → 1/25, Draw: 10/1 → 12/1, Dhofar: 66/1 → 80/1
2026-02-26T19:58:53.074Z [ODDS]  Oman FC: 1/25 → 1/20, Draw: 12/1 → 10/1, Dhofar: 80/1 → 50/1
2026-02-26T19:58:55.327Z [ODDS]  Oman FC: 1/20 → 1/25, Draw: 10/1 → 12/1, Dhofar: 50/1 → 80/1
2026-02-26T19:59:12.463Z [ODDS]  Oman FC: 1/25 → 1/28
2026-02-26T19:59:41.334Z [ODDS]  Oman FC: 1/28 → 1/33, Draw: 12/1 → 14/1, Dhofar: 80/1 → 100/1
2026-02-26T20:00:10.194Z [ODDS]  Oman FC: 1/33 → 1/40, Draw: 14/1 → 16/1
2026-02-26T20:00:31.394Z [ODDS]  Dhofar: 100/1 → 125/1
2026-02-26T20:00:39.057Z [ODDS]  Dhofar: 125/1 → 150/1
2026-02-26T20:01:08.371Z [ODDS]  Oman FC: 1/40 → 1/50, Draw: 16/1 → 18/1
2026-02-26T20:01:48.513Z [ODDS]  Oman FC: 1/50 → 1/66, Draw: 18/1 → 20/1
2026-02-26T20:02:04.747Z [ODDS]  Oman FC: 1/66 → 1/40, Draw: 20/1 → 16/1, Dhofar: 150/1 → 100/1
2026-02-26T20:02:21.896Z [ODDS]  Dhofar: 100/1 → 125/1
2026-02-26T20:02:32.262Z [ODDS]  Dhofar: 125/1 → 150/1
2026-02-26T20:02:51.652Z [ODDS]  Oman FC: 1/40 → 1/50, Draw: 16/1 → 18/1
2026-02-26T20:02:54.812Z [ODDS]  Oman FC: 1/50 → 1/125, Draw: 18/1 → 25/1
2026-02-26T20:03:05.182Z [ODDS]  Oman FC: 1/125 → 1/150, Draw: 25/1 → 28/1
