2026-02-26T21:02:57.436Z [ODDS]  Draw: 8/1 → 15/2
2026-02-26T21:03:01.940Z [ODDS]  Rancho Santana FC: 16/1 → 14/1
2026-02-26T21:04:14.550Z [ODDS]  Diriangen: 1/10 → 1/9
2026-02-26T21:05:36.633Z [ODDS]  Rancho Santana FC: 14/1 → 12/1, Draw: 15/2 → 7/1
2026-02-26T21:06:17.677Z [ODDS]  Rancho Santana FC: 12/1 → 11/1
2026-02-26T21:10:11.605Z [ODDS]  Rancho Santana FC: 11/1 → 20/1, Draw: 7/1 → 12/1, Diriangen: 1/9 → 1/25
2026-02-26T21:10:34.153Z [ODDS]  Rancho Santana FC: 20/1 → 25/1, Draw: 12/1 → 14/1, Diriangen: 1/25 → 1/33
2026-02-26T21:10:34.153Z [EVENT]  score: 1-0
2026-02-26T21:10:57.656Z [ODDS]  Rancho Santana FC: 25/1 → 33/1, Draw: 14/1 → 16/1
2026-02-26T21:11:08.425Z [ODDS]  Rancho Santana FC: 33/1 → 25/1, Draw: 16/1 → 14/1
2026-02-26T21:12:57.625Z [ODDS]  Rancho Santana FC: 25/1 → 33/1, Draw: 14/1 → 16/1
2026-02-26T21:13:11.100Z [ODDS]  Rancho Santana FC: 33/1 → 25/1, Draw: 16/1 → 14/1
2026-02-26T21:17:56.132Z [ODDS]  Rancho Santana FC: 25/1 → 28/1
2026-02-26T21:18:16.450Z [ODDS]  Rancho Santana FC: 28/1 → 25/1
2026-02-26T21:29:19.426Z [ODDS]  Draw: 14/1 → 12/1, Diriangen: 1/33 → 1/28
2026-02-26T21:30:22.123Z [ODDS]  Draw: 12/1 → 14/1, Diriangen: 1/28 → 1/33
2026-02-26T21:32:56.368Z [ODDS]  Draw: 14/1 → 12/1, Diriangen: 1/33 → 1/28
2026-02-26T21:35:30.625Z [ODDS]  Rancho Santana FC: 25/1 → 33/1, Draw: 12/1 → 25/1, Diriangen: 1/28 → 1/125
2026-02-26T21:35:30.627Z [EVENT]  score: 2-0
2026-02-26T21:39:49.352Z [EVENT]  score: 3-0
2026-02-26T21:44:47.911Z [EVENT]  score: 4-0
2026-02-26T22:08:21.544Z [ODDS]  Diriangen: 1/6 → 2/11
2026-02-26T22:08:28.761Z [ODDS]  Draw: 7/1 → 13/2
2026-02-26T22:10:11.153Z [ODDS]  Draw: 13/2 → 6/1
2026-02-26T22:10:34.142Z [ODDS]  Diriangen: 2/11 → 1/5
2026-02-26T22:12:21.931Z [ODDS]  Draw: 6/1 → 11/2
2026-02-26T22:12:55.360Z [ODDS]  Diriangen: 1/5 → 2/9
2026-02-26T22:13:03.425Z [EVENT]  score: 5-0
2026-02-26T22:38:26.800Z [ODDS]  Draw: 11/10 → 1/1
2026-02-26T22:39:05.131Z [ODDS]  Draw: 1/1 → 10/11, Diriangen: 10/11 → 20/21
2026-02-26T22:39:26.327Z [ODDS]  Diriangen: 20/21 → 1/1
2026-02-26T22:39:43.468Z [ODDS]  Rancho Santana FC: 9/1 → 10/1, Draw: 10/11 → 5/6
2026-02-26T22:40:08.272Z [ODDS]  Diriangen: 1/1 → 21/20
2026-02-26T22:40:28.116Z [ODDS]  Diriangen: 21/20 → 11/10
2026-02-26T22:40:48.864Z [ODDS]  Draw: 5/6 → 4/5
2026-02-26T22:41:09.161Z [ODDS]  Draw: 4/5 → 8/11, Diriangen: 11/10 → 6/5
2026-02-26T22:41:29.907Z [ODDS]  Diriangen: 6/5 → 5/4
2026-02-26T22:41:55.613Z [ODDS]  Rancho Santana FC: 10/1 → 11/1, Draw: 8/11 → 4/6, Diriangen: 5/4 → 13/10
2026-02-26T22:42:26.281Z [ODDS]  Draw: 4/6 → 8/13, Diriangen: 13/10 → 11/8
2026-02-26T22:42:47.027Z [ODDS]  Draw: 8/13 → 4/7, Diriangen: 11/8 → 7/5
2026-02-26T22:43:10.479Z [ODDS]  Rancho Santana FC: 11/1 → 12/1, Diriangen: 7/5 → 6/4
2026-02-26T22:43:30.776Z [ODDS]  Draw: 4/7 → 8/15, Diriangen: 6/4 → 8/5
2026-02-26T22:43:51.522Z [ODDS]  Draw: 8/15 → 1/2, Diriangen: 8/5 → 13/8
2026-02-26T22:44:10.013Z [ODDS]  Draw: 1/2 → 4/9, Diriangen: 13/8 → 7/4
2026-02-26T22:44:27.642Z [ODDS]  Diriangen: 7/4 → 15/8
2026-02-26T22:44:47.448Z [ODDS]  Rancho Santana FC: 12/1 → 14/1, Draw: 4/9 → 2/5, Diriangen: 15/8 → 2/1
2026-02-26T22:45:06.421Z [ODDS]  Diriangen: 2/1 → 21/10
2026-02-26T22:45:27.198Z [ODDS]  Draw: 2/5 → 4/11, Diriangen: 21/10 → 9/4
2026-02-26T22:45:47.431Z [ODDS]  Draw: 4/11 → 1/3, Diriangen: 9/4 → 12/5
2026-02-26T22:46:08.175Z [ODDS]  Draw: 1/3 → 3/10, Diriangen: 12/5 → 5/2
2026-02-26T22:46:28.473Z [ODDS]  Rancho Santana FC: 14/1 → 16/1, Draw: 3/10 → 2/7, Diriangen: 5/2 → 11/4
2026-02-26T22:46:48.765Z [ODDS]  Draw: 2/7 → 1/4, Diriangen: 11/4 → 3/1
2026-02-26T22:47:12.218Z [EVENT]  score: 5-1
