2026-02-26T19:52:49.526Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T19:53:56.275Z [ODDS]  El Mansoura: 11/8 → 7/5
2026-02-26T20:00:02.977Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T20:00:23.734Z [ODDS]  El Mansoura: 7/5 → 6/4
2026-02-26T20:02:47.597Z [ODDS]  Maleyet El Zayiat: 13/5 → 11/4
2026-02-26T20:03:02.027Z [ODDS]  El Mansoura: 6/4 → 7/5
2026-02-26T20:03:52.988Z [ODDS]  El Mansoura: 7/5 → 6/4
2026-02-26T20:05:57.922Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T20:07:03.788Z [ODDS]  Maleyet El Zayiat: 11/4 → 13/5, El Mansoura: 6/4 → 8/5
2026-02-26T20:08:31.416Z [ODDS]  Maleyet El Zayiat: 13/5 → 11/4, Draw: 11/8 → 13/10, El Mansoura: 8/5 → 6/4
2026-02-26T20:09:31.399Z [ODDS]  El Mansoura: 6/4 → 8/5
2026-02-26T20:12:04.304Z [ODDS]  Draw: 13/10 → 5/4
2026-02-26T20:13:41.711Z [ODDS]  El Mansoura: 8/5 → 13/8
2026-02-26T20:15:26.793Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T20:17:10.083Z [ODDS]  Maleyet El Zayiat: 11/4 → 3/1, El Mansoura: 13/8 → 7/4
2026-02-26T20:17:33.085Z [ODDS]  Draw: 6/5 → 11/10
2026-02-26T20:21:56.473Z [ODDS]  Draw: 11/10 → 21/20
2026-02-26T20:22:42.041Z [ODDS]  El Mansoura: 7/4 → 15/8
2026-02-26T20:24:15.378Z [ODDS]  Draw: 21/20 → 1/1
2026-02-26T20:44:58.030Z [ODDS]  Draw: 1/1 → 20/21
2026-02-26T20:45:25.542Z [ODDS]  Maleyet El Zayiat: 3/1 → 10/3
2026-02-26T20:46:05.230Z [ODDS]  El Mansoura: 15/8 → 2/1
2026-02-26T20:47:32.728Z [ODDS]  Draw: 20/21 → 10/11
2026-02-26T20:49:36.397Z [ODDS]  Maleyet El Zayiat: 10/3 → 11/4, Draw: 10/11 → 20/21, El Mansoura: 2/1 → 11/5
2026-02-26T20:49:38.208Z [ODDS]  Maleyet El Zayiat: 11/4 → 10/3, Draw: 20/21 → 10/11, El Mansoura: 11/5 → 2/1
2026-02-26T20:50:45.421Z [ODDS]  Draw: 10/11 → 5/6
2026-02-26T20:53:02.989Z [ODDS]  El Mansoura: 21/10 → 11/5
2026-02-26T20:53:25.990Z [ODDS]  Maleyet El Zayiat: 10/3 → 7/2
2026-02-26T20:53:53.951Z [ODDS]  Draw: 5/6 → 4/5
2026-02-26T20:55:24.164Z [ODDS]  El Mansoura: 11/5 → 9/4
2026-02-26T20:57:17.364Z [ODDS]  Draw: 4/5 → 8/11
2026-02-26T20:58:19.601Z [ODDS]  El Mansoura: 9/4 → 12/5
