2026-02-26T21:08:59.886Z [ODDS]  Draw: 5/2 → 12/5
2026-02-26T21:13:54.843Z [ODDS]  CD Aguila: 4/6 → 8/11
2026-02-26T21:14:34.541Z [ODDS]  Fuerte San Francisco: 4/1 → 15/4
2026-02-26T21:15:30.460Z [ODDS]  Draw: 12/5 → 9/4, Fuerte San Francisco: 15/4 → 4/1
2026-02-26T21:18:50.716Z [ODDS]  Fuerte San Francisco: 4/1 → 15/4
2026-02-26T21:19:07.392Z [ODDS]  Fuerte San Francisco: 15/4 → 4/1
2026-02-26T21:20:15.952Z [ODDS]  Draw: 9/4 → 11/5
2026-02-26T21:23:16.800Z [ODDS]  Draw: 11/5 → 9/4
2026-02-26T21:23:58.314Z [ODDS]  Draw: 9/4 → 11/5
2026-02-26T21:24:23.280Z [ODDS]  Draw: 11/5 → 21/10
2026-02-26T21:24:43.864Z [ODDS]  CD Aguila: 8/11 → 4/5
2026-02-26T21:26:37.988Z [ODDS]  Fuerte San Francisco: 4/1 → 15/4
2026-02-26T21:26:58.286Z [ODDS]  Fuerte San Francisco: 15/4 → 4/1
2026-02-26T21:27:58.249Z [ODDS]  Draw: 21/10 → 2/1
2026-02-26T21:31:39.254Z [ODDS]  CD Aguila: 4/5 → 5/6
2026-02-26T21:32:40.156Z [ODDS]  Draw: 2/1 → 15/8
2026-02-26T21:34:57.245Z [ODDS]  CD Aguila: 5/6 → 10/11, Fuerte San Francisco: 4/1 → 15/4
2026-02-26T21:35:27.458Z [ODDS]  CD Aguila: 10/11 → 5/6, Fuerte San Francisco: 15/4 → 4/1
2026-02-26T21:36:59.912Z [ODDS]  CD Aguila: 5/6 → 10/11
2026-02-26T21:37:17.510Z [ODDS]  Draw: 15/8 → 7/4
2026-02-26T21:41:57.886Z [ODDS]  Draw: 7/4 → 13/8
2026-02-26T21:42:08.708Z [ODDS]  CD Aguila: 10/11 → 20/21
2026-02-26T21:43:15.009Z [ODDS]  Fuerte San Francisco: 4/1 → 15/4
2026-02-26T21:43:35.756Z [ODDS]  Fuerte San Francisco: 15/4 → 4/1
2026-02-26T21:44:33.956Z [ODDS]  Draw: 13/8 → 8/5
2026-02-26T21:45:28.052Z [ODDS]  CD Aguila: 20/21 → 1/1
2026-02-26T21:46:50.148Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T22:03:12.981Z [ODDS]  CD Aguila: 1/1 → 21/20
2026-02-26T22:03:25.188Z [ODDS]  CD Aguila: 21/20 → 1/1
2026-02-26T22:03:37.357Z [ODDS]  CD Aguila: 1/1 → 21/20
2026-02-26T22:05:12.945Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T22:05:17.005Z [ODDS]  CD Aguila: 21/20 → 11/10
2026-02-26T22:05:26.931Z [ODDS]  Fuerte San Francisco: 4/1 → 15/4
2026-02-26T22:05:58.947Z [ODDS]  Fuerte San Francisco: 15/4 → 4/1
2026-02-26T22:07:00.737Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T22:07:32.304Z [ODDS]  CD Aguila: 11/10 → 6/5
2026-02-26T22:08:41.836Z [ODDS]  Draw: 11/8 → 13/10
2026-02-26T22:09:02.585Z [ODDS]  CD Aguila: 6/5 → 11/10, Draw: 13/10 → 11/8
2026-02-26T22:09:35.961Z [ODDS]  CD Aguila: 11/10 → 6/5
2026-02-26T22:09:43.623Z [ODDS]  Draw: 11/8 → 13/10
2026-02-26T22:10:56.691Z [ODDS]  Draw: 13/10 → 5/4
2026-02-26T22:11:17.480Z [ODDS]  CD Aguila: 6/5 → 5/4
2026-02-26T22:12:56.210Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T22:13:46.268Z [ODDS]  CD Aguila: 5/4 → 13/10
2026-02-26T22:15:19.175Z [ODDS]  Draw: 6/5 → 11/10
2026-02-26T22:15:54.353Z [ODDS]  CD Aguila: 13/10 → 11/8
2026-02-26T22:17:10.573Z [ODDS]  CD Aguila: 11/8 → 13/10, Fuerte San Francisco: 4/1 → 9/2
2026-02-26T22:17:43.050Z [ODDS]  CD Aguila: 13/10 → 11/8
2026-02-26T22:17:59.732Z [ODDS]  CD Aguila: 11/8 → 7/5, Draw: 11/10 → 21/20
2026-02-26T22:19:09.199Z [ODDS]  Draw: 21/20 → 1/1
2026-02-26T22:19:19.593Z [ODDS]  CD Aguila: 7/5 → 6/4
2026-02-26T22:19:45.722Z [ODDS]  CD Aguila: 6/4 → 1/8, Draw: 1/1 → 11/2, Fuerte San Francisco: 9/2 → 16/1
2026-02-26T22:19:45.722Z [EVENT]  score: 0-1
2026-02-26T22:20:51.578Z [ODDS]  Fuerte San Francisco: 16/1 → 18/1
2026-02-26T22:22:10.056Z [ODDS]  CD Aguila: 1/8 → 1/9
2026-02-26T22:24:26.755Z [ODDS]  Fuerte San Francisco: 18/1 → 20/1
2026-02-26T22:27:11.834Z [ODDS]  Fuerte San Francisco: 20/1 → 22/1
2026-02-26T22:27:59.589Z [ODDS]  CD Aguila: 1/9 → 1/10, Draw: 11/2 → 6/1
2026-02-26T22:28:14.469Z [ODDS]  CD Aguila: 1/10 → 1/9, Draw: 6/1 → 11/2, Fuerte San Francisco: 22/1 → 20/1
2026-02-26T22:28:44.686Z [ODDS]  Fuerte San Francisco: 20/1 → 22/1
2026-02-26T22:29:23.023Z [ODDS]  CD Aguila: 1/9 → 1/10, Draw: 11/2 → 6/1, Fuerte San Francisco: 22/1 → 25/1
2026-02-26T22:32:22.977Z [ODDS]  Fuerte San Francisco: 25/1 → 28/1
2026-02-26T22:33:34.685Z [ODDS]  CD Aguila: 1/10 → 1/12, Draw: 6/1 → 13/2
2026-02-26T22:35:08.219Z [ODDS]  Draw: 13/2 → 7/1
2026-02-26T22:36:01.435Z [ODDS]  Fuerte San Francisco: 28/1 → 33/1
2026-02-26T22:38:21.381Z [ODDS]  CD Aguila: 1/12 → 1/14, Draw: 7/1 → 8/1
2026-02-26T22:39:26.327Z [ODDS]  Fuerte San Francisco: 33/1 → 40/1
2026-02-26T22:40:23.606Z [ODDS]  CD Aguila: 1/14 → 1/16, Draw: 8/1 → 9/1
2026-02-26T22:41:59.673Z [ODDS]  CD Aguila: 1/16 → 1/20, Draw: 9/1 → 10/1
2026-02-26T22:42:33.500Z [ODDS]  Fuerte San Francisco: 40/1 → 50/1
