2026-02-26T21:08:09.826Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T21:08:17.943Z [ODDS]  Inter (Furious): 15/8 → 2/1
2026-02-26T21:08:22.453Z [ODDS]  Man City (Jack): 7/4 → 15/8
2026-02-26T21:08:24.710Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T21:08:36.886Z [ODDS]  Draw: 11/8 → 13/10
2026-02-26T21:08:46.357Z [ODDS]  Inter (Furious): 2/1 → 21/10
2026-02-26T21:08:50.866Z [ODDS]  Draw: 13/10 → 5/4
2026-02-26T21:08:51.335Z [ODDS]  Man City (Jack): 15/8 → 4/11, Draw: 5/4 → 13/5, Inter (Furious): 21/10 → 8/1
2026-02-26T21:08:51.335Z [EVENT]  score: 0-1
2026-02-26T21:09:32.364Z [ODDS]  Inter (Furious): 8/1 → 17/2
2026-02-26T21:09:33.714Z [ODDS]  Man City (Jack): 4/11 → 1/3
2026-02-26T21:09:42.733Z [ODDS]  Inter (Furious): 17/2 → 9/1
2026-02-26T21:09:51.751Z [ODDS]  Draw: 13/5 → 11/4
2026-02-26T21:09:53.108Z [ODDS]  Man City (Jack): 1/3 → 12/5, Draw: 11/4 → 10/11, Inter (Furious): 9/1 → 5/2
2026-02-26T21:09:53.108Z [EVENT]  score: 1-1
2026-02-26T21:10:31.440Z [ODDS]  Draw: 10/11 → 5/6, Inter (Furious): 5/2 → 13/5
2026-02-26T21:10:35.952Z [ODDS]  Man City (Jack): 12/5 → 1/4, Draw: 5/6 → 11/4, Inter (Furious): 13/5 → 12/1
2026-02-26T21:10:35.952Z [EVENT]  score: 1-2
2026-02-26T21:11:00.792Z [ODDS]  Inter (Furious): 12/1 → 14/1
2026-02-26T21:11:10.689Z [ODDS]  Draw: 11/4 → 3/1
2026-02-26T21:11:19.707Z [ODDS]  Man City (Jack): 1/4 → 2/9, Inter (Furious): 14/1 → 16/1
2026-02-26T21:11:35.946Z [ODDS]  Man City (Jack): 2/9 → 1/5, Draw: 3/1 → 10/3, Inter (Furious): 16/1 → 18/1
2026-02-26T21:11:44.053Z [ODDS]  Inter (Furious): 18/1 → 20/1
2026-02-26T21:11:50.821Z [ODDS]  Inter (Furious): 20/1 → 22/1
2026-02-26T21:11:51.942Z [ODDS]  Man City (Jack): 1/5 → 2/11, Draw: 10/3 → 7/2
2026-02-26T21:11:53.993Z [ODDS]  Inter (Furious): 22/1 → 25/1
2026-02-26T21:12:00.760Z [ODDS]  Man City (Jack): 2/11 → 1/6, Draw: 7/2 → 15/4
2026-02-26T21:12:03.000Z [ODDS]  Draw: 15/4 → 4/1
2026-02-26T21:12:03.907Z [ODDS]  Inter (Furious): 25/1 → 28/1
2026-02-26T21:12:18.808Z [ODDS]  Man City (Jack): 1/6 → 1/7, Draw: 4/1 → 9/2, Inter (Furious): 28/1 → 33/1
2026-02-26T21:12:21.490Z [ODDS]  Man City (Jack): 1/7 → 1/8, Draw: 9/2 → 5/1
2026-02-26T21:12:22.387Z [ODDS]  Inter (Furious): 33/1 → 40/1
