2026-02-26T21:38:11.482Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T21:38:25.013Z [ODDS]  Man City (Jack): 13/8 → 7/4
2026-02-26T21:38:28.619Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T21:38:34.032Z [ODDS]  PSG (Lucas): 21/10 → 11/5
2026-02-26T21:38:42.601Z [ODDS]  Draw: 11/8 → 13/10
2026-02-26T21:38:57.029Z [ODDS]  PSG (Lucas): 11/5 → 9/4, Draw: 13/10 → 5/4
2026-02-26T21:39:00.187Z [ODDS]  Man City (Jack): 7/4 → 15/8
2026-02-26T21:39:05.603Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T21:39:06.954Z [ODDS]  Draw: 6/5 → 5/4
2026-02-26T21:39:09.659Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T21:39:29.954Z [ODDS]  PSG (Lucas): 9/4 → 12/5, Draw: 6/5 → 11/10
2026-02-26T21:39:37.170Z [ODDS]  Man City (Jack): 15/8 → 2/1
2026-02-26T21:39:42.133Z [ODDS]  Draw: 11/10 → 21/20
2026-02-26T21:39:48.444Z [ODDS]  PSG (Lucas): 12/5 → 5/2
2026-02-26T21:39:53.857Z [ODDS]  Draw: 21/20 → 1/1
2026-02-26T21:39:54.760Z [ODDS]  Man City (Jack): 2/1 → 21/10
2026-02-26T21:40:06.037Z [ODDS]  PSG (Lucas): 5/2 → 13/5, Draw: 1/1 → 20/21
2026-02-26T21:40:12.803Z [ODDS]  Man City (Jack): 21/10 → 11/5
2026-02-26T21:40:16.872Z [ODDS]  Draw: 20/21 → 10/11, PSG (Lucas): 13/5 → 11/1, Draw: 10/11 → 11/4, Man City (Jack): 11/5 → 2/7
2026-02-26T21:40:16.873Z [EVENT]  score: 3-2
2026-02-26T21:40:16.874Z [ODDS]  Draw: 11/4 → 10/11, Draw: 10/11 → 11/4
2026-02-26T21:40:38.506Z [ODDS]  PSG (Lucas): 11/1 → 12/1
2026-02-26T21:40:51.164Z [ODDS]  Man City (Jack): 2/7 → 1/4
2026-02-26T21:40:59.252Z [ODDS]  PSG (Lucas): 12/1 → 14/1, Draw: 11/4 → 3/1
2026-02-26T21:41:09.676Z [ODDS]  Man City (Jack): 1/4 → 2/9
2026-02-26T21:41:15.941Z [ODDS]  PSG (Lucas): 14/1 → 16/1
2026-02-26T21:41:29.026Z [ODDS]  PSG (Lucas): 16/1 → 18/1, Draw: 3/1 → 10/3, Man City (Jack): 2/9 → 1/5
2026-02-26T21:41:36.237Z [ODDS]  PSG (Lucas): 18/1 → 20/1
2026-02-26T21:41:43.004Z [ODDS]  Draw: 10/3 → 7/2, Man City (Jack): 1/5 → 2/11
2026-02-26T21:41:46.394Z [ODDS]  PSG (Lucas): 20/1 → 9/2, Draw: 7/2 → 4/11, Man City (Jack): 2/11 → 4/1
2026-02-26T21:41:46.404Z [EVENT]  score: 3-3
2026-02-26T21:42:22.271Z [ODDS]  PSG (Lucas): 9/2 → 5/1, Draw: 4/11 → 1/3
2026-02-26T21:42:24.047Z [ODDS]  Man City (Jack): 4/1 → 9/2
2026-02-26T21:42:28.556Z [ODDS]  Draw: 1/3 → 3/10
