2026-02-26T20:38:09.870Z [ODDS]  Draw: 11/2 → 6/1
2026-02-26T20:38:17.086Z [ODDS]  Real Madrid (Klaus): 1/9 → 1/10
2026-02-26T20:38:17.985Z [ODDS]  Real Madrid (Klaus): 1/10 → 1/2, Draw: 6/1 → 12/5, Man City (Jack): 12/1 → 6/1
2026-02-26T20:38:17.985Z [EVENT]  score: 1-2
2026-02-26T20:38:44.596Z [ODDS]  Real Madrid (Klaus): 1/2 → 4/9
2026-02-26T20:38:51.363Z [ODDS]  Man City (Jack): 6/1 → 13/2
2026-02-26T20:39:14.814Z [ODDS]  Real Madrid (Klaus): 4/9 → 1/12, Draw: 12/5 → 7/1, Man City (Jack): 13/2 → 14/1
2026-02-26T20:39:14.814Z [EVENT]  score: 1-3
2026-02-26T20:39:16.617Z [ODDS]  Man City (Jack): 14/1 → 16/1
2026-02-26T20:39:59.464Z [ODDS]  Real Madrid (Klaus): 1/12 → 1/14, Draw: 7/1 → 8/1, Man City (Jack): 16/1 → 18/1
2026-02-26T20:40:13.911Z [ODDS]  Real Madrid (Klaus): 1/14 → 1/16, Draw: 8/1 → 9/1
2026-02-26T20:40:23.368Z [ODDS]  Man City (Jack): 18/1 → 20/1
2026-02-26T20:40:36.446Z [ODDS]  Real Madrid (Klaus): 1/16 → 1/20, Draw: 9/1 → 10/1
2026-02-26T20:40:48.176Z [ODDS]  Man City (Jack): 20/1 → 22/1
2026-02-26T20:40:55.393Z [ODDS]  Real Madrid (Klaus): 1/20 → 1/22
2026-02-26T20:40:57.194Z [ODDS]  Real Madrid (Klaus): 1/22 → 2/7, Draw: 10/1 → 11/4, Man City (Jack): 22/1 → 12/1
2026-02-26T20:40:57.194Z [EVENT]  score: 2-3
2026-02-26T20:41:30.568Z [ODDS]  Man City (Jack): 12/1 → 14/1
2026-02-26T20:41:32.376Z [ODDS]  Real Madrid (Klaus): 2/7 → 1/4
2026-02-26T20:41:45.450Z [ODDS]  Man City (Jack): 14/1 → 16/1
2026-02-26T20:41:48.155Z [ODDS]  Draw: 11/4 → 3/1
2026-02-26T20:41:49.064Z [ODDS]  Real Madrid (Klaus): 1/4 → 2/9
2026-02-26T20:41:54.469Z [ODDS]  Man City (Jack): 16/1 → 18/1
2026-02-26T20:42:06.647Z [ODDS]  Real Madrid (Klaus): 2/9 → 1/5, Draw: 3/1 → 10/3, Man City (Jack): 18/1 → 20/1
2026-02-26T20:42:11.620Z [ODDS]  Man City (Jack): 20/1 → 22/1
2026-02-26T20:42:16.569Z [ODDS]  Man City (Jack): 22/1 → 25/1
2026-02-26T20:42:23.785Z [ODDS]  Real Madrid (Klaus): 1/5 → 2/11, Draw: 10/3 → 7/2
2026-02-26T20:42:25.162Z [ODDS]  Real Madrid (Klaus): 2/11 → 1/6, Draw: 7/2 → 15/4
2026-02-26T20:42:26.043Z [ODDS]  Man City (Jack): 25/1 → 28/1
2026-02-26T20:42:26.948Z [ODDS]  Draw: 15/4 → 4/1
2026-02-26T20:42:34.159Z [ODDS]  Man City (Jack): 28/1 → 33/1
