2026-02-26T21:08:20.200Z [ODDS]  Draw: 12/5 → 9/4
2026-02-26T21:10:07.089Z [ODDS]  CD Dragon: 21/10 → 2/1, Draw: 9/4 → 12/5
2026-02-26T21:11:05.275Z [ODDS]  CD Dragon: 2/1 → 21/10, Draw: 12/5 → 9/4
2026-02-26T21:11:46.323Z [ODDS]  CD Dragon: 21/10 → 2/1
2026-02-26T21:12:54.912Z [ODDS]  CD Dragon: 2/1 → 21/10
2026-02-26T21:18:16.450Z [ODDS]  Draw: 9/4 → 11/5
2026-02-26T21:24:40.255Z [ODDS]  Draw: 11/5 → 21/10, Racing FC de Gualuca: 6/5 → 5/4
2026-02-26T21:31:16.688Z [ODDS]  Racing FC de Gualuca: 5/4 → 13/10
2026-02-26T21:31:47.859Z [ODDS]  Draw: 21/10 → 2/1
2026-02-26T21:37:31.478Z [ODDS]  CD Dragon: 21/10 → 2/1, Racing FC de Gualuca: 13/10 → 11/8
2026-02-26T21:38:10.578Z [ODDS]  CD Dragon: 2/1 → 21/10, Draw: 2/1 → 15/8
2026-02-26T21:38:48.465Z [ODDS]  Racing FC de Gualuca: 11/8 → 13/10
2026-02-26T21:39:49.804Z [ODDS]  Racing FC de Gualuca: 13/10 → 11/8
2026-02-26T21:41:47.519Z [ODDS]  Racing FC de Gualuca: 11/8 → 7/5
2026-02-26T21:43:01.934Z [ODDS]  Draw: 15/8 → 7/4
2026-02-26T21:45:23.545Z [ODDS]  CD Dragon: 21/10 → 11/5
2026-02-26T21:46:01.426Z [ODDS]  Racing FC de Gualuca: 7/5 → 6/4
2026-02-26T22:05:03.926Z [ODDS]  Draw: 7/4 → 13/8
2026-02-26T22:07:24.645Z [ODDS]  Draw: 13/8 → 8/5
2026-02-26T22:08:47.254Z [ODDS]  Racing FC de Gualuca: 6/4 → 8/5
2026-02-26T22:08:47.703Z [ODDS]  CD Dragon: 11/5 → 9/4, Racing FC de Gualuca: 8/5 → 6/4
2026-02-26T22:09:17.477Z [ODDS]  Racing FC de Gualuca: 6/4 → 8/5
2026-02-26T22:09:38.228Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T22:11:43.595Z [ODDS]  Racing FC de Gualuca: 8/5 → 13/8
2026-02-26T22:12:44.030Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T22:14:21.010Z [ODDS]  CD Dragon: 9/4 → 12/5, Racing FC de Gualuca: 13/8 → 7/4
2026-02-26T22:14:40.389Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T22:16:10.589Z [ODDS]  Draw: 11/8 → 13/10
2026-02-26T22:17:55.673Z [ODDS]  Draw: 13/10 → 5/4
