2026-02-26T20:38:36.478Z [ODDS]  Draw: 23/10 → 9/4
2026-02-26T20:38:40.087Z [ODDS]  PSG (REALIST): 6/5 → 5/4
2026-02-26T20:38:50.009Z [ODDS]  Real Madrid (FAITH): 7/4 → 15/8
2026-02-26T20:38:54.971Z [ODDS]  Draw: 9/4 → 11/5
2026-02-26T20:39:15.265Z [ODDS]  Draw: 11/5 → 21/10
2026-02-26T20:39:22.934Z [ODDS]  PSG (REALIST): 5/4 → 13/10
2026-02-26T20:39:26.091Z [ODDS]  PSG (REALIST): 13/10 → 7/2, Draw: 21/10 → 11/4, Real Madrid (FAITH): 15/8 → 8/13
2026-02-26T20:39:26.091Z [EVENT]  score: 1-0
2026-02-26T20:39:45.482Z [ODDS]  Real Madrid (FAITH): 8/13 → 4/7
2026-02-26T20:39:59.925Z [ODDS]  PSG (REALIST): 7/2 → 15/4
2026-02-26T20:40:26.977Z [ODDS]  PSG (REALIST): 15/4 → 4/1
2026-02-26T20:40:47.272Z [ODDS]  Real Madrid (FAITH): 4/7 → 8/15
2026-02-26T20:40:53.585Z [ODDS]  Draw: 11/4 → 13/5
2026-02-26T20:41:00.801Z [ODDS]  PSG (REALIST): 4/1 → 9/2
2026-02-26T20:41:35.077Z [ODDS]  PSG (REALIST): 9/2 → 5/1, Real Madrid (FAITH): 8/15 → 1/2
2026-02-26T20:42:08.902Z [ODDS]  PSG (REALIST): 5/1 → 11/2, Draw: 13/5 → 5/2
2026-02-26T20:42:35.517Z [ODDS]  PSG (REALIST): 11/2 → 6/1, Real Madrid (FAITH): 1/2 → 4/9
2026-02-26T20:42:53.101Z [ODDS]  PSG (REALIST): 6/1 → 13/2
2026-02-26T20:42:58.069Z [ODDS]  PSG (REALIST): 13/2 → 6/1
2026-02-26T20:43:00.317Z [ODDS]  PSG (REALIST): 6/1 → 13/2
2026-02-26T20:43:52.182Z [ODDS]  PSG (REALIST): 13/2 → 7/1, Real Madrid (FAITH): 4/9 → 2/5
2026-02-26T20:44:12.026Z [ODDS]  PSG (REALIST): 7/1 → 15/2, Draw: 5/2 → 13/5
2026-02-26T20:44:16.999Z [ODDS]  Real Madrid (FAITH): 2/5 → 4/11
2026-02-26T20:44:26.459Z [ODDS]  PSG (REALIST): 15/2 → 8/1
2026-02-26T20:44:39.087Z [ODDS]  PSG (REALIST): 8/1 → 17/2, Real Madrid (FAITH): 4/11 → 1/3
2026-02-26T20:44:44.502Z [ODDS]  PSG (REALIST): 17/2 → 9/1, Draw: 13/5 → 11/4
2026-02-26T20:44:55.324Z [ODDS]  PSG (REALIST): 9/1 → 13/5, Draw: 11/4 → 11/10, Real Madrid (FAITH): 1/3 → 7/4
2026-02-26T20:45:04.343Z [ODDS]  PSG (REALIST): 13/5 → 9/4, Draw: 11/10 → 5/6, Real Madrid (FAITH): 7/4 → 3/1
2026-02-26T20:45:04.343Z [EVENT]  score: 1-1
2026-02-26T20:45:18.325Z [ODDS]  Draw: 5/6 → 4/5
2026-02-26T20:45:34.110Z [ODDS]  PSG (REALIST): 9/4 → 12/5, Draw: 4/5 → 8/11, Real Madrid (FAITH): 3/1 → 10/3
2026-02-26T20:45:43.618Z [ODDS]  PSG (REALIST): 12/5 → 5/2, Draw: 8/11 → 4/6
2026-02-26T20:45:49.445Z [ODDS]  PSG (REALIST): 5/2 → 13/5
2026-02-26T20:45:57.112Z [ODDS]  PSG (REALIST): 13/5 → 11/4, Draw: 4/6 → 8/13, Real Madrid (FAITH): 10/3 → 7/2
2026-02-26T20:46:06.582Z [ODDS]  Draw: 8/13 → 4/7, Real Madrid (FAITH): 7/2 → 15/4
2026-02-26T20:46:17.863Z [ODDS]  PSG (REALIST): 11/4 → 3/1, Draw: 4/7 → 8/15, Real Madrid (FAITH): 15/4 → 4/1
2026-02-26T20:46:19.220Z [ODDS]  Draw: 8/15 → 1/2
2026-02-26T20:46:26.443Z [ODDS]  PSG (REALIST): 3/1 → 10/3, Draw: 1/2 → 4/9
2026-02-26T20:46:30.495Z [ODDS]  Real Madrid (FAITH): 4/1 → 9/2
2026-02-26T20:46:37.250Z [ODDS]  PSG (REALIST): 10/3 → 7/2, Draw: 4/9 → 2/5
2026-02-26T20:46:44.468Z [ODDS]  PSG (REALIST): 7/2 → 15/4, Draw: 2/5 → 4/11, Real Madrid (FAITH): 9/2 → 5/1
2026-02-26T20:46:49.882Z [ODDS]  PSG (REALIST): 15/4 → 4/1, Draw: 4/11 → 1/3
2026-02-26T20:46:53.490Z [ODDS]  PSG (REALIST): 4/1 → 9/2, Draw: 1/3 → 3/10, Real Madrid (FAITH): 5/1 → 11/2
2026-02-26T20:47:20.100Z [EVENT]  score: 1-2
