2026-02-26T21:38:19.154Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T21:38:20.950Z [ODDS]  Real Madrid (Klaus): 7/5 → 6/4
2026-02-26T21:38:41.244Z [ODDS]  Draw: 6/5 → 11/10
2026-02-26T21:38:46.208Z [ODDS]  Real Madrid (Klaus): 6/4 → 8/5
2026-02-26T21:38:57.935Z [ODDS]  Draw: 11/10 → 21/20
2026-02-26T21:38:58.834Z [ODDS]  Bayern (Vendetta): 3/1 → 10/3
2026-02-26T21:39:00.187Z [ODDS]  Real Madrid (Klaus): 8/5 → 13/8
2026-02-26T21:39:07.403Z [ODDS]  Draw: 21/20 → 1/1
2026-02-26T21:39:14.620Z [ODDS]  Real Madrid (Klaus): 13/8 → 7/4
2026-02-26T21:39:23.213Z [ODDS]  Draw: 1/1 → 20/21
2026-02-26T21:39:34.468Z [ODDS]  Draw: 20/21 → 10/11
2026-02-26T21:39:41.680Z [ODDS]  Bayern (Vendetta): 10/3 → 7/2, Draw: 10/11 → 5/6, Real Madrid (Klaus): 7/4 → 15/8
2026-02-26T21:39:54.760Z [ODDS]  Draw: 5/6 → 4/5, Real Madrid (Klaus): 15/8 → 2/1
2026-02-26T21:40:06.037Z [ODDS]  Bayern (Vendetta): 7/2 → 15/4
2026-02-26T21:40:11.447Z [ODDS]  Draw: 4/5 → 8/11
2026-02-26T21:40:14.604Z [ODDS]  Real Madrid (Klaus): 2/1 → 21/10
2026-02-26T21:40:29.042Z [ODDS]  Bayern (Vendetta): 15/4 → 4/1, Draw: 8/11 → 4/6, Real Madrid (Klaus): 21/10 → 11/5
2026-02-26T21:40:32.653Z [ODDS]  Real Madrid (Klaus): 11/5 → 9/4
2026-02-26T21:40:43.473Z [ODDS]  Draw: 4/6 → 8/13, Real Madrid (Klaus): 9/4 → 12/5
2026-02-26T21:40:51.171Z [ODDS]  Bayern (Vendetta): 4/1 → 9/2, Draw: 8/13 → 4/7, Real Madrid (Klaus): 12/5 → 5/2
2026-02-26T21:40:55.652Z [ODDS]  Bayern (Vendetta): 9/2 → 2/9, Draw: 4/7 → 3/1, Real Madrid (Klaus): 5/2 → 16/1
2026-02-26T21:40:55.652Z [EVENT]  score: 1-2
2026-02-26T21:40:57.471Z [ODDS]  Real Madrid (Klaus): 16/1 → 18/1
2026-02-26T21:41:20.010Z [ODDS]  Real Madrid (Klaus): 18/1 → 20/1
2026-02-26T21:41:30.823Z [ODDS]  Real Madrid (Klaus): 20/1 → 22/1
2026-02-26T21:41:34.887Z [ODDS]  Bayern (Vendetta): 2/9 → 1/5, Draw: 3/1 → 10/3
2026-02-26T21:41:40.744Z [ODDS]  Real Madrid (Klaus): 22/1 → 25/1
2026-02-26T21:41:44.830Z [ODDS]  Bayern (Vendetta): 1/5 → 2/11, Draw: 10/3 → 7/2
2026-02-26T21:41:51.569Z [ODDS]  Real Madrid (Klaus): 25/1 → 28/1
2026-02-26T21:41:55.178Z [ODDS]  Bayern (Vendetta): 2/11 → 1/6, Draw: 7/2 → 4/1
2026-02-26T21:41:58.335Z [ODDS]  Real Madrid (Klaus): 28/1 → 33/1
2026-02-26T21:42:04.197Z [ODDS]  Bayern (Vendetta): 1/6 → 1/7, Draw: 4/1 → 9/2
2026-02-26T21:42:05.105Z [ODDS]  Real Madrid (Klaus): 33/1 → 40/1
