2026-02-26T22:38:45.735Z [ODDS]  Banfield: 4/1 → 9/2
2026-02-26T22:39:13.248Z [ODDS]  River Plate: 8/11 → 4/6
2026-02-26T22:39:54.293Z [ODDS]  Banfield: 9/2 → 4/1, River Plate: 4/6 → 8/11
2026-02-26T22:40:23.158Z [ODDS]  Banfield: 4/1 → 9/2, River Plate: 8/11 → 4/6
2026-02-26T22:42:20.419Z [ODDS]  Draw: 5/2 → 12/5
2026-02-26T22:42:48.381Z [ODDS]  Draw: 12/5 → 5/2
2026-02-26T22:43:32.129Z [ODDS]  Banfield: 9/2 → 14/1, Draw: 5/2 → 5/1, River Plate: 4/6 → 1/5
2026-02-26T22:43:32.129Z [EVENT]  score: 1-0
2026-02-26T22:44:33.016Z [ODDS]  River Plate: 1/5 → 2/9
2026-02-26T22:44:51.054Z [ODDS]  Banfield: 14/1 → 12/1
2026-02-26T22:45:19.526Z [ODDS]  Draw: 5/1 → 9/2
2026-02-26T22:45:44.724Z [ODDS]  River Plate: 2/9 → 1/4
2026-02-26T22:46:55.534Z [ODDS]  Banfield: 12/1 → 11/1
2026-02-26T22:49:47.813Z [ODDS]  Banfield: 11/1 → 12/1
2026-02-26T22:50:17.578Z [ODDS]  Banfield: 12/1 → 11/1
2026-02-26T22:51:30.201Z [ODDS]  Banfield: 11/1 → 12/1
2026-02-26T22:55:20.659Z [ODDS]  River Plate: 1/4 → 2/9
2026-02-26T22:55:31.481Z [ODDS]  River Plate: 2/9 → 1/4
2026-02-26T22:56:44.089Z [ODDS]  Banfield: 12/1 → 11/1, Draw: 9/2 → 4/1
2026-02-26T22:56:49.953Z [ODDS]  Banfield: 11/1 → 12/1
2026-02-26T22:57:00.777Z [ODDS]  Draw: 4/1 → 9/2
2026-02-26T22:57:05.286Z [ODDS]  Banfield: 12/1 → 14/1, River Plate: 1/4 → 2/9
2026-02-26T22:57:10.698Z [ODDS]  Banfield: 14/1 → 12/1, River Plate: 2/9 → 1/4
