2026-02-26T22:09:58.509Z [ODDS]  Draw: 9/4 → 11/5
2026-02-26T22:14:01.602Z [ODDS]  Santos: 6/5 → 5/4
2026-02-26T22:14:13.329Z [ODDS]  Vasco da Gama: 12/5 → 5/2, Santos: 5/4 → 11/10
2026-02-26T22:14:18.306Z [ODDS]  Santos: 11/10 → 6/5
2026-02-26T22:14:28.664Z [ODDS]  Vasco da Gama: 5/2 → 13/5, Santos: 6/5 → 11/10
2026-02-26T22:14:36.785Z [ODDS]  Vasco da Gama: 13/5 → 12/5, Santos: 11/10 → 6/5
2026-02-26T22:14:43.546Z [ODDS]  Vasco da Gama: 12/5 → 5/2, Santos: 6/5 → 11/10
2026-02-26T22:14:56.174Z [ODDS]  Vasco da Gama: 5/2 → 12/5, Santos: 11/10 → 6/5
2026-02-26T22:15:42.628Z [ODDS]  Vasco da Gama: 12/5 → 5/2
2026-02-26T22:18:22.295Z [ODDS]  Draw: 11/5 → 21/10
2026-02-26T22:18:34.464Z [ODDS]  Vasco da Gama: 5/2 → 13/5
2026-02-26T22:18:37.619Z [ODDS]  Santos: 6/5 → 11/10
2026-02-26T22:19:49.339Z [ODDS]  Vasco da Gama: 13/5 → 11/4
2026-02-26T22:20:09.174Z [ODDS]  Draw: 21/10 → 11/5, Santos: 11/10 → 21/20
2026-02-26T22:20:19.558Z [ODDS]  Draw: 11/5 → 21/10, Santos: 21/20 → 11/10
2026-02-26T22:20:45.257Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 11/10 → 6/5
2026-02-26T22:20:54.281Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Santos: 6/5 → 11/10
2026-02-26T22:21:09.178Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 11/10 → 6/5
2026-02-26T22:21:15.032Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Santos: 6/5 → 11/10
2026-02-26T22:21:24.955Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 11/10 → 6/5
2026-02-26T22:21:27.232Z [ODDS]  Vasco da Gama: 13/5 → 5/2
2026-02-26T22:21:36.703Z [ODDS]  Vasco da Gama: 5/2 → 13/5
2026-02-26T22:23:01.027Z [ODDS]  Draw: 21/10 → 2/1
2026-02-26T22:24:37.986Z [ODDS]  Vasco da Gama: 13/5 → 5/2
2026-02-26T22:25:05.496Z [ODDS]  Vasco da Gama: 5/2 → 13/5
2026-02-26T22:25:52.405Z [ODDS]  Vasco da Gama: 13/5 → 8/1, Draw: 2/1 → 10/3, Santos: 6/5 → 2/5
2026-02-26T22:25:52.405Z [EVENT]  score: 1-0
2026-02-26T22:25:59.616Z [ODDS]  Vasco da Gama: 8/1 → 15/2
2026-02-26T22:26:51.037Z [ODDS]  Vasco da Gama: 15/2 → 8/1
2026-02-26T22:27:55.080Z [ODDS]  Vasco da Gama: 8/1 → 15/2
2026-02-26T22:27:59.145Z [ODDS]  Vasco da Gama: 15/2 → 8/1
2026-02-26T22:28:00.943Z [ODDS]  Vasco da Gama: 8/1 → 7/1, Santos: 2/5 → 4/9
2026-02-26T22:28:09.065Z [ODDS]  Vasco da Gama: 7/1 → 15/2, Santos: 4/9 → 2/5
2026-02-26T22:29:39.761Z [ODDS]  Vasco da Gama: 15/2 → 7/1, Santos: 2/5 → 4/9
2026-02-26T22:29:50.081Z [ODDS]  Vasco da Gama: 7/1 → 15/2, Santos: 4/9 → 2/5
2026-02-26T22:30:26.611Z [ODDS]  Vasco da Gama: 15/2 → 7/1
2026-02-26T22:30:30.766Z [ODDS]  Vasco da Gama: 7/1 → 15/2
2026-02-26T22:31:13.066Z [ODDS]  Vasco da Gama: 15/2 → 7/1, Santos: 2/5 → 4/9
2026-02-26T22:32:04.032Z [ODDS]  Vasco da Gama: 7/1 → 15/2, Draw: 10/3 → 3/1
2026-02-26T22:33:17.997Z [ODDS]  Vasco da Gama: 15/2 → 7/1, Draw: 3/1 → 10/3
2026-02-26T22:33:58.763Z [ODDS]  Vasco da Gama: 7/1 → 13/2, Draw: 10/3 → 3/1
2026-02-26T22:34:19.511Z [ODDS]  Vasco da Gama: 13/2 → 7/1, Draw: 3/1 → 10/3
2026-02-26T22:34:26.761Z [ODDS]  Vasco da Gama: 7/1 → 15/2, Santos: 4/9 → 2/5
2026-02-26T22:35:49.259Z [ODDS]  Santos: 2/5 → 4/9
2026-02-26T22:36:00.985Z [ODDS]  Vasco da Gama: 15/2 → 7/1, Draw: 10/3 → 3/1
2026-02-26T22:41:33.965Z [ODDS]  Vasco da Gama: 7/1 → 13/2, Santos: 4/9 → 1/2
2026-02-26T22:41:39.828Z [ODDS]  Vasco da Gama: 13/2 → 6/1
2026-02-26T22:41:48.397Z [ODDS]  Vasco da Gama: 6/1 → 13/2
2026-02-26T22:42:20.871Z [ODDS]  Vasco da Gama: 13/2 → 7/1, Santos: 1/2 → 4/9
2026-02-26T22:42:28.988Z [ODDS]  Vasco da Gama: 7/1 → 13/2
2026-02-26T22:42:58.755Z [ODDS]  Vasco da Gama: 13/2 → 7/1
2026-02-26T22:43:26.717Z [ODDS]  Vasco da Gama: 7/1 → 13/2
2026-02-26T22:43:32.129Z [ODDS]  Vasco da Gama: 13/2 → 2/1, Draw: 3/1 → 7/4, Santos: 4/9 → 7/4
2026-02-26T22:43:32.129Z [EVENT]  score: 1-1
2026-02-26T22:43:39.345Z [ODDS]  Vasco da Gama: 2/1 → 21/10, Draw: 7/4 → 13/8
2026-02-26T22:44:08.209Z [ODDS]  Vasco da Gama: 21/10 → 11/5, Santos: 7/4 → 13/8
2026-02-26T22:44:10.464Z [ODDS]  Vasco da Gama: 11/5 → 2/1, Santos: 13/8 → 7/4
2026-02-26T22:44:44.291Z [ODDS]  Santos: 7/4 → 15/8
2026-02-26T22:44:48.799Z [ODDS]  Vasco da Gama: 2/1 → 21/10, Santos: 15/8 → 7/4
2026-02-26T22:45:22.174Z [ODDS]  Vasco da Gama: 21/10 → 9/4, Santos: 7/4 → 13/8
2026-02-26T22:46:00.058Z [ODDS]  Vasco da Gama: 9/4 → 11/5
2026-02-26T22:46:35.686Z [ODDS]  Vasco da Gama: 11/5 → 9/4
