2026-02-26T22:08:26.507Z [ODDS]  Draw: 23/10 → 12/5
2026-02-26T22:08:35.075Z [ODDS]  Draw: 12/5 → 9/4
2026-02-26T22:08:37.778Z [ODDS]  Spain (REALIST): 6/5 → 5/4
2026-02-26T22:08:44.994Z [ODDS]  Portugal (FAITH): 7/4 → 15/8
2026-02-26T22:08:53.569Z [ODDS]  Portugal (FAITH): 15/8 → 8/13, Draw: 9/4 → 3/1, Spain (REALIST): 5/4 → 10/3
2026-02-26T22:08:53.569Z [EVENT]  score: 0-1
2026-02-26T22:09:30.095Z [ODDS]  Portugal (FAITH): 8/13 → 7/4, Draw: 3/1 → 12/5, Spain (REALIST): 10/3 → 6/5
2026-02-26T22:09:30.095Z [EVENT]  score: 1-1
2026-02-26T22:09:43.172Z [ODDS]  Draw: 12/5 → 9/4
2026-02-26T22:09:47.684Z [ODDS]  Portugal (FAITH): 7/4 → 15/8
2026-02-26T22:09:57.155Z [ODDS]  Spain (REALIST): 6/5 → 5/4
2026-02-26T22:10:01.668Z [ODDS]  Spain (REALIST): 5/4 → 6/5
2026-02-26T22:10:06.177Z [ODDS]  Spain (REALIST): 6/5 → 5/4
2026-02-26T22:10:12.042Z [ODDS]  Draw: 9/4 → 11/5
2026-02-26T22:10:24.674Z [ODDS]  Draw: 11/5 → 21/10
2026-02-26T22:10:34.594Z [ODDS]  Spain (REALIST): 5/4 → 13/10
2026-02-26T22:10:42.711Z [ODDS]  Draw: 21/10 → 2/1
2026-02-26T22:11:12.026Z [ODDS]  Portugal (FAITH): 15/8 → 2/1, Draw: 2/1 → 15/8, Spain (REALIST): 13/10 → 11/8
2026-02-26T22:11:29.625Z [ODDS]  Draw: 15/8 → 7/4
2026-02-26T22:11:30.969Z [ODDS]  Spain (REALIST): 11/8 → 7/5
2026-02-26T22:11:46.753Z [ODDS]  Portugal (FAITH): 2/1 → 21/10
2026-02-26T22:11:53.520Z [ODDS]  Draw: 7/4 → 13/8
2026-02-26T22:12:00.293Z [ODDS]  Spain (REALIST): 7/5 → 6/4
2026-02-26T22:12:02.989Z [ODDS]  Draw: 13/8 → 8/5
2026-02-26T22:12:14.273Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T22:12:21.479Z [ODDS]  Portugal (FAITH): 21/10 → 11/5
2026-02-26T22:12:27.342Z [ODDS]  Spain (REALIST): 6/4 → 8/5
2026-02-26T22:12:33.207Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T22:12:39.521Z [ODDS]  Portugal (FAITH): 11/5 → 9/4
2026-02-26T22:12:44.480Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T22:13:07.034Z [ODDS]  Draw: 11/8 → 13/10, Spain (REALIST): 8/5 → 13/8
2026-02-26T22:13:18.307Z [ODDS]  Portugal (FAITH): 9/4 → 12/5, Draw: 13/10 → 5/4, Spain (REALIST): 13/8 → 7/4
2026-02-26T22:13:32.287Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T22:13:35.445Z [ODDS]  Portugal (FAITH): 12/5 → 5/2
2026-02-26T22:13:38.153Z [ODDS]  Portugal (FAITH): 5/2 → 4/11, Draw: 6/5 → 13/5, Spain (REALIST): 7/4 → 15/2
2026-02-26T22:13:38.153Z [EVENT]  score: 1-2
2026-02-26T22:13:44.924Z [ODDS]  Spain (REALIST): 15/2 → 8/1
2026-02-26T22:14:04.312Z [ODDS]  Portugal (FAITH): 4/11 → 1/3, Spain (REALIST): 8/1 → 17/2
2026-02-26T22:14:13.791Z [ODDS]  Draw: 13/5 → 11/4, Spain (REALIST): 17/2 → 9/1
2026-02-26T22:14:23.715Z [ODDS]  Portugal (FAITH): 1/3 → 3/10
2026-02-26T22:14:36.336Z [ODDS]  Spain (REALIST): 9/1 → 10/1
2026-02-26T22:14:40.840Z [ODDS]  Portugal (FAITH): 3/10 → 2/7
2026-02-26T22:14:48.958Z [ODDS]  Draw: 11/4 → 3/1, Spain (REALIST): 10/1 → 11/1
2026-02-26T22:14:54.821Z [ODDS]  Portugal (FAITH): 2/7 → 1/4
2026-02-26T22:15:04.743Z [ODDS]  Spain (REALIST): 11/1 → 12/1
2026-02-26T22:15:08.351Z [ODDS]  Portugal (FAITH): 1/4 → 2/9
2026-02-26T22:15:13.312Z [ODDS]  Spain (REALIST): 12/1 → 14/1
2026-02-26T22:15:16.020Z [ODDS]  Portugal (FAITH): 2/9 → 15/4, Draw: 3/1 → 4/7, Spain (REALIST): 14/1 → 3/1
2026-02-26T22:15:16.020Z [EVENT]  score: 2-2
2026-02-26T22:15:23.234Z [ODDS]  Draw: 4/7 → 8/15
2026-02-26T22:15:42.176Z [ODDS]  Portugal (FAITH): 15/4 → 4/1
2026-02-26T22:15:47.138Z [ODDS]  Draw: 8/15 → 1/2
2026-02-26T22:15:53.903Z [ODDS]  Draw: 1/2 → 4/9, Spain (REALIST): 3/1 → 10/3
2026-02-26T22:15:57.972Z [ODDS]  Portugal (FAITH): 4/1 → 9/2
2026-02-26T22:16:05.177Z [ODDS]  Draw: 4/9 → 2/5, Spain (REALIST): 10/3 → 15/4
2026-02-26T22:16:11.951Z [ODDS]  Portugal (FAITH): 9/2 → 5/1, Draw: 2/5 → 4/11, Spain (REALIST): 15/4 → 4/1
2026-02-26T22:16:16.903Z [ODDS]  Draw: 4/11 → 1/3
2026-02-26T22:16:17.805Z [ODDS]  Portugal (FAITH): 5/1 → 11/2, Draw: 1/3 → 3/10, Spain (REALIST): 4/1 → 9/2
2026-02-26T22:16:41.744Z [EVENT]  score: 3-2
