2026-02-26T23:08:38.376Z [ODDS]  Draw: 15/4 → 7/2
2026-02-26T23:08:48.751Z [ODDS]  Sporting (hotShot): 15/4 → 4/1
2026-02-26T23:08:59.123Z [ODDS]  FC Porto (GianniKid): 4/9 → 1/7, Draw: 7/2 → 6/1, Sporting (hotShot): 4/1 → 8/1
2026-02-26T23:08:59.123Z [EVENT]  score: 0-2
2026-02-26T23:09:20.321Z [ODDS]  FC Porto (GianniKid): 1/7 → 4/9, Draw: 6/1 → 7/2, Sporting (hotShot): 8/1 → 4/1
2026-02-26T23:09:20.321Z [EVENT]  score: 1-2
2026-02-26T23:09:51.438Z [ODDS]  Draw: 7/2 → 10/3, Sporting (hotShot): 4/1 → 9/2
2026-02-26T23:10:34.735Z [ODDS]  Sporting (hotShot): 9/2 → 5/1
2026-02-26T23:10:51.427Z [ODDS]  FC Porto (GianniKid): 4/9 → 5/4, Draw: 10/3 → 11/5, Sporting (hotShot): 5/1 → 15/8
2026-02-26T23:10:51.427Z [EVENT]  score: 2-2
2026-02-26T23:11:25.703Z [ODDS]  FC Porto (GianniKid): 5/4 → 13/10, Draw: 11/5 → 21/10
2026-02-26T23:11:45.998Z [ODDS]  Draw: 21/10 → 2/1
2026-02-26T23:11:56.372Z [ODDS]  FC Porto (GianniKid): 13/10 → 11/8
2026-02-26T23:12:01.785Z [ODDS]  Draw: 2/1 → 15/8
2026-02-26T23:12:12.159Z [ODDS]  FC Porto (GianniKid): 11/8 → 7/5, Sporting (hotShot): 15/8 → 2/1
2026-02-26T23:12:22.530Z [ODDS]  Draw: 15/8 → 7/4
2026-02-26T23:12:32.903Z [ODDS]  FC Porto (GianniKid): 7/5 → 6/4, Draw: 7/4 → 13/8
2026-02-26T23:12:42.825Z [ODDS]  Draw: 13/8 → 8/5, Sporting (hotShot): 2/1 → 21/10
2026-02-26T23:12:53.200Z [ODDS]  FC Porto (GianniKid): 6/4 → 8/5, Draw: 8/5 → 6/4
2026-02-26T23:13:03.572Z [ODDS]  FC Porto (GianniKid): 8/5 → 13/8, Draw: 6/4 → 11/8, Sporting (hotShot): 21/10 → 11/5
2026-02-26T23:13:11.691Z [ODDS]  FC Porto (GianniKid): 13/8 → 7/4, Draw: 11/8 → 13/10, Sporting (hotShot): 11/5 → 9/4
2026-02-26T23:13:22.064Z [ODDS]  Draw: 13/10 → 5/4
2026-02-26T23:13:31.989Z [ODDS]  FC Porto (GianniKid): 7/4 → 15/8, Draw: 5/4 → 11/10, Sporting (hotShot): 9/4 → 12/5
2026-02-26T23:13:39.201Z [ODDS]  Sporting (hotShot): 12/5 → 5/2
2026-02-26T23:13:41.005Z [ODDS]  FC Porto (GianniKid): 15/8 → 8/1, Draw: 11/10 → 5/2, Sporting (hotShot): 5/2 → 4/11
2026-02-26T23:13:41.006Z [EVENT]  score: 3-2
2026-02-26T23:13:51.379Z [ODDS]  FC Porto (GianniKid): 8/1 → 17/2, Draw: 5/2 → 12/5
2026-02-26T23:14:01.752Z [ODDS]  FC Porto (GianniKid): 17/2 → 9/1, Draw: 12/5 → 5/2
2026-02-26T23:14:07.163Z [ODDS]  FC Porto (GianniKid): 9/1 → 10/1, Sporting (hotShot): 4/11 → 1/3
2026-02-26T23:14:08.968Z [ODDS]  FC Porto (GianniKid): 10/1 → 22/1, Draw: 5/2 → 12/1, Sporting (hotShot): 1/3 → 1/28
2026-02-26T23:14:08.968Z [EVENT]  score: 4-2
2026-02-26T23:14:19.342Z [ODDS]  FC Porto (GianniKid): 22/1 → 25/1, Draw: 12/1 → 14/1, Sporting (hotShot): 1/28 → 1/33
2026-02-26T23:14:32.871Z [ODDS]  FC Porto (GianniKid): 25/1 → 28/1, Draw: 14/1 → 16/1, Sporting (hotShot): 1/33 → 1/40
2026-02-26T23:14:43.244Z [ODDS]  FC Porto (GianniKid): 28/1 → 33/1, Draw: 16/1 → 20/1, Sporting (hotShot): 1/40 → 1/66
2026-02-26T23:14:44.597Z [ODDS]  Draw: 20/1 → 18/1, Sporting (hotShot): 1/66 → 1/50
2026-02-26T23:15:11.206Z [EVENT]  score: 4-3
