2026-02-26T23:08:22.141Z [ODDS]  Draw: 7/2 → 10/3
2026-02-26T23:08:32.513Z [ODDS]  Mexico (Andrew): 2/5 → 4/11, USA (Kostolom89): 5/1 → 11/2
2026-02-26T23:08:45.142Z [ODDS]  Mexico (Andrew): 4/11 → 1/10, Draw: 10/3 → 13/2, USA (Kostolom89): 11/2 → 11/1
2026-02-26T23:08:45.143Z [EVENT]  score: 1-3
2026-02-26T23:08:55.515Z [ODDS]  Mexico (Andrew): 1/10 → 1/11
2026-02-26T23:09:05.887Z [ODDS]  Mexico (Andrew): 1/11 → 1/12, Draw: 13/2 → 7/1, USA (Kostolom89): 11/1 → 12/1
2026-02-26T23:09:31.610Z [ODDS]  USA (Kostolom89): 12/1 → 14/1
2026-02-26T23:09:41.517Z [ODDS]  Mexico (Andrew): 1/12 → 1/14, Draw: 7/1 → 8/1
2026-02-26T23:09:43.772Z [ODDS]  Mexico (Andrew): 1/14 → 1/3, Draw: 8/1 → 3/1, USA (Kostolom89): 14/1 → 15/2
2026-02-26T23:09:43.772Z [EVENT]  score: 2-3
2026-02-26T23:09:54.145Z [ODDS]  Mexico (Andrew): 1/3 → 3/10, USA (Kostolom89): 15/2 → 8/1
2026-02-26T23:10:04.519Z [ODDS]  USA (Kostolom89): 8/1 → 17/2
2026-02-26T23:10:14.440Z [ODDS]  Mexico (Andrew): 3/10 → 1/4, USA (Kostolom89): 17/2 → 10/1
2026-02-26T23:10:42.858Z [EVENT]  score: 3-3
