2026-02-27T00:08:40.135Z [ODDS]  Draw: 16/5 → 10/3
2026-02-27T00:08:50.509Z [ODDS]  Draw: 10/3 → 3/1
2026-02-27T00:09:00.429Z [ODDS]  Boca Juniors (Kostolom89): 8/5 → 13/8
2026-02-27T00:09:10.803Z [ODDS]  Real Madrid (fantazer): 21/20 → 11/10
2026-02-27T00:09:58.157Z [ODDS]  Draw: 3/1 → 11/4
2026-02-27T00:10:08.532Z [ODDS]  Real Madrid (fantazer): 11/10 → 6/5
2026-02-27T00:10:21.160Z [ODDS]  Real Madrid (fantazer): 6/5 → 1/2, Draw: 11/4 → 10/3, Boca Juniors (Kostolom89): 13/8 → 15/4
2026-02-27T00:10:21.160Z [EVENT]  score: 0-1
2026-02-27T00:10:41.908Z [ODDS]  Boca Juniors (Kostolom89): 15/4 → 4/1
2026-02-27T00:10:50.025Z [ODDS]  Real Madrid (fantazer): 1/2 → 6/5, Draw: 10/3 → 5/2, Boca Juniors (Kostolom89): 4/1 → 13/8
2026-02-27T00:10:50.025Z [EVENT]  score: 1-1
2026-02-27T00:10:59.946Z [ODDS]  Real Madrid (fantazer): 6/5 → 5/4
2026-02-27T00:11:10.320Z [ODDS]  Draw: 5/2 → 12/5, Boca Juniors (Kostolom89): 13/8 → 7/4
2026-02-27T00:11:17.986Z [ODDS]  Real Madrid (fantazer): 5/4 → 3/1, Draw: 12/5 → 11/4, Boca Juniors (Kostolom89): 7/4 → 8/11
2026-02-27T00:11:17.986Z [EVENT]  score: 2-1
2026-02-27T00:11:28.359Z [ODDS]  Boca Juniors (Kostolom89): 8/11 → 4/6
2026-02-27T00:11:38.281Z [ODDS]  Real Madrid (fantazer): 3/1 → 10/3
2026-02-27T00:11:48.657Z [ODDS]  Draw: 11/4 → 13/5
2026-02-27T00:12:10.754Z [ODDS]  Real Madrid (fantazer): 10/3 → 7/2, Boca Juniors (Kostolom89): 4/6 → 8/13
2026-02-27T00:12:21.128Z [ODDS]  Real Madrid (fantazer): 7/2 → 15/4
2026-02-27T00:12:31.532Z [ODDS]  Real Madrid (fantazer): 15/4 → 4/1, Boca Juniors (Kostolom89): 8/13 → 4/7
2026-02-27T00:12:41.422Z [ODDS]  Draw: 13/5 → 5/2
2026-02-27T00:12:51.807Z [ODDS]  Real Madrid (fantazer): 4/1 → 9/2, Boca Juniors (Kostolom89): 4/7 → 8/15
2026-02-27T00:13:02.169Z [ODDS]  Real Madrid (fantazer): 9/2 → 5/1
2026-02-27T00:13:12.090Z [ODDS]  Real Madrid (fantazer): 5/1 → 11/2, Boca Juniors (Kostolom89): 8/15 → 1/2
2026-02-27T00:13:21.112Z [ODDS]  Real Madrid (fantazer): 11/2 → 6/1, Real Madrid (fantazer): 6/1 → 12/1, Draw: 5/2 → 6/1, Boca Juniors (Kostolom89): 1/2 → 1/10
2026-02-27T00:13:21.112Z [EVENT]  score: 3-1
2026-02-27T00:13:21.112Z [ODDS]  Real Madrid (fantazer): 12/1 → 6/1, Real Madrid (fantazer): 6/1 → 12/1
2026-02-27T00:13:31.483Z [ODDS]  Real Madrid (fantazer): 12/1 → 14/1
2026-02-27T00:13:41.856Z [ODDS]  Draw: 6/1 → 7/1, Boca Juniors (Kostolom89): 1/10 → 1/12
2026-02-27T00:13:44.111Z [ODDS]  Real Madrid (fantazer): 14/1 → 7/1, Draw: 7/1 → 5/2, Boca Juniors (Kostolom89): 1/12 → 4/9
2026-02-27T00:13:44.111Z [EVENT]  score: 3-2
2026-02-27T00:13:54.484Z [ODDS]  Boca Juniors (Kostolom89): 4/9 → 2/5
2026-02-27T00:14:04.858Z [ODDS]  Real Madrid (fantazer): 7/1 → 8/1, Boca Juniors (Kostolom89): 2/5 → 4/11
2026-02-27T00:14:14.780Z [ODDS]  Real Madrid (fantazer): 8/1 → 9/1, Draw: 5/2 → 13/5, Boca Juniors (Kostolom89): 4/11 → 1/3
2026-02-27T00:14:26.965Z [EVENT]  score: 4-2
2026-02-27T00:15:12.059Z [EVENT]  score: 4-3
2026-02-27T00:15:25.589Z [EVENT]  score: 5-3
2026-02-27T00:15:47.237Z [EVENT]  score: 5-4
