2026-02-27T00:39:40.130Z [ODDS]  Draw: 11/4 → 13/5
2026-02-27T00:39:45.541Z [ODDS]  Deportes Tolima: 8/13 → 4/6
2026-02-27T00:40:08.595Z [ODDS]  Deportes Tolima: 4/6 → 8/13
2026-02-27T00:41:03.570Z [ODDS]  Deportes Tolima: 8/13 → 4/6
2026-02-27T00:41:22.511Z [ODDS]  Draw: 13/5 → 5/2
2026-02-27T00:41:44.611Z [ODDS]  Deportivo Tachira: 9/2 → 4/1
2026-02-27T00:42:00.848Z [ODDS]  Deportivo Tachira: 4/1 → 9/2
2026-02-27T00:43:50.894Z [ODDS]  Deportivo Tachira: 9/2 → 4/1, Draw: 5/2 → 12/5, Deportes Tolima: 4/6 → 8/11
2026-02-27T00:44:00.022Z [ODDS]  Deportivo Tachira: 4/1 → 9/2, Deportes Tolima: 8/11 → 4/6
2026-02-27T00:44:06.268Z [ODDS]  Deportivo Tachira: 9/2 → 4/1, Deportes Tolima: 4/6 → 8/11
2026-02-27T00:44:10.364Z [ODDS]  Draw: 12/5 → 5/2, Deportes Tolima: 8/11 → 4/6
2026-02-27T00:44:42.312Z [ODDS]  Draw: 5/2 → 13/5
2026-02-27T00:45:03.613Z [ODDS]  Draw: 13/5 → 5/2
2026-02-27T00:45:08.018Z [ODDS]  Draw: 5/2 → 13/5
2026-02-27T00:46:18.374Z [ODDS]  Draw: 13/5 → 5/2
2026-02-27T00:46:25.140Z [ODDS]  Draw: 5/2 → 13/5
2026-02-27T00:46:35.062Z [ODDS]  Draw: 13/5 → 5/2, Deportes Tolima: 4/6 → 8/11
2026-02-27T00:47:35.949Z [ODDS]  Deportivo Tachira: 4/1 → 15/4
2026-02-27T00:48:47.205Z [ODDS]  Draw: 5/2 → 12/5
2026-02-27T00:49:33.209Z [ODDS]  Deportivo Tachira: 15/4 → 4/1
2026-02-27T00:49:57.111Z [ODDS]  Deportivo Tachira: 4/1 → 15/4
2026-02-27T00:50:00.719Z [ODDS]  Deportivo Tachira: 15/4 → 7/2, Deportes Tolima: 8/11 → 4/5
2026-02-27T00:50:26.075Z [ODDS]  Draw: 12/5 → 9/4
2026-02-27T00:50:39.957Z [ODDS]  Deportivo Tachira: 7/2 → 15/4
2026-02-27T00:50:57.549Z [ODDS]  Deportivo Tachira: 15/4 → 7/2
2026-02-27T00:51:06.217Z [ODDS]  Deportivo Tachira: 7/2 → 15/4
