2026-02-27T01:38:31.157Z [ODDS]  Draw: 11/8 → 13/10
2026-02-27T01:38:35.214Z [ODDS]  Man City (Lucas): 7/4 → 15/8
2026-02-27T01:38:37.017Z [ODDS]  Chelsea (Jack): 21/10 → 11/5
2026-02-27T01:38:39.275Z [ODDS]  Draw: 13/10 → 5/4
2026-02-27T01:38:57.318Z [ODDS]  Draw: 5/4 → 6/5
2026-02-27T01:39:04.533Z [ODDS]  Chelsea (Jack): 11/5 → 9/4
2026-02-27T01:39:12.650Z [ODDS]  Man City (Lucas): 15/8 → 2/1
2026-02-27T01:39:19.866Z [ODDS]  Draw: 6/5 → 11/10
2026-02-27T01:39:33.849Z [ODDS]  Chelsea (Jack): 9/4 → 12/5, Draw: 11/10 → 21/20
2026-02-27T01:39:39.262Z [ODDS]  Man City (Lucas): 2/1 → 21/10
2026-02-27T01:39:50.537Z [ODDS]  Chelsea (Jack): 12/5 → 5/2, Draw: 21/20 → 1/1
2026-02-27T01:39:57.753Z [ODDS]  Draw: 1/1 → 20/21, Man City (Lucas): 21/10 → 11/5
2026-02-27T01:40:06.322Z [ODDS]  Chelsea (Jack): 5/2 → 13/5, Draw: 20/21 → 10/11, Man City (Lucas): 11/5 → 9/4
2026-02-27T01:40:18.949Z [ODDS]  Draw: 10/11 → 5/6, Man City (Lucas): 9/4 → 12/5
2026-02-27T01:40:20.754Z [ODDS]  Chelsea (Jack): 13/5 → 11/4
2026-02-27T01:40:31.127Z [ODDS]  Draw: 5/6 → 4/5
2026-02-27T01:40:34.283Z [ODDS]  Man City (Lucas): 12/5 → 5/2
2026-02-27T01:40:41.950Z [ODDS]  Draw: 4/5 → 8/11
2026-02-27T01:40:44.215Z [ODDS]  Chelsea (Jack): 11/4 → 3/1
2026-02-27T01:40:45.108Z [ODDS]  Man City (Lucas): 5/2 → 13/5
2026-02-27T01:40:57.286Z [ODDS]  Draw: 8/11 → 4/6, Man City (Lucas): 13/5 → 11/4
2026-02-27T01:41:07.209Z [ODDS]  Chelsea (Jack): 3/1 → 10/3
2026-02-27T01:41:09.464Z [ODDS]  Draw: 4/6 → 8/13
2026-02-27T01:41:13.073Z [ODDS]  Man City (Lucas): 11/4 → 3/1
2026-02-27T01:41:20.293Z [ODDS]  Draw: 8/13 → 4/7
2026-02-27T01:41:23.451Z [ODDS]  Chelsea (Jack): 10/3 → 7/2
2026-02-27T01:41:27.511Z [ODDS]  Draw: 4/7 → 8/15
2026-02-27T01:41:29.315Z [ODDS]  Man City (Lucas): 3/1 → 10/3
2026-02-27T01:41:40.138Z [ODDS]  Chelsea (Jack): 7/2 → 15/4, Draw: 8/15 → 1/2
2026-02-27T01:41:46.001Z [ODDS]  Chelsea (Jack): 15/4 → 4/1, Draw: 1/2 → 4/9, Man City (Lucas): 10/3 → 7/2
2026-02-27T01:41:50.963Z [ODDS]  Man City (Lucas): 7/2 → 15/4
2026-02-27T01:42:06.748Z [ODDS]  Draw: 4/9 → 2/5
2026-02-27T01:42:11.257Z [ODDS]  Chelsea (Jack): 4/1 → 9/2
2026-02-27T01:42:12.159Z [ODDS]  Man City (Lucas): 15/4 → 4/1
2026-02-27T01:42:21.180Z [ODDS]  Draw: 2/5 → 4/11
2026-02-27T01:42:24.337Z [ODDS]  Chelsea (Jack): 9/2 → 5/1, Draw: 4/11 → 1/3, Man City (Lucas): 4/1 → 9/2
2026-02-27T01:42:29.748Z [ODDS]  Draw: 1/3 → 3/10
2026-02-27T01:42:31.101Z [ODDS]  Chelsea (Jack): 5/1 → 40/1, Draw: 3/10 → 8/1, Man City (Lucas): 9/2 → 1/14
2026-02-27T01:42:31.101Z [EVENT]  score: 2-1
2026-02-27T01:42:35.612Z [ODDS]  Chelsea (Jack): 40/1 → 50/1
2026-02-27T01:42:36.513Z [ODDS]  Chelsea (Jack): 50/1 → 40/1
