2026-02-27T00:38:27.969Z [ODDS]  Millonarios: 1/11 → 1/10
2026-02-27T00:38:32.041Z [ODDS]  Millonarios: 1/10 → 1/11
2026-02-27T00:38:46.979Z [ODDS]  Deportivo Pereira: 22/1 → 25/1, Draw: 15/2 → 8/1, Millonarios: 1/11 → 1/12
2026-02-27T00:39:27.501Z [ODDS]  Deportivo Pereira: 25/1 → 22/1, Millonarios: 1/12 → 1/11
2026-02-27T00:39:35.620Z [ODDS]  Deportivo Pereira: 22/1 → 25/1
2026-02-27T00:39:53.209Z [ODDS]  Millonarios: 1/11 → 1/12
2026-02-27T00:41:49.121Z [ODDS]  Deportivo Pereira: 25/1 → 22/1, Draw: 8/1 → 15/2, Millonarios: 1/12 → 1/10
2026-02-27T00:41:55.454Z [ODDS]  Deportivo Pereira: 22/1 → 25/1, Draw: 15/2 → 8/1, Millonarios: 1/10 → 1/12
2026-02-27T00:43:45.074Z [ODDS]  Deportivo Pereira: 25/1 → 28/1, Draw: 8/1 → 17/2, Millonarios: 1/12 → 1/14
2026-02-27T00:48:10.224Z [ODDS]  Deportivo Pereira: 28/1 → 25/1, Draw: 17/2 → 8/1, Millonarios: 1/14 → 1/12
2026-02-27T00:48:16.537Z [ODDS]  Deportivo Pereira: 25/1 → 28/1, Millonarios: 1/12 → 1/14
2026-02-27T00:48:21.048Z [ODDS]  Draw: 8/1 → 17/2
2026-02-27T00:48:30.519Z [ODDS]  Deportivo Pereira: 28/1 → 25/1, Draw: 17/2 → 8/1, Millonarios: 1/14 → 1/12
2026-02-27T00:48:33.224Z [ODDS]  Deportivo Pereira: 25/1 → 28/1, Draw: 8/1 → 17/2, Millonarios: 1/12 → 1/14
2026-02-27T00:48:46.754Z [ODDS]  Draw: 17/2 → 8/1, Millonarios: 1/14 → 1/12
2026-02-27T00:48:58.032Z [ODDS]  Millonarios: 1/12 → 1/14
2026-02-27T00:49:02.990Z [ODDS]  Millonarios: 1/14 → 1/12
2026-02-27T00:49:11.124Z [ODDS]  Millonarios: 1/12 → 1/14
2026-02-27T00:49:17.424Z [ODDS]  Draw: 8/1 → 17/2
2026-02-27T00:49:54.856Z [ODDS]  Deportivo Pereira: 28/1 → 33/1, Draw: 17/2 → 9/1, Millonarios: 1/14 → 1/16
2026-02-27T00:50:05.231Z [ODDS]  Deportivo Pereira: 33/1 → 28/1, Draw: 9/1 → 17/2, Millonarios: 1/16 → 1/14
2026-02-27T00:50:21.016Z [ODDS]  Deportivo Pereira: 28/1 → 33/1, Draw: 17/2 → 9/1, Millonarios: 1/14 → 1/16
2026-02-27T00:50:45.369Z [ODDS]  Millonarios: 1/16 → 1/14
2026-02-27T00:50:51.266Z [ODDS]  Millonarios: 1/14 → 1/16
2026-02-27T00:51:37.695Z [ODDS]  Deportivo Pereira: 33/1 → 28/1, Draw: 9/1 → 17/2, Millonarios: 1/16 → 1/14
2026-02-27T00:51:44.451Z [ODDS]  Draw: 17/2 → 9/1
2026-02-27T00:51:51.273Z [ODDS]  Draw: 9/1 → 17/2
2026-02-27T00:51:57.531Z [ODDS]  Deportivo Pereira: 28/1 → 33/1, Draw: 17/2 → 9/1, Millonarios: 1/14 → 1/16
2026-02-27T00:53:04.734Z [ODDS]  Draw: 9/1 → 10/1
2026-02-27T00:53:12.399Z [ODDS]  Draw: 10/1 → 9/1
2026-02-27T00:55:06.957Z [ODDS]  Draw: 9/1 → 17/2, Millonarios: 1/16 → 1/14
2026-02-27T00:55:25.449Z [ODDS]  Draw: 17/2 → 9/1, Millonarios: 1/14 → 1/16
2026-02-27T00:55:35.370Z [ODDS]  Draw: 9/1 → 10/1, Millonarios: 1/16 → 1/18
2026-02-27T00:56:03.332Z [ODDS]  Deportivo Pereira: 33/1 → 40/1
2026-02-27T00:56:56.106Z [ODDS]  Deportivo Pereira: 40/1 → 33/1
