2026-02-27T02:38:36.093Z [ODDS]  Draw: 4/1 → 9/2
2026-02-27T02:38:44.662Z [ODDS]  Liverpool (Kodak): 1/3 → 3/10, PSG (Kray): 5/1 → 11/2
2026-02-27T02:39:05.408Z [ODDS]  Liverpool (Kodak): 3/10 → 2/7, PSG (Kray): 11/2 → 6/1
2026-02-27T02:39:36.078Z [ODDS]  Liverpool (Kodak): 2/7 → 1/4, PSG (Kray): 6/1 → 13/2
2026-02-27T02:40:09.451Z [ODDS]  Liverpool (Kodak): 1/4 → 2/9, PSG (Kray): 13/2 → 7/1
2026-02-27T02:40:30.197Z [ODDS]  PSG (Kray): 7/1 → 15/2
2026-02-27T02:40:40.570Z [ODDS]  Liverpool (Kodak): 2/9 → 1/5, Draw: 9/2 → 5/1
2026-02-27T02:40:46.433Z [ODDS]  Liverpool (Kodak): 1/5 → 2/9, Draw: 5/1 → 9/2, Liverpool (Kodak): 2/9 → 1/5, Draw: 9/2 → 5/1
2026-02-27T02:40:46.434Z [ODDS]  Liverpool (Kodak): 1/5 → 2/9, Draw: 5/1 → 9/2, Liverpool (Kodak): 2/9 → 1/5, Draw: 9/2 → 5/1
2026-02-27T02:41:09.436Z [ODDS]  PSG (Kray): 15/2 → 8/1
2026-02-27T02:41:28.379Z [ODDS]  Liverpool (Kodak): 1/5 → 2/11, PSG (Kray): 8/1 → 17/2
2026-02-27T02:41:38.753Z [ODDS]  Liverpool (Kodak): 2/11 → 1/6
2026-02-27T02:41:49.124Z [ODDS]  PSG (Kray): 17/2 → 9/1
2026-02-27T02:42:00.399Z [ODDS]  Liverpool (Kodak): 1/6 → 1/7, PSG (Kray): 9/1 → 10/1
2026-02-27T02:42:10.773Z [ODDS]  Draw: 5/1 → 11/2
2026-02-27T02:42:20.694Z [ODDS]  Liverpool (Kodak): 1/7 → 1/8, PSG (Kray): 10/1 → 11/1
2026-02-27T02:42:31.067Z [ODDS]  Liverpool (Kodak): 1/8 → 1/9, Draw: 11/2 → 6/1, PSG (Kray): 11/1 → 12/1
2026-02-27T02:42:41.440Z [ODDS]  Liverpool (Kodak): 1/9 → 1/10
2026-02-27T02:43:01.735Z [ODDS]  PSG (Kray): 12/1 → 14/1
2026-02-27T02:43:11.657Z [ODDS]  Liverpool (Kodak): 1/10 → 1/12, Draw: 6/1 → 7/1, PSG (Kray): 14/1 → 16/1
2026-02-27T02:43:31.791Z [ODDS]  Liverpool (Kodak): 1/12 → 1/14, Draw: 7/1 → 8/1, PSG (Kray): 16/1 → 18/1
2026-02-27T02:43:50.445Z [ODDS]  Liverpool (Kodak): 1/14 → 1/16, Draw: 8/1 → 9/1, PSG (Kray): 18/1 → 22/1
2026-02-27T02:44:00.818Z [ODDS]  Liverpool (Kodak): 1/16 → 1/20, Draw: 9/1 → 10/1, PSG (Kray): 22/1 → 25/1
2026-02-27T02:44:11.191Z [ODDS]  Liverpool (Kodak): 1/20 → 1/25, Draw: 10/1 → 12/1, PSG (Kray): 25/1 → 28/1
2026-02-27T02:44:21.113Z [ODDS]  Liverpool (Kodak): 1/25 → 1/33, Draw: 12/1 → 14/1
2026-02-27T02:44:24.720Z [ODDS]  Liverpool (Kodak): 1/33 → 2/9, Draw: 14/1 → 3/1, PSG (Kray): 28/1 → 16/1
2026-02-27T02:44:24.720Z [EVENT]  score: 1-2
2026-02-27T02:44:35.094Z [ODDS]  PSG (Kray): 16/1 → 20/1
