2026-02-27T00:09:33.352Z [ODDS]  Serra: 6/5 → 5/4
2026-02-27T00:10:01.767Z [ODDS]  Draw: 6/4 → 7/5
2026-02-27T00:10:39.651Z [ODDS]  Real Noroeste: 10/3 → 7/2, Serra: 5/4 → 6/5
2026-02-27T00:10:40.553Z [ODDS]  Real Noroeste: 7/2 → 10/3, Serra: 6/5 → 5/4
2026-02-27T00:11:36.477Z [ODDS]  Draw: 7/5 → 11/8
2026-02-27T00:11:45.948Z [ODDS]  Draw: 11/8 → 7/5, Serra: 5/4 → 13/10
2026-02-27T00:11:48.203Z [ODDS]  Draw: 7/5 → 11/8, Serra: 13/10 → 5/4
2026-02-27T00:12:06.243Z [ODDS]  Serra: 5/4 → 13/10
2026-02-27T00:12:09.400Z [ODDS]  Serra: 13/10 → 5/4
2026-02-27T00:12:31.049Z [ODDS]  Real Noroeste: 10/3 → 7/2, Serra: 5/4 → 13/10
2026-02-27T00:12:36.549Z [ODDS]  Serra: 13/10 → 5/4
2026-02-27T00:12:57.658Z [ODDS]  Draw: 11/8 → 13/10, Serra: 5/4 → 13/10
2026-02-27T00:15:56.256Z [ODDS]  Real Noroeste: 7/2 → 17/2, Draw: 13/10 → 10/3, Serra: 13/10 → 3/10
2026-02-27T00:16:35.043Z [ODDS]  Real Noroeste: 17/2 → 7/2, Draw: 10/3 → 5/4, Serra: 3/10 → 13/10
2026-02-27T00:16:46.318Z [ODDS]  Real Noroeste: 7/2 → 15/4, Draw: 5/4 → 13/10
2026-02-27T00:16:46.768Z [ODDS]  Real Noroeste: 15/4 → 7/2
2026-02-27T00:17:22.399Z [ODDS]  Real Noroeste: 7/2 → 15/4, Serra: 13/10 → 5/4
2026-02-27T00:17:30.516Z [ODDS]  Real Noroeste: 15/4 → 7/2, Serra: 5/4 → 13/10
2026-02-27T00:17:51.334Z [ODDS]  Draw: 13/10 → 5/4
2026-02-27T00:18:04.341Z [ODDS]  Serra: 13/10 → 11/8
2026-02-27T00:18:23.285Z [ODDS]  Serra: 11/8 → 13/10
2026-02-27T00:18:30.503Z [ODDS]  Real Noroeste: 7/2 → 15/4
2026-02-27T00:18:56.210Z [ODDS]  Real Noroeste: 15/4 → 7/2, Serra: 13/10 → 11/8
2026-02-27T00:19:17.406Z [ODDS]  Real Noroeste: 7/2 → 15/4, Draw: 5/4 → 6/5
2026-02-27T00:19:37.250Z [ODDS]  Real Noroeste: 15/4 → 7/2, Draw: 6/5 → 5/4
2026-02-27T00:19:57.994Z [ODDS]  Real Noroeste: 7/2 → 15/4, Draw: 5/4 → 6/5
2026-02-27T00:20:23.702Z [ODDS]  Real Noroeste: 15/4 → 7/2, Draw: 6/5 → 5/4, Serra: 11/8 → 7/5
2026-02-27T00:20:24.153Z [ODDS]  Draw: 5/4 → 6/5
2026-02-27T00:21:07.005Z [ODDS]  Real Noroeste: 7/2 → 15/4, Serra: 7/5 → 11/8
2026-02-27T00:22:00.668Z [ODDS]  Draw: 6/5 → 11/10, Serra: 11/8 → 7/5
2026-02-27T00:22:30.480Z [ODDS]  Serra: 7/5 → 6/4
2026-02-27T00:23:25.456Z [ODDS]  Draw: 11/10 → 21/20
2026-02-27T00:24:25.894Z [ODDS]  Real Noroeste: 15/4 → 4/1
2026-02-27T00:24:50.695Z [ODDS]  Real Noroeste: 4/1 → 15/4
2026-02-27T00:25:18.206Z [ODDS]  Real Noroeste: 15/4 → 4/1
2026-02-27T00:25:31.286Z [ODDS]  Real Noroeste: 4/1 → 15/4
2026-02-27T00:25:31.736Z [ODDS]  Real Noroeste: 15/4 → 4/1
2026-02-27T00:26:37.133Z [ODDS]  Draw: 21/20 → 1/1, Serra: 6/4 → 8/5
2026-02-27T00:27:14.131Z [ODDS]  Draw: 1/1 → 20/21
2026-02-27T00:28:32.161Z [ODDS]  Draw: 20/21 → 1/1, Serra: 8/5 → 6/4
2026-02-27T00:28:51.089Z [ODDS]  Draw: 1/1 → 20/21, Serra: 6/4 → 8/5
2026-02-27T00:28:58.305Z [ODDS]  Real Noroeste: 4/1 → 9/2
2026-02-27T00:29:00.629Z [ODDS]  Real Noroeste: 9/2 → 4/1, Serra: 8/5 → 13/8
2026-02-27T00:29:09.800Z [ODDS]  Real Noroeste: 4/1 → 9/2, Serra: 13/8 → 8/5
2026-02-27T00:29:33.500Z [ODDS]  Real Noroeste: 9/2 → 4/1, Draw: 20/21 → 10/11, Serra: 8/5 → 13/8
2026-02-27T00:29:54.697Z [ODDS]  Real Noroeste: 4/1 → 15/4, Draw: 10/11 → 20/21, Serra: 13/8 → 7/4
2026-02-27T00:29:56.479Z [ODDS]  Real Noroeste: 15/4 → 4/1, Draw: 20/21 → 10/11, Serra: 7/4 → 13/8
2026-02-27T00:30:32.559Z [ODDS]  Real Noroeste: 4/1 → 9/2
2026-02-27T00:30:42.481Z [ODDS]  Serra: 13/8 → 7/4
2026-02-27T00:30:47.024Z [ODDS]  Real Noroeste: 9/2 → 4/1
2026-02-27T00:30:54.214Z [ODDS]  Real Noroeste: 4/1 → 15/4, Draw: 10/11 → 20/21
2026-02-27T00:30:56.461Z [ODDS]  Real Noroeste: 15/4 → 4/1, Serra: 7/4 → 8/5
2026-02-27T00:31:15.901Z [ODDS]  Serra: 8/5 → 13/8
2026-02-27T00:31:54.711Z [ODDS]  Real Noroeste: 4/1 → 15/4, Serra: 13/8 → 7/4
2026-02-27T00:31:57.351Z [ODDS]  Real Noroeste: 15/4 → 4/1, Serra: 7/4 → 13/8
2026-02-27T00:32:18.571Z [ODDS]  Draw: 20/21 → 10/11
2026-02-27T00:32:37.489Z [ODDS]  Serra: 13/8 → 7/4
2026-02-27T00:32:54.206Z [ODDS]  Draw: 10/11 → 5/6
2026-02-27T00:34:11.314Z [ODDS]  Real Noroeste: 4/1 → 9/2, Serra: 7/4 → 15/8
2026-02-27T00:34:20.319Z [ODDS]  Draw: 5/6 → 4/5
2026-02-27T00:35:00.980Z [ODDS]  Real Noroeste: 9/2 → 4/1, Draw: 4/5 → 5/6
2026-02-27T00:35:18.592Z [ODDS]  Real Noroeste: 4/1 → 9/2, Draw: 5/6 → 4/5
2026-02-27T00:36:06.313Z [ODDS]  Real Noroeste: 9/2 → 4/1, Serra: 15/8 → 2/1
2026-02-27T00:36:27.507Z [ODDS]  Real Noroeste: 4/1 → 9/2
2026-02-27T00:36:41.538Z [ODDS]  Draw: 4/5 → 8/11
2026-02-27T00:37:14.000Z [ODDS]  Draw: 8/11 → 4/5, Serra: 2/1 → 15/8
2026-02-27T00:37:17.118Z [ODDS]  Draw: 4/5 → 8/11, Serra: 15/8 → 2/1
