2026-02-27T00:08:36.076Z [ODDS]  Draw: 8/5 → 6/4
2026-02-27T00:10:02.228Z [ODDS]  Trem AP: 5/4 → 13/10
2026-02-27T00:11:10.779Z [ODDS]  Trem AP: 13/10 → 5/4
2026-02-27T00:12:17.971Z [ODDS]  Draw: 6/4 → 7/5, Trem AP: 5/4 → 13/10
2026-02-27T00:12:41.873Z [ODDS]  Independente AP: 3/1 → 10/3, Draw: 7/5 → 6/4, Trem AP: 13/10 → 5/4
2026-02-27T00:13:11.639Z [ODDS]  Draw: 6/4 → 7/5
2026-02-27T00:15:58.962Z [ODDS]  Draw: 7/5 → 11/8, Trem AP: 5/4 → 13/10
2026-02-27T00:17:48.105Z [ODDS]  Draw: 11/8 → 13/10
2026-02-27T00:18:10.656Z [ODDS]  Trem AP: 13/10 → 11/8
2026-02-27T00:18:16.518Z [ODDS]  Independente AP: 10/3 → 7/2, Trem AP: 11/8 → 13/10
2026-02-27T00:20:34.082Z [ODDS]  Draw: 13/10 → 5/4
2026-02-27T00:20:44.448Z [ODDS]  Independente AP: 7/2 → 10/3, Draw: 5/4 → 13/10, Trem AP: 13/10 → 11/8
2026-02-27T00:21:02.488Z [ODDS]  Independente AP: 10/3 → 7/2, Draw: 13/10 → 5/4
2026-02-27T00:21:57.509Z [ODDS]  Independente AP: 7/2 → 15/4, Draw: 5/4 → 6/5
2026-02-27T00:23:39.888Z [ODDS]  Trem AP: 11/8 → 7/5
2026-02-27T00:24:42.127Z [ODDS]  Draw: 6/5 → 11/10
2026-02-27T00:24:59.271Z [ODDS]  Trem AP: 7/5 → 6/4
2026-02-27T00:25:49.343Z [ODDS]  Independente AP: 15/4 → 7/2
2026-02-27T00:26:24.053Z [ODDS]  Independente AP: 7/2 → 15/4, Draw: 11/10 → 21/20
2026-02-27T00:27:18.659Z [ODDS]  Independente AP: 15/4 → 4/1
2026-02-27T00:27:54.708Z [ODDS]  Draw: 21/20 → 1/1
2026-02-27T00:28:02.378Z [ODDS]  Trem AP: 6/4 → 8/5
2026-02-27T00:29:28.996Z [ODDS]  Draw: 1/1 → 20/21
2026-02-27T00:29:50.164Z [ODDS]  Trem AP: 8/5 → 13/8
2026-02-27T00:31:15.901Z [ODDS]  Trem AP: 13/8 → 8/5
2026-02-27T00:31:37.098Z [ODDS]  Trem AP: 8/5 → 13/8
2026-02-27T00:31:42.935Z [ODDS]  Draw: 20/21 → 10/11, Trem AP: 13/8 → 7/4
2026-02-27T00:33:05.904Z [ODDS]  Draw: 10/11 → 5/6
2026-02-27T00:33:13.657Z [ODDS]  Independente AP: 4/1 → 9/2
2026-02-27T00:34:30.692Z [ODDS]  Trem AP: 7/4 → 15/8
2026-02-27T00:34:36.608Z [ODDS]  Trem AP: 15/8 → 7/4
2026-02-27T00:35:09.581Z [ODDS]  Draw: 5/6 → 4/5, Trem AP: 7/4 → 15/8
2026-02-27T00:35:47.822Z [ODDS]  Trem AP: 15/8 → 7/4
2026-02-27T00:36:23.448Z [ODDS]  Independente AP: 9/2 → 5/1, Draw: 4/5 → 5/6
2026-02-27T00:36:35.188Z [ODDS]  Draw: 5/6 → 4/5
2026-02-27T00:37:02.685Z [ODDS]  Trem AP: 7/4 → 15/8
2026-02-27T00:37:30.690Z [ODDS]  Draw: 4/5 → 8/11
2026-02-27T00:39:12.618Z [ODDS]  Trem AP: 15/8 → 2/1
2026-02-27T00:39:41.047Z [ODDS]  Draw: 8/11 → 4/6
2026-02-27T00:40:24.332Z [ODDS]  Trem AP: 2/1 → 21/10
2026-02-27T00:41:14.393Z [ODDS]  Draw: 4/6 → 8/13
2026-02-27T00:41:21.609Z [ODDS]  Independente AP: 5/1 → 6/1, Draw: 8/13 → 4/6, Trem AP: 21/10 → 2/1
2026-02-27T00:41:31.130Z [ODDS]  Trem AP: 2/1 → 15/8
2026-02-27T00:42:06.767Z [ODDS]  Draw: 4/6 → 8/13, Trem AP: 15/8 → 2/1
2026-02-27T00:42:35.123Z [ODDS]  Draw: 8/13 → 4/6
2026-02-27T00:42:46.398Z [ODDS]  Draw: 4/6 → 8/13
2026-02-27T00:42:51.362Z [ODDS]  Trem AP: 2/1 → 21/10
2026-02-27T00:43:33.397Z [ODDS]  Draw: 8/13 → 4/7
2026-02-27T00:43:54.083Z [ODDS]  Trem AP: 21/10 → 11/5
2026-02-27T00:44:22.018Z [ODDS]  Trem AP: 11/5 → 9/4
2026-02-27T00:44:25.171Z [ODDS]  Draw: 4/7 → 8/15
2026-02-27T00:45:03.103Z [ODDS]  Independente AP: 6/1 → 13/2
2026-02-27T00:45:06.685Z [ODDS]  Independente AP: 13/2 → 6/1, Trem AP: 9/4 → 12/5
2026-02-27T00:45:49.591Z [ODDS]  Trem AP: 12/5 → 5/2
2026-02-27T00:46:05.753Z [ODDS]  Draw: 8/15 → 1/2
2026-02-27T00:46:14.373Z [ODDS]  Independente AP: 6/1 → 13/2
2026-02-27T00:46:55.845Z [ODDS]  Draw: 1/2 → 4/9, Trem AP: 5/2 → 13/5
2026-02-27T00:47:30.559Z [ODDS]  Trem AP: 13/5 → 11/4
2026-02-27T00:47:46.320Z [ODDS]  Independente AP: 13/2 → 7/1
2026-02-27T00:47:49.929Z [ODDS]  Trem AP: 11/4 → 5/2
2026-02-27T00:48:16.086Z [ODDS]  Trem AP: 5/2 → 13/5
2026-02-27T00:48:37.735Z [ODDS]  Draw: 4/9 → 2/5, Trem AP: 13/5 → 11/4
2026-02-27T00:48:47.656Z [ODDS]  Trem AP: 11/4 → 3/1
2026-02-27T00:49:07.982Z [ODDS]  Draw: 2/5 → 4/11
2026-02-27T00:49:47.656Z [ODDS]  Independente AP: 7/1 → 15/2, Trem AP: 3/1 → 10/3
2026-02-27T00:50:04.328Z [ODDS]  Draw: 4/11 → 1/3
2026-02-27T00:50:07.131Z [ODDS]  Draw: 1/3 → 4/11, Trem AP: 10/3 → 3/1
2026-02-27T00:50:26.075Z [ODDS]  Draw: 4/11 → 1/3
2026-02-27T00:50:35.496Z [ODDS]  Trem AP: 3/1 → 7/2
